3604
qstr_Breaking_camp... Breaking_camp...
qstr_I_heard_the_Pope_in_ I_heard_the_Pope_in_Rome_sent_missionaries_to_convert_the_Danish!
qstr_Ragnar_s_sons_are_th Ragnar's_sons_are_the_most_dangerous_men_in_the_world._I_hear_they_are_relentless,_and_nobody_dares_to_face_up_to_them.
qstr_I_think_the_wife_of_ I_think_the_wife_of_my_friend_is_cheating_on_him_with_a_bard.
qstr_I_hate_bandits!_Some I_hate_bandits!_Somebody_should_kill_them_all.
qstr_I_would_like_to_know I_would_like_to_know_about_the_Roman_times.
qstr_Many_of_the_nobles_o Many_of_the_nobles_of_Englaland_are_very_impressed_by_young_princess_Hild._She_is_so_beautiful._Too_bad_she_has_religious_leanings!
qstr_A_traveller_told_me_ A_traveller_told_me_the_Franks_are_recruiting_men_for_attacking_the_Frisians.
qstr_The_Danish_have_brou The_Danish_have_brought_all_kinds_of_foreigners_with_them._It's_like_the_whole_world_has_come_to_old_Englaland.
qstr_West_Seaxe_was_never West_Seaxe_was_never_as_powerful_as_now._It_is_logical_that_their_king_is_considered_to_be_a_Brytenwalda.
qstr_I_wish_the_world_wer I_wish_the_world_were_less_dangerous._Few_men_grow_old.
qstr_I_ve_been_told_the_a I've_been_told_the_army_of_the_Ui_Neill_maintains_strict_discipline_and_training._For_that_reason,_they_are_the_most_powerful_in_Hibernia!
qstr_{!}Log_entry_{reg3}: {!}Log_entry_{reg3}:_type_{reg4}
qstr_{!}Center:_{s4} {!}Center:_{s4}
qstr_{!}Troop:_{s4} {!}Troop:_{s4}
qstr_{!}Lord:_{s4} {!}Lord:_{s4}
qstr_{!}Ally_party_is_pre {!}Ally_party_is_present
qstr_{!}{s4}_is_present_a {!}{s4}_is_present_at_event
qstr_{!}Event_n{reg5}_typ {!}Event_n{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_troop_object_=_{reg7}
qstr_{!}Event_n{reg5}_type {!}Event_n{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_center_object_faction_=_{reg7}
qstr_{!}Event_n{reg5}_type_ {!}Event_n{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_faction_object_=_{reg7}
qstr_{!}Event_n{reg5}_type_{ {!}Event_n{reg5},_type_{reg6},_time_{reg8}._No_relevant_kingdom_relation
qstr_{!}Event_n{reg5}_type_{r {!}Event_n{reg5},_type_{reg6},_time_{reg8}._Player_unaffiliated
qstr_{!}Elapsed_hours:_{r {!}Elapsed_hours:_{reg7}
qstr_{!}Reputation_type:_ {!}Reputation_type:_{s15}
qstr_{!}Entries_up_to_n{r {!}Entries_up_to_n{reg5}_skipped
qstr_two_days_ago two_days_ago
qstr_{!}DEBUG___{s4}_faction_cha {!}DEBUG_-_{s4}_faction_changed_in_subornment
qstr_{!}{s4}_inflicts_{re {!}{s4}_inflicts_{reg4}_damage_on_{s5},_raising_total_inflicted_to_{reg3}
qstr_{!}War_damage_raises {!}War_damage_raises_{s4}'s_controversy_by_{reg4}_to_{reg5}
qstr_{!}War_damage_lowers {!}War_damage_lowers_{s4}'s_controversy_by_{reg4}_to_{reg5}
qstr_{!}G_talk_troop_{s20 {!}G_talk_troop_{s20}_evaluates_being_vassal_to_{s22}_of_{s21}
qstr_{!}DEBUG____Analyzin {!}DEBUG_--_Analyzing_lord_allegiances,_combined_bonuses_and_penalties_=_{reg0}
qstr_{!}DEBUG____Total_co {!}DEBUG_--_Total_courtship_quarrel_changes:_{reg4}
qstr_{!}DEBUG____Total_ra {!}DEBUG_--_Total_random_quarrel_changes:_{reg4}
qstr_{!}DEBUG____Total_ba {!}DEBUG_--_Total_battle_changes_for_allies:_{reg4}
qstr_{!}DEBUG____Total_bat {!}DEBUG_--_Total_battle_changes_for_enemies:_{reg4}
qstr_{!}DEBUG____Total_pro {!}DEBUG_--_Total_promotion_changes:_{reg4}
qstr_{!}DEBUG____Total_fe {!}DEBUG_--_Total_feast_changes:_{reg4}
qstr_{!}DEBUG____Total_po {!}DEBUG_--_Total_policy_dispute_changes:_{reg4}_from_{reg5}_decisions
qstr_{!}DEBUG____Total_fa {!}DEBUG_--_Total_faction_switch_changes:_{reg4}
qstr_{!}DEBUG____Total_no {!}DEBUG_--_Total_no_fief_changes:_{reg4}
qstr_{!}DEBUG____Total_ch {!}DEBUG_--_Total_changes_through_convergence:_{reg4}
qstr_{!}DEBUG____Total_va {!}DEBUG_--_Total_vassal_responses_to_campaign:_{reg4}
qstr_{!}DEBUG____Total_vas {!}DEBUG_--_Total_vassal_campaign_days:_{reg4}
qstr_{!}DEBUG____Vassal_r {!}DEBUG_--_Vassal_response_rate:_{reg4}
qstr_{!}script_lord_get_h {!}script_lord_get_home_center:_troop_{reg1}_of_faction_{reg2}_lord_of_center_{reg3}_of_faction_{reg4}
qstr_{!}script_lord_get_ho {!}script_lord_get_home_center:_troop_{reg1}_of_faction_{reg2}_lord_of_village_{reg3}_bound_to_center_{reg5}_of_faction_{reg4}
qstr_{!}script_lord_get_hom {!}script_lord_get_home_center:_player_court_belongs_to_faction_{reg4}
qstr_{!}DEBUG___{s4}_s_fe {!}DEBUG_-_{s4}'s_feast_has_rating_of_{reg4}
qstr_{s24}_increased_reno {s24}_increased_renown_by_attending_a_feast_at_{s25}
qstr_{!}_DEBUG___{s4}_fac {!}_DEBUG_-_{s4}_faction_change_in_marriage_case_5
qstr_{!}DEBUG___{s4}_faction_chan {!}DEBUG_-_{s4}_faction_changed_by_marriage,_case_6
qstr_You_asked_me_to_come You_asked_me_to_come_and_meet_you_here_at_{s33}._So,_here_I_am,_waiting_for_you_to_show_up.
qstr_You_asked_me_to_come_ You_asked_me_to_come_and_patrol_around_{s33}._So,_here_I_am,_looking_for_enemies.
qstr_Marshal_has_chosen_{ Marshal_has_chosen_{s13}_to_levy_troops.
qstr_Marshal_Levying_Troo Marshal_Levying_Troops
qstr_The_marshal_is_levyi The_marshal_is_levying_{reg0}_troops_from_your_center_{s10}.
qstr_{!}DEBUG____{s4}_clo {!}DEBUG_--_{s4}_close_enough_to_screen_for_marshal
qstr_{!}DEBUG____{s4}_cho {!}DEBUG_--_{s4}_chosen_as_screen
qstr_{!}script_npc_decisi {!}script_npc_decision_checklist_party_ai:_troop_{reg1}_of_faction_{reg2}_lord_of_center_{reg3}_of_faction_{reg4}
qstr_{!}DEBUG_:_attack_of {!}DEBUG_:_attack_of_{s8}_is_{reg0}({reg11}),_prs:{reg7},_pow:{reg8},_dis:{reg9},_lst:{reg10}
qstr_{s35}_of_the_{s34} {s35}_of_the_{s34}
qstr_{s37}_of_the_{s36} {s37}_of_the_{s36}
qstr_{!}DEBUG___{s4}_stro {!}DEBUG_-_{s4}_strongest_kingdom_with_{reg3}_strength
qstr_{!}DEBUG:_{s4}_stren {!}DEBUG:_{s4}_strength_ratio_{reg3}%_versus_player_faction
qstr_{!}Actor_centers_hel {!}Actor_centers_held_by_target_noted
qstr_{!}War_damage_under_ {!}War_damage_under_minimum
qstr_{!}Strength_ratio_co {!}Strength_ratio_correct
qstr_{!}Third_party_wars {!}Third_party_wars
qstr_{!}DEBUG____No_third {!}DEBUG_--_No_third_party_wars_for_{s15}
qstr_{!}DEBUG____{s15}_is {!}DEBUG_--_{s15}_is_strongest_kingdom
qstr_{!}DEBUG____{s15}_ha {!}DEBUG_--_{s15}_has_30_point_advantage_over_{s16}
qstr_{!}DEBUG____{s15}_has {!}DEBUG_--_{s15}_has_proximity_to_{s16}
qstr_{!}DEBUG____hardship {!}DEBUG_--_hardship_index_for_{s4}_=_{reg0}
qstr_{!}Castle_taken_by_{ {!}Castle_taken_by_{s3}
qstr_{!}Two_thirds_averag {!}Two-thirds_average_renown_=_{reg3}
qstr_{!}DEBUG____Colleagu {!}DEBUG_--_Colleague_test:_score_for_{s10}_=_{reg3}
qstr_{!}DEBUG____Open_tes {!}DEBUG_--_Open_test:_score_for_{s10}_=_{reg3}
qstr_{!}DEBUG____{s8}_bac {!}DEBUG_--_{s8}_backs_{s9}:{s10}
qstr_{!}DEBUG____{s4}_pro {!}DEBUG_--_{s4}_produces_a_faction_strategy_for_{s33}
qstr_{!}Best_offensive_ta {!}Best_offensive_target_{s4}_has_value_level_of_{reg1}
qstr_{!}No_center_found_t {!}No_center_found_to_attack
qstr_{!}Best_threat_of_{s {!}Best_threat_of_{s4}_has_value_level_of_{reg1}
qstr_{!}No_center_found_to {!}No_center_found_to_defend
qstr_The_brewery_in_{s1}_ The_brewery_in_{s1}_adds_to_its_prosperity.
qstr_You_gain_right_to_ru You_gain_right_to_rule.
qstr_You_lose_right_to_ru You_lose_right_to_rule.
qstr_{!}DEBUG___{s4}_faction_chang {!}DEBUG_-_{s4}_faction_changed_in_indictment
qstr_Content_update_appli Content_update_applied_to_the_save_game.
qstr_{s1}_has_entered_tra {s1}_has_entered_trance!
qstr_{s1}_has_become_unco {s1}_has_become_uncontrollable!
qstr_{s1}_is_getting_exha {s1}_is_getting_exhausted_after_the_rage.
qstr_{s1}_back_to_normal! {s1}_back_to_normal!
qstr_{!}ERROR_in_script_c {!}ERROR_in_script_calculate_season_light
qstr_Manage_this_village. Manage_this_village.
qstr_Recruit_volunteers. Recruit_volunteers.
qstr_Go_to_the_village_ce Go_to_the_village_center.
qstr_Meet_the_leader. Meet_the_leader.
qstr_Buy_supplies. Buy_supplies.
qstr_Attack_the_bandits. Attack_the_bandits.
qstr_Wait_here_for_some_t Wait_here_for_some_time.
qstr_{reg5?Continue_colle {reg5?Continue_collecting_taxes:Collect_taxes}.
qstr_Train_the_peasants. Train_the_peasants.
qstr_Take_an_action. Take_an_action.
qstr_{!}CHEAT!_Show_repor {!}CHEAT!_Show_reports.
qstr_Leave... Leave...
qstr_You_need_to_obtain_p You_need_to_obtain_permission_from_the_leader_in_this_village_to_recruit_here.
qstr___Symbel_ _(Symbel)
qstr_Join_the_competition Join_the_competitions.
qstr_Stroll_through_town. Stroll_through_town.
qstr_Meet_the_mayor. Meet_the_mayor.
qstr_Mead_hall__hire_men_ Mead_hall_(hire_men).
qstr_Visit_the_mead_hall. Visit_the_mead_hall.
qstr_Visit_the_training_g Visit_the_training_grounds.
qstr_Tour_the_grounds. Tour_the_grounds.
qstr_Visit_your_farmstead Visit_your_farmstead.
qstr_Attempt_to_visit_a_l Attempt_to_visit_a_lady.
qstr_Trade_with_locals. Trade_with_locals.
qstr_Travel_to_another_Po Travel_to_another_Port.
qstr_Manage_this_{reg0?to Manage_this_{reg0?town:fort}.
qstr_Move_your_court_here Move_your_court_here.
qstr_Manage_the_garrison. Manage_the_garrison.
qstr___{reg1}_peningas_pe _({reg1}_peningas_per_night)
qstr___1_pening_per_night _(1_pening_per_night)
qstr_Ask_for_potential_re Ask_for_potential_recruits.
qstr_See_the_ships. See_the_ships.
qstr_Symbel_for_your_men. Symbel_for_your_men.
qstr_Sail_from_port. Sail_from_port.
qstr_{!}DEBUG___Current_t {!}DEBUG_-_Current_town_is_{s3},_but_also_checking_{s4}
qstr_{!}script_battlegrou {!}script_battlegroup_place_around_leader:_invalid_leader_agent_(bad_call)
qstr_{!}script_battlegroup {!}script_battlegroup_place_around_leader:_leader_team_mismatch_(bad_call)
qstr_ranks ranks
qstr_shield_wall shield_wall
qstr_wedge wedge
qstr_square square
qstr_up up
qstr_Division_{reg1}_{s2} Division_{reg1}_{s2}_forming_{s1}.
qstr_Not_enough_troops_in Not_enough_troops_in_division_{reg1}_{s2}_to_form_{s1}.
qstr_Division_{reg1}_{s2}_ Division_{reg1}_{s2}_is_an_{s3}_division_and_cannot_form_{s1}.
qstr_{s1}:_infantry_forma {s1}:_infantry_formation_disassembled.
qstr_{s1}:_archer_formati {s1}:_archer_formation_disassembled.
qstr_{s1}:_skirmisher_for {s1}:_skirmisher_formation_disassembled.
qstr_{s1}:_cavalry_format {s1}:_cavalry_formation_disassembled.
qstr_{s1}:_formation_disa {s1}:_formation_disassembled.
qstr_Cavalry_formation_di Cavalry_formation_disassembled.
qstr_The_placement_of_{s1 The_placement_of_{s1}_division_{reg0}_memorized.
qstr_The_placement_of_{s1} The_placement_of_{s1}_division_{reg0}_set_to_default.
qstr_Your_party_s_tactica Your_party's_tactical_skill_limits_how_far_away_you_can_deploy_your_troops!
qstr_...and_attack_enemy_ ...and_attack_enemy_{s1}_division!
qstr_{s2}:_returning_afte {s2}:_returning_after_destroying_enemy_{s1}_division.
qstr_infantry infantry
qstr_archer archer
qstr_cavalry cavalry
qstr_polearm polearm
qstr_skirmisher skirmisher
qstr_mounted_archer mounted_archer
qstr_support support
qstr_bodyguard bodyguard
qstr_undetermined_type_of undetermined_type_of
qstr_{!}battlegroup_get_a {!}battlegroup_get_action_radius:_negative_radius_for_team_{reg0}_division_{reg1}_formation_{reg2}
qstr_Lame Lame
qstr_Swaybacked Swaybacked
qstr_Timid Timid
qstr_Meek Meek
qstr_Stubborn Stubborn
qstr_Heavy Heavy
qstr_Spirited Spirited
qstr_Champion Champion
qstr_Cracked Cracked
qstr_Battered Battered
qstr_Thick Thick
qstr_Reinforced Reinforced
qstr_Rusty Rusty
qstr_Tattered Tattered
qstr_Ragged Ragged
qstr_Crude Crude
qstr_Sturdy Sturdy
qstr_Hardened Hardened
qstr_Lordly Lordly
qstr_Broken Broken
qstr_Bent Bent
qstr_Chipped Chipped
qstr_Strong Strong
qstr_Balanced Balanced
qstr_Tempered Tempered
qstr_Masterwork Masterwork
qstr_Large_Bag_of Large_Bag_of
qstr_Strength. Strength.
qstr_Shield_skill. Shield_skill.
qstr_Power_Throw_skill. Power_Throw_skill.
qstr_Power_Draw_skill. Power_Draw_skill.
qstr_Riding_skill. Riding_skill.
qstr_{s2}_needs_{reg1}_mo {s2}_needs_{reg1}_more_{s1}
qstr_You_need_five_tool_k You_need_five_tool_kits_to_improve_your_refuge!
qstr_You_need_five_timber You_need_five_timber_pallets_to_improve_your_refuge!
qstr_To_hire_workers_you_ To_hire_workers,_you_need_to_select_them_from_the_list._If_the_list_is_empty,_you_may_need_to_increase_your_renown_or_improve_your_refuge_for_them_to_come_and_offer_their_services.
qstr_Name:_Marcus. Name:_Marcus.
qstr_Occupation:_This_cap Occupation:_This_captain_is_already_working_for_you.
qstr_Occupation:_Captain^ Occupation:_Captain^Initial_Cost:_500^Weekly_cost:_55^Notes:_helps_manage_your_refuge_and_develop_the_improvements_you_need.
qstr_Name:_Father_Beda. Name:_Father_Beda.
qstr_Occupation:_This_pri Occupation:_This_priest_is_already_working_for_you.
qstr_Occupation:_Priest^I Occupation:_Priest^Initial_Cost:_250^Weekly_cost:_30^Notes:_encourages_the_practice_of_Christianity_among_your_troops.
qstr_Name:_Godi_Olafr. Name:_Godi_Olafr.
qstr_Occupation:_Godi^Ini Occupation:_Godi^Initial_Cost:_250_^Weekly_cost:_30^Notes:_encourages_the_practice_of_paganism_among_your_troops.
qstr_Name:_Skald_Bragi. Name:_Skald_Bragi.
qstr_Occupation:_This_bar Occupation:_This_bard_is_already_working_for_you.
qstr_Occupation:_Skald^In Occupation:_Skald^Initial_Cost:_200^Weekly_cost:_40^Notes:_fills_your_halls_with_inspiring_Nordic_music.
qstr_Name:_Bard_Siwi. Name:_Bard_Siwi.
qstr_Occupation:_Bard^Ini Occupation:_Bard^Initial_Cost:_200_^Weekly_cost:_40^Notes:_fills_your_halls_with_inspiring_English_music.
qstr_Name:_Casius. Name:_Casius.
qstr_Occupation:_This_man Occupation:_This_man_is_already_working_for_you.
qstr_Occupation:_Bottler^ Occupation:_Bottler^Initial_Cost:_100^Weekly_cost:_10^Notes:_necessary_complement_for_your_mead_hall.
qstr_Name:_Suaibsech. Name:_Suaibsech.
qstr_Occupation:_This_wom Occupation:_This_woman_is_already_serving_you.
qstr_Occupation:_Happy_Wi Occupation:_Happy_Widow^Initial_Cost:_300^Weekly_cost:_25^Notes:_The_best_way_to_make_your_men_happy.
qstr_Name:_Tancoystl. Name:_Tancoystl.
qstr_Name:_Gulla. Name:_Gulla.
qstr_Occupation:_Happy_Wid Occupation:_Happy_Widow^Initial_Cost:_150^Weekly_cost:_15^Notes:_The_best_way_to_make_your_men_happy.
qstr_Name:_Eadgyd. Name:_Eadgyd.
qstr_Name:_Harald. Name:_Harald.
qstr_Occupation:_This_tra Occupation:_This_trainer_is_already_working_for_you.
qstr_Occupation:_Trainer^ Occupation:_Trainer^Initial_Cost:_450^Weekly_cost:_45^Notes:_trains_your_troops.
qstr_Name:_Ulfberht. Name:_Ulfberht.
qstr_Occupation:_This_smi Occupation:_This_smith_is_already_working_for_you.
qstr_Occupation:_Smith^In Occupation:_Smith^Initial_Cost:_400^Weekly_cost:_40^Notes:_makes_new_weapons_for_your_refuge.
qstr_Name:_The_Hungry_Ham Name:_The_Hungry_Hammer.
qstr_Occupation:_This_arm Occupation:_This_armorer_is_already_working_for_you.
qstr_Occupation:_Armorer^ Occupation:_Armorer^Initial_Cost:_400^Weekly_cost:_40^Notes:_His_nickname_comes_from_his_voracious_appetite_for_iron,_manufacturing_all_kinds_of_things.
qstr_Name:_Aurelius. Name:_Aurelius.
qstr_Occupation:_This_phy Occupation:_This_physician_is_already_working_for_you.
qstr_Occupation:_Physicia Occupation:_Physician^Initial_Cost:_250^Weekly_cost:_15^Notes:_patches_light_wounds.
qstr_Name:_Morgan. Name:_Morgan.
qstr_Name:_Alexander. Name:_Alexander.
qstr_Occupation:_Physician Occupation:_Physician^Initial_Cost:_350^Weekly_cost:_30^Notes:_a_highly_trained_barber_who_patches_light_and_heavy_wounds.
qstr_Name:_Aillil. Name:_Aillil.
qstr_Occupation:_Physician^ Occupation:_Physician^Initial_Cost:_250^Weekly_cost:_30^Notes:_patches_light_wounds.
qstr_Name:_Wamba. Name:_Wamba.
qstr_Occupation:_This_coo Occupation:_This_cook_is_already_working_for_you.
qstr_Occupation:_Cook^Ini Occupation:_Cook^Initial_Cost:_350^Weekly_cost:_30^Notes:_makes_feasts_for_you_and_your_men.
qstr_The_{s1}_and_the_{s2} The_{s1}_and_the_{s2}_have_entered_into_an_alliance_with_each_other.
qstr_The_{s15}_complies_wi The_{s15}_complies_with_the_new_alliance_by_attacking_the_{s16}.
qstr_{!}DEBUG:_cf_goredec {!}DEBUG:_cf_goredec_ignoring_weapon,_hp_and_bone
qstr_{!}DEBUG:_cf_goredec_ {!}DEBUG:_cf_goredec_OK_on_bone:_{reg1}
qstr_{!}DEBUG:_Decapitati {!}DEBUG:_Decapitation:_chance_{reg1}%,_rand_{reg2}%
qstr_Player_bonus_for_dec Player_bonus_for_decap:_{reg1}
qstr_{!}DEBUG:_set_goal_c {!}DEBUG:_set_goal_check_success_event_completing_goal_{reg0}_
qstr_{!}DEBUG:_goal_slot_ {!}DEBUG:_goal_slot_{reg1}_is_now_{reg0}_
qstr_{!}DEBUG:_error_set_ {!}DEBUG:_error_set_goal_rewards
qstr_{!}DEBUG:_raising_+1 {!}DEBUG:_raising_+10_relation_with_{s10}
qstr_{!}DEBUG:_metric_pro {!}DEBUG:_metric_progress_at_{reg0}_%
qstr_{!}DEBUG:_armysizeCo {!}DEBUG:_armysizeCompleted_{reg10}_<=_{reg11},_test_{reg12}
qstr_{!}DEBUG:_wealthComp {!}DEBUG:_wealthCompleted_{reg10}_<=_{reg11},_test_{reg12}
qstr_{!}DEBUG:_rtr_{reg10 {!}DEBUG:_rtr_{reg10}_<=_{reg11},_test_{reg12}
qstr_{!}DEBUG:_renown_{re {!}DEBUG:_renown_{reg10}_<=_{reg11},_test_{reg12}
qstr_{!}DEBUG:_reputation {!}DEBUG:_reputation_-_quest:_{reg10},_current:_{reg11},_test:_{reg12}
qstr_{!}DEBUG:_married___ {!}DEBUG:_married_-_quest:_{reg10},_spouse:_{reg11},_test:_{reg12}
qstr_{!}DEBUG:_lord_or_ki {!}DEBUG:_lord_or_king_-_player_faction:_{reg10},_goal:_{reg11},_test:_{reg12}
qstr_Ruthless Ruthless
qstr_Vile Vile
qstr_Notorious Notorious
qstr_Unkind Unkind
qstr_Unknown Unknown
qstr_Kind Kind
qstr_Admirable Admirable
qstr_Heroic Heroic
qstr_Inventory Inventory
qstr_Show_stats Show_stats
qstr_Show_item_details__ Show_item_details__
qstr_Troop_detail Troop_detail
qstr_{!}DEBUG:_STATS_scre {!}DEBUG:_STATS_screen
qstr_{s1}^ {s1}^
qstr_{s1}Level:_{reg1}^ {s1}Level:_{reg1}^
qstr_{s1}Hit_Points:_{reg {s1}Hit_Points:_{reg1}
qstr_{s1}Atributes:_^___S {s1}Atributes:_^___Strength:^
qstr_{s2}^{reg1}^ {s2}^{reg1}^
qstr_{s1}___Agility: {s1}___Agility:
qstr_{s2}{reg1} {s2}{reg1}
qstr_{s1}Main_skills:_^ {s1}Main_skills:_^
qstr_{s1}___Power_Strike: {s1}___Power_Strike:^
qstr_{s2}{reg1}^ {s2}{reg1}^
qstr_{s1}___Athletics:^ {s1}___Athletics:^
qstr_{s1}___Riding:^ {s1}___Riding:^
qstr_{s2}_^ {s2}-^
qstr_{s1}___Power_Throw:^ {s1}___Power_Throw:^
qstr_{s1}___Power_Draw:^^ {s1}___Power_Draw:^^
qstr_{s2}{reg1}^^ {s2}{reg1}^^
qstr_{s2}_^^ {s2}-^^
qstr_{s1}Weapons:^ {s1}Weapons:^
qstr_{s1}___One_Handed:^ {s1}___One_Handed:^
qstr_{s1}___Two_Handed:^ {s1}___Two_Handed:^
qstr_{s1}___Polearms:^ {s1}___Polearms:^
qstr_{s1}___Archery:^ {s1}___Archery:^
qstr_{s1}___Crossbow:^ {s1}___Crossbow:^
qstr_{s1}___Throwing:^ {s1}___Throwing:^
qstr_{s1}___Slings: {s1}___Slings:
qstr_{s2}_ {s2}-
qstr__Click_on_the_troop_ (Click_on_the_troop_to_rotate_it)^^Click_on_pieces_of_gear_^(helmet,_armor,_gloves_and_boots)^_to_display_them.
qstr_{!}DEBUG:_number_ite {!}DEBUG:_number_items_{reg0}
qstr_Landing_near_{s2} Landing_near_{s2}
qstr_{!}{s30}{s31}{s32} {!}{s30}{s31}{s32}
qstr_{!}INFO_lost_port_pa {!}INFO_lost_port_party:_spawned_party={s1}({reg7})_ai_object={s7}
qstr_{!}INFO:_{s1}_is_a_w {!}INFO:_{s1}_is_a_water_party_that_has_wandered_onto_land_and_is_heading_back_now
qstr_{!}{s0}_rents_{reg0} {!}{s0}_rents_{reg0}_tariffs_{reg1}_wealth_{reg2}_prosperity_{reg3}
qstr_{!}Average_village_p {!}Average_village_prosperity_{reg4}
qstr_{!}^{s0}^Bound_Cente {!}^{s0}^Bound_Centers
qstr_{!}Food_Supply {!}Food_Supply
qstr_{!}rents_{reg0}_tari {!}rents_{reg0}_tariffs_{reg1}_wealth_{reg2}_prosperity_{reg3}_food_{reg5}_farmer_starts_{reg8}_visits_{reg9}_sieges_{reg10}_garrison_{reg11}
qstr_{!}Average_town_garr {!}Average_town_garrison_{reg12}_prosperity_{reg4}_visits_{reg13}_food_{reg7}_percent
qstr_{!}Average_castle_ga {!}Average_castle_garrison_{reg12}_prosperity_{reg4}_visits_{reg13}_food_{reg7}_percent
qstr_{!}script_simulate_b {!}script_simulate_battle_with_parties:_requires_non-zero_denominator
qstr_{!}ERROR:_In_AI_of_{ {!}ERROR:_In_AI_of_{s7}:_real_ai_object_=_{s1},_slot_ai_object_=_{s2}
qstr_{!}ERROR:_In_AI_of_{s {!}ERROR:_In_AI_of_{s7}:_real_ai_object_=_{s1},_slot_ai_object_=_-1
qstr_{!}trait_trigger:_ba {!}trait_trigger:_bad_backup_behavior_for_party_template_{reg1}
qstr_{!}INFO:_{s7}_is_in_ {!}INFO:_{s7}_is_in_{s1},_on_water_=_{reg7}
qstr_{!}auto_travel_trigg {!}auto_travel_trigger:_bad_backup_behavior_for_party_template_{reg1}
qstr_{!}INFO:_{s1}_is_emb {!}INFO:_{s1}_is_embarking_while_using_SPECIAL_SITUATION:_SPAWN_POINT_ON_WATER
qstr_{!}INFO:_{s1}_is_in_ {!}INFO:_{s1}_is_in_SPECIAL_SCENARIO:_AI_OBJECT_ON_WATER
qstr_{s0}^>_{s1}__{s2}__{ {s0}^>_{s1},_'{s2}',_{s3},_{s4}
qstr_{!}vc_ships_keel_tar {!}vc_ships_keel_tar
qstr_{!}vc_ships_hull_tar {!}vc_ships_hull_tar
qstr_{!}vc_ships_floor_ta {!}vc_ships_floor_tar
qstr_{!}vc_ships_various_ {!}vc_ships_various_tar
qstr_{!}vc_ships_keel_var {!}vc_ships_keel_varnish
qstr_{!}vc_ships_hull_var {!}vc_ships_hull_varnish
qstr_{!}vc_ships_floor_oa {!}vc_ships_floor_oak
qstr_{!}vc_ships_various0 {!}vc_ships_various01
qstr_{!}vc_ships_keel {!}vc_ships_keel
qstr_{!}vc_ships_hull_oak {!}vc_ships_hull_oak
qstr_{!}vc_ships_hull_pin {!}vc_ships_hull_pine
qstr_{!}vc_ships_floor_pi {!}vc_ships_floor_pine
qstr_{!}vc_ships_hull_bee {!}vc_ships_hull_beech
qstr_{!}vc_ships_floor_be {!}vc_ships_floor_beech
qstr_{!}vc_ships_hull_pai {!}vc_ships_hull_painted_c
qstr_{!}vc_ships_hull_pain {!}vc_ships_hull_painted_f
qstr_{!}vc_ships_hull_paint {!}vc_ships_hull_painted_a
qstr_{!}vc_ships_hull_painte {!}vc_ships_hull_painted_b
qstr_{!}vc_ships_hull_painted {!}vc_ships_hull_painted_d
qstr_{!}vc_ships_hull_painted_ {!}vc_ships_hull_painted_e
qstr_{!}vc_ships_sails01c {!}vc_ships_sails01c
qstr_{!}vc_ships_sails01b {!}vc_ships_sails01b
qstr_{!}vc_ships_sails01a {!}vc_ships_sails01a
qstr_{!}vc_ships_sails01d {!}vc_ships_sails01d
qstr_{!}vc_ships_sails01e {!}vc_ships_sails01e
qstr_{!}vc_ships_sails01f {!}vc_ships_sails01f
qstr_{!}vc_ships_sails02a {!}vc_ships_sails02a
qstr_{!}vc_ships_sails02b {!}vc_ships_sails02b
qstr_{!}vc_ships_sails02e {!}vc_ships_sails02e
qstr_{!}vc_ships_sails02d {!}vc_ships_sails02d
qstr_You_have_lost_the_tr You_have_lost_the_traders_because_you_landed_without_them.
qstr_You_have_lost_the_tra You_have_lost_the_traders_because_you_embarked_without_them.
qstr_{!}Error:_get_next_w {!}Error:_get_next_water_position
qstr_{!}get_next_land_pos {!}get_next_land_position_failed_with_radius:_{reg1}
qstr_{!}WARNING:_speed_mu {!}WARNING:_speed_multiplier_=_{reg1}
qstr_vWaveInfo vWaveInfo
qstr_vWaveOrigin vWaveOrigin
qstr_vTimer vTimer
qstr_{!}ERROR!_KEINE_ENTS {!}ERROR!_KEINE_ENTSCHEIDUNG!
qstr_{!}Error_1_in_calcul {!}Error_1_in_calculate_dockingpoint
qstr_{!}Error_2_in_calcul {!}Error_2_in_calculate_dockingpoint
qstr_{!}SHIP_{reg8}_ERROR {!}SHIP_{reg8}_ERROR_:_Want_to_delete_my_Entry_in_SHIP_{reg9}_,_but_it_isnt_my_entry.
qstr_{!}Error:_I_dont_hav {!}Error:_I_dont_have_this_ship_type
qstr_{!}TEST:_CRITICAL_CO {!}TEST:_CRITICAL_COLLISION!
qstr_{!}SHIP_{reg8}_ERROR_ {!}SHIP_{reg8}_ERROR_1_CHECK_DOCKING
qstr_{!}SHIP_{reg8}_ERROR_2 {!}SHIP_{reg8}_ERROR_2_CHECK_DOCKING
qstr_{!}SHIP_{reg8}_ERROR_3 {!}SHIP_{reg8}_ERROR_3_CHECK_DOCKING
qstr_{!}SHIP_{reg8}_ERROR_4 {!}SHIP_{reg8}_ERROR_4_CHECK_DOCKING
qstr_{!}SHIP_{reg8}_ERROR_5 {!}SHIP_{reg8}_ERROR_5_CHECK_DOCKING
