str_yes|是 
str_space| 
str_us_|我 軍 
str_allies_|友 軍 
str_enemies_|敵 人 
str_routed|逃 亡 
str_weekly_budget|周 預 算 
str_income_from_s0|{s0}收 入 ： 
str_mercenary_payment_from_s0|{s0}的 雇 傭 薪 酬 是 ： 
str_s0s_party|{s0}的 部 隊 
str_loss_due_to_tax_inefficiency|稅 收 無 效 損 失 ： 
str_wages_for_s0|{s0}工 資 ： 
str_earlier_debts|先 前 欠 債 ： 
str_net_change|淨 收 支 ： 
str_earlier_wealth|先 前 財 產 ： 
str_new_wealth|新 財 產 ： 
str_new_debts|新 債 務 ： 
str_team_reg0_bot_count_is_reg1|{reg0}隊 的 虛 擬 人 數 量 是 {reg1}.
str_maximum_seconds_for_round_is_reg0|每 輪 的 最 大 秒 數 是 {reg0} 。 
str_respawn_period_is_reg0_seconds|復 活 時 間 是 {reg0}秒 。 
str_bots_upper_limit_for_votes_is_reg0|投 票 可 以 設 置 的 最 大 虛 擬 人 數 為 {reg0} 。 
str_map_is_voteable|此 地 圖 可 投 票 。 
str_map_is_not_voteable|此 地 圖 不 能 投 票 
str_factions_are_voteable|可 投 票 選 擇 國 家 。 
str_factions_are_not_voteable|不 可 投 票 選 擇 國 家 。 
str_players_respawn_as_bot|玩 家 作 為 虛 擬 人 重 生 。 
str_players_do_not_respawn_as_bot|玩 家 不 作 為 虛 擬 人 重 生 。 
str_kicking_a_player_is_voteable|可 以 投 票 踢 出 玩 家 。 
str_kicking_a_player_is_not_voteable|不 能 就 是 否 踢 出 一 名 玩 家 進 行 投 票 。 
str_banning_a_player_is_voteable|可 以 投 票 禁 止 玩 家 。 
str_banning_a_player_is_not_voteable|不 能 就 是 否 禁 止 一 名 玩 家 進 行 投 票 。 
str_player_banners_are_allowed|允 許 玩 家 旗 幟 。 
str_player_banners_are_not_allowed|不 允 許 玩 家 旗 幟 。 
str_default_armor_is_forced|默 認 防 具 已 被 強 制 使 用 。 
str_default_armor_is_not_forced|默 認 防 具 沒 有 強 制 使 用 。 
str_percentage_of_yes_votes_required_for_a_poll_to_get_accepted_is_reg0|達 成 決 議 所 需 的 贊 成 票 比 例 是 {reg0}% 。 
str_auto_team_balance_threshold_is_reg0|自 動 隊 伍 平 衡 的 臨 界 值 是 {reg0} 。 
str_starting_gold_ratio_is_reg0|起 始 金 錢 比 率 是 {reg0}% 。 
str_combat_gold_bonus_ratio_is_reg0|戰 斗 金 錢 獎 勵 比 率 是 {reg0}% 。 
str_round_gold_bonus_ratio_is_reg0|回 合 金 錢 獎 勵 比 率 是 {reg0}% 。 
str_point_gained_from_flags_is_reg0|奪 旗 獲 得 的 隊 伍 分 數 為 {reg0}% 。 
str_point_gained_from_capturing_flag_is_reg0|獲 得 旗 幟 的 獎 勵 分 數 為 {reg0}% 。 
str_map_time_limit_is_reg0|地 圖 時 間 限 制 為 {reg0}分 鍾 。 
str_team_points_limit_is_reg0|隊 伍 分 數 限 制 為 {reg0} 。 
str_defender_spawn_count_limit_is_s1|默 認 重 生 次 數 為 {s1} 。 
str_system_error|系 統 錯 誤 ！ 
str_prisoner_granted_parole|戰 俘 獲 得 釋 放 
str_prisoner_not_offered_parole|戰 俘 沒 有 被 釋 放 
str__age_reg1|^年 齡 ： {reg1}
str__family_|^家 庭 :
str_s49_s12_s11_end|{s49}{s12} ( {s11} ) 。 
str_s49_s12_s11_rel_reg0|{s49}{s12} （ {s11} ， rel: {reg0} ） ， 
str_s49_s12_s11|{s49}{s12} （ {s11} ） ， 
str_lord_info_string|{reg6?:{reg4?{s54}是 {s56}的 領 主 。 ^:{s54}是 {s56}的 {s55}的 封 臣 。 ^}}聲 望 ： {reg5} 。 爭 議 :{reg15} 。 ^宗 教 :{s29} 。^{reg9?{reg3?她 :他 }是 {s58}的 {reg3?領 主 :領 主 } ， :{reg3?她 :他 }沒 有 封 地 。 }{s59}^{s49}^關 系 :{reg0} 。 
str_foreign_relations__|外 交 關 系 ： ^ 
str_s21__the_s5_is_at_war_with_the_s14|{s21}^^*與 {s14}正 處 於 戰 爭 狀 態 中 。 
str_s21_the_s5_has_had_the_upper_hand_in_the_fighting|{s21}{s5}在 交 戰 中 處 於 上 風 
str_s21_the_s5_has_gotten_the_worst_of_the_fighting|{s21}{s5}在 交 戰 中 處 於 下 風 
str_s21_the_fighting_has_gone_on_for_some_time_and_the_war_may_end_soon_with_a_truce|{s21}戰 爭 已 經 持 續 了 很 長 時 間 ， 這 場 戰 爭 可 能 很 快 將 以 一 紙 休 戰 條 約 作 為 結 束 。 
str_s21_the_fighting_has_begun_relatively_recently_and_the_war_may_continue_for_some_time|{s21}戰 爭 只 是 剛 剛 開 始 ， 這 場 戰 爭 應 該 還 會 持 續 一 段 時 間 。 
str__however_the_truce_is_no_longer_binding_on_the_s14|然 而 ， 和 約 並 不 能 束 縛 {s14} 。 
str_s21__the_s5_is_bound_by_truce_not_to_attack_the_s14s18_the_truce_will_expire_in_reg1_days|{s21}^^*受 到 休 戰 條 約 的 約 束 而 不 能 攻 擊 {s14} ， {s18}條 約 會 在 {reg1}天 後 失 效 。 
str_s21__the_s5_is_bound_by_alliance_not_to_attack_the_s14s18_the_alliance_will_expire_in_reg1_days|{s21}^^*{s5}與 {s14}達 成 了 同 盟 協 議 。 {s18}同 盟 會 在 {reg1}天 後 解 散 。 
str_alliance_durantion_days_expire|{s21}^^*{s5}與 {s14}達 成 了 正 式 同 盟 協 議 。 {s18}同 盟 會 在 {reg1}天 後 解 散 。 
str_s21__the_s5_has_recently_suffered_provocation_by_subjects_of_the_s14_and_there_is_a_risk_of_war|{s21}^^* {s5}最 近 受 到 了 來 自 {s14}的 挑 釁 ， 兩 國 的 沖 突 一 觸 即 發 。 
str_s21__the_s5_has_no_outstanding_issues_with_the_s14|{s21}^^*{s5}在 與 {s14}相 關 的 事 宜 上 沒 有 什 麼 懸 而 未 決 的 。 
str_s21_the_s14_was_recently_provoked_by_subjects_of_the_s5_and_there_is_a_risk_of_war_|{s21}{s14}近 期 遭 到 了 {s5}的 挑 釁 ， 很 可 能 將 會 爆 發 一 場 戰 爭 。 ^ 
str_the_s5_is_ruled_by_s6_it_occupies_s8_its_vassals_are_s10__s21|{s5}受 {s6}的 統 治 。 ^^它 占 據 著 ： ^{s8} 。 ^^它 的 領 主 有 ： ^{s10} 。 ^^{s21}
str_assigned_lord_reputation_and_relations_cheat_mode_reg3|更 改 領 主 聲 望 值 和 關 系 ， 作 弊 模 式： {reg3}
str_reg4_killed_reg5_wounded_reg6_routed|{reg4}死 亡 或 重 傷 。 {reg5}受 了 輕 傷 。 {reg6}逃 跑 了 。 
str_reg4_killed_reg5_routed|{reg4}死 亡 或 重 傷 。 {reg5}逃 跑 了 。 
str_reg4_killed_reg5_wounded|{reg4}死 亡 或 重 傷 。 {reg5}受 了 輕 傷 。 
str_reg4_wounded_reg5_routed|{reg4}受 了 輕 傷 。 {reg5}逃 跑 了 。 
str_s4_awarded_to_s5|{s4}獎 勵 給 {s5}
str_calculating_sortie_for_s4_strength_of_reg3_vs_reg4_enemies|預 計 {s4}突 圍 ， {reg3}兵 力 對 抗 {reg4}敵 軍 
str_current_wealth_reg1_taxes_last_collected_from_s4|當 前 財 富 ： {reg1}先 令 。 最 後 一 次 稅 收 於 {s4}
str_no_relation|無 關 系 
str_wife|妻 子 
str_husband|丈 夫 
str_father|父 親 
str_mother|母 親 
str_daughter|女 兒 
str_son|兒 子 
str_sister|姐 妹 
str_brother|兄 弟 
str_niece|侄 女 
str_nephew|侄 子 
str_aunt|阿 姨 
str_uncle|叔 叔 
str_cousin|同 輩 
str_daughterinlaw|兒 媳 
str_soninlaw|女 婿 
str_motherinlaw|岳 母 
str_fatherinlaw|岳 父 
str_sisterinlaw|妯 娌 
str_brotherinlaw|連 襟 
str_print_party_members_entered|列 出 加 入 的 隊 伍 成 員 
str_num_companion_stacks_=_reg10|部 隊 兵 種 數 = {reg10}
str_someone|某 個 人 
str_i_take_what_work_i_can_sirmadame_i_carry_water_or_help_the_merchants_with_their_loads_or_help_build_things_if_theres_things_to_be_built|我 可 以 做 力 所 能 及 的 事 情 ， {reg59?女 士 :先 生 } 。 我 能 搬 水 ， 或 者 幫 商 人 照 看 他 們 的 船 ， 有 必 要 的 話 ， 我 還 能 幫 他 們 蓋 房 子 。 
str_im_not_doing_anything_sirmadame_theres_no_work_to_be_had_around_here_these_days|我 現 在 沒 啥 事 兒 干 ， {reg59?女 士 :先 生 } 。 最 近 幾 天 這 附 近 都 沒 啥 活 可 干 的 。 
str_im_not_doing_anything_sirmadame_i_have_no_land_of_my_own_and_theres_no_work_to_be_had_around_here_these_days|我 現 在 沒 有 事 情 做 ， {reg59?女 士 :先 生 } 。 我 沒 有 自 己 的 土 地 ， 最 近 這 幾 天 ， 附 近 也 沒 啥 活 好 讓 我 干 的 。 
str_why_im_still_living_off_of_your_kindness_and_goodness_sirmadame_hopefully_there_will_be_work_shortly|我 不 需 要 接 受 你 那 善 良 的 好 意 ， {reg59?女 士 :先 生 } 。 有 希 望 的 話 ， 很 快 就 會 有 活 干 的 。 
str_i_work_in_the_fields_just_outside_the_walls_where_they_grow_grain_we_dont_quite_grow_enough_to_meet_our_needs_though_and_have_to_import_grain_from_the_surrounding_countryside|我 就 在 城 外 的 地 裡 干 活 ， 種 些 小 麥 。 我 們 的 收 成 不 夠 糊 口 ， 還 得 從 周 圍 的 其 他 村 子 進 一 些 。 
str_i_work_mostly_in_the_fields_growing_grain_in_the_town_they_grind_it_to_make_bread_or_ale_and_we_can_also_boil_it_as_a_porridge|我 大 多 數 時 候 都 在 地 裡 干 活 ， 種 小 麥 。 鎮 子 裡 的 人 把 它 們 磨 碎 了 做 面 包 或 是 麥 酒 ， 而 我 們 也 用 它 們 煮 粥 喝 。 
str_i_work_in_the_breweries_making_ale_the_poor_folk_drink_a_lot_of_it_as_its_cheaper_than_wine_we_make_it_with_grain_brought_in_from_the_countryside|我 在 釀 酒 廠 裡 工 作 ， 釀 麥 芽 酒 ， 窮 人 們 最 喜 歡 喝 它 ， 因 為 它 比 蜂 蜜 酒 便 宜 。 我 們 釀 酒 用 的 原 料 都 是 附 近 出 產 的 。 
str_i_work_in_a_mill_grinding_flour_to_make_bread_bread_is_cheap_keeps_well_and_fills_the_stomach|我 在 磨 坊 裡 干 活 ， 磨 出 面 粉 來 做 面 包 。 面 包 便 宜 ， 易 於 貯 存 ， 還 能 充 饑 。 
str_i_tend_cattle_we_dry_and_salt_meat_to_preserve_it_and_make_cheese_from_the_milk|我 養 牛 。 我 們 把 牛 肉 風 干 醃 制 保 存 ， 把 生 皮 送 到 鎮 上 加 工 成 皮 革 ， 還 用 牛 奶 做 奶 酪 。 
str_i_tend_cattle_we_dry_and_salt_meat_to_preserve_it_and_make_cheese_from_the_milk_so_it_doesnt_spoil|我 養 牛 。 我 們 把 牛 肉 風 干 醃 制 保 存 ， 把 生 皮 送 到 鎮 上 加 工 成 皮 革 ， 還 用 牛 奶 做 奶 酪 。 
str_i_tend_sheep_we_send_the_wool_to_the_cities_to_be_woven_into_cloth_and_make_mutton_sausage_when_we_cull_the_herds|我 養 羊 。 我 們 把 羊 毛 送 進 城 市 讓 他 們 織 成 衣 物 ， 在 殺 掉 一 些 老 弱 的 羊 之 後 ， 我 們 還 會 把 羊 肉 做 成 香 腸 。 
str_i_work_at_a_loom_spinning_cloth_from_wool_wool_is_some_of_the_cheapest_cloth_you_can_buy_but_it_will_still_keep_you_warm|我 在 織 布 機 上 工 作 ， 將 羊 毛 紡 成 衣 物 。 羊 毛 衣 物 是 你 所 能 買 到 的 最 便 宜 的 衣 物 之 一 ， 但 它 一 樣 能 讓 你 保 暖 。 
str_i_crew_a_fishing_boat_we_salt_and_smoke_the_flesh_to_sell_it_far_inland|我 在 一 條 漁 船 上 工 作 。 我 們 醃 制 並 熏 烤 捕 到 的 魚 ， 然 後 把 它 們 賣 到 遙 遠 的 內 陸 。 
str_i_sift_salt_from_a_nearby_flat_they_need_salt_everywhere_to_preserve_meat_and_fish|我 在 附 近 的 一 片 水 邊 窪 地 中 篩 鹽 。 哪 裡 都 需 要 鹽 ， 用 來 保 存 肉 和 魚 。 
str_i_mine_iron_from_a_vein_in_a_nearby_cliffside_they_use_it_to_make_tools_arms_and_other_goods|我 從 附 近 一 處 懸 崖 中 的 礦 脈 中 開 采 鐵 礦 石 。 人 們 用 它 來 制 造 工 具 ， 武 器 ， 還 有 其 它 東 西 。 
str_i_make_pottery_which_people_use_to_store_grain_and_carry_water|我 制 作 陶 器 ， 人 們 用 它 們 來 裝 小 麥 ， 運 水 。 
str_trade_explanation_tools|我 是 鐵 匠 ， {reg59?女 士 :先 生 } ， 打 各 種 各 樣 的 鐵 器 — — 刀 啦 、 斧 子 啦 、 盆 盆 罐 罐 啦 ， 還 有 犁 頭 、 鐮 刀 、 錘 子 、 鐵 砧 、 鉗 子 、 錛 子 、 鋸 子 、 釘 子 、 馬 蹄 鐵 、 點 火 棒 、 火 盆 ， 我 還 可 以 為 閣 下 打 造 各 式 各 樣 的 武 器 和 盔 甲 。 
str_trade_explanation_tar|我 在 一 個 焦 油 窯 裡 工 作 ， 用 從 鄉 村 帶 回 來 的 松 木 制 作 焦 油 。 如 果 你 能 買 得 起 ， 我 們 的 焦 油 會 有 上 百 種 用 途 – 使 船 帆 防 水 或 者 保 護 皮 革 。
str_trade_explanation_linen|我 編 亞 麻 布 ， 用 周 邊 地 區 出 產 的 亞 麻 。{reg59?女 士 :先 生 } ， 亞 麻 又 輕 薄 又 堅 韌 ， 可 以 用 來 做 夏 天 穿 的 衣 服 ， 帆 船 上 的 帆 布 什 麼 的 。 
str_trade_explanation_silver|我 在 這 個 鎮 子 的 鐵 匠 鋪 工 作 ， 並 且 專 心 地 制 作 我 們 已 知 的 珠 寶 。我 們 用 的 是 從 德 國 哈 爾 茨 山 脈 的 銀 礦 裡 帶 回 來 的 貴 重 金 屬 ， 使 他 們 成 為 能 在 這 片 土 地 上 找 到 的 最 精 致 貴 重 的 珠 寶 。
str_trade_explanation_mead|我 在 一 個 蜜 酒 廠 工 作 ， 我 把 從 蜂 巢 收 集 的 蜂 蜜 放 到 酒 桶 裡 ， 然 後 我 把 它 和 干 淨 的 水 混 合 在 一 起 發 酵 。 蜜 酒 比 葡 萄 酒 更 便 宜 ， 比 啤 酒 更 受 歡 迎 。 盛 宴 上 你 總 能 看 到 它 。 
str_trade_explanation_apples|我 剛 剛 從 果 園 回 來 ， 我 們 種 蘋 果 。 儲 存 的 時 候 我 們 會 曬 干 它 們 ， 也 用 它 們 來 釀 果 酒 和 果 醋 。 
str_trade_explanation_barley|我 在 大 麥 田 中 耕 作 ， 種 植 谷 物 喂 牛 並 且 釀 造 麥 芽 酒 以 解 我 對 土 地 的 渴 望 。 
str_trade_explanation_ivory|我 航 行 到 遙 遠 的 北 方 在 遠 洋 冰 川 的 海 灘 上 狩 獵 海 象 。 這 些 海 洋 生 物 有 兩 個 精 致 的 海 象 牙 。 回 到 家 ， 雕 刻 用 這 些 堅 硬 昂 貴 的 純 白 色 材 料 制 造 了 很 多 珍 貴 飾 品 。 
str_trade_explanation_leatherwork|我 在 城 外 的 硝 皮 場 工 作 ， 將 剝 下 來 的 動 物 毛 皮 做 成 柔 軟 的 皮 革 。 這 是 件 骯 髒 的 活 計 ， 我 回 到 家 的 時 候 都 帶 著 一 股 屎 、 尿 和 石 灰 的 味 道 — — 但 就 是 因 為 有 了 我 們 ， 您 才 能 有 靴 子 穿 ， 您 的 馬 匹 才 能 有 嚼 子 和 馬 鞍 ， {reg59?女 士 :先 生 } 。 
str_trade_explanation_flax|我 種 植 亞 麻 ， 並 且 揉 爛 根 莖 制 成 撐 亞 麻 纖 維 ： 這 就 是 亞 麻 布 的 來 源 ， {reg59?女 士 :先 生 } ， 在 田 壟 邊 緣 挖 的 一 個 小 坑 。 
str_trade_explanation_soapstone|我 在 一 個 滑 石 采 石 廠 工 作 。 這 些 石 頭 能 夠 直 接 在 巖 壁 上 開 采 成 形 然 後 從 這 裡 銷 往 國 外 。 滑 石 較 軟 並 且 易 雕 刻 ， 所 以 它 主 要 用 於 雕 刻 或 碗 。
str_trade_explanation_venison|我 在 森 林 中 獵 鹿 並 且 在 熏 制 房 工 作 ， 我 在 裡 面 熏 肉 讓 其 能 夠 長 期 保 存 。 在 寒 冷 的 季 節 ， 甚 至 在 夏 季 ， 鹿 肉 將 會 是 你 能 夠 吃 到 的 最 好 的 食 物 。 
str_s14_i_hear_that_you_can_find_a_good_price_for_it_in_s15|{s14} 。 我 聽 說 你 能 在 {s15}把 這 東 西 賣 個 好 價 錢 。 
str_s2s_rebellion|{s2}叛 軍 
str_political_suggestion|政 策 建 議 
str_instability_reg0_of_lords_are_disgruntled_reg1_are_restless|動 亂 ： {reg0}% 的 領 主 感 到 不 滿 ， {reg1}% 感 到 不 安 
str_reg1shehe_is_prisoner_of_s1|{reg1?她:他}成 為 {s1}的 囚 徒 了 。 
str_s39_rival|{s39} （ 競 爭 者） 
str_s41_s39_rival|{s41} ， {s39} （ 競 爭 者） 
str_reputation_cheat_mode_only_martial_|名 聲 ( 作 弊 模 式 可 見 ) ： 好 戰 ^
str_reputation_cheat_mode_only_debauched_|名 聲 ( 作 弊 模 式 可 見 ) ： 放 蕩 ^
str_reputation_cheat_mode_only_pitiless_|名 聲 ( 作 弊 模 式 可 見 ) ：無 情 ^
str_reputation_cheat_mode_only_calculating_|名 聲 ( 作 弊 模 式 可 見 ) ： 精 於 算 計 ^
str_reputation_cheat_mode_only_quarrelsome_|名 聲 ( 作 弊 模 式 可 見 ) ：好 爭 論 ^
str_reputation_cheat_mode_only_goodnatured_|名 聲 ( 作 弊 模 式 可 見 ) ：和 善 ^
str_reputation_cheat_mode_only_upstanding_|名 聲 ( 作 弊 模 式 可 見 ) ：正 直 ^
str_reputation_cheat_mode_only_conventional_|名 聲 ( 作 弊 模 式 可 見 ) ： 傳 統 ^
str_reputation_cheat_mode_only_adventurous_|名 聲 ( 作 弊 模 式 可 見 ) ：冒 險 ^
str_reputation_cheat_mode_only_romantic_|名 聲 ( 作 弊 模 式 可 見 ) ：浪 漫 ^
str_reputation_cheat_mode_only_moralist_|名 聲 ( 作 弊 模 式 可 見 ) ：衛 道 士 ^
str_reputation_cheat_mode_only_ambitious_|名 聲 ( 作 弊 模 式 可 見 ) ：雄 心 勃 勃 ^
str_reputation_cheat_mode_only_reg11_|名 聲 ( 作 弊 模 式 可 見 ) ：{reg11}^
str_reputation_only_martial_|據 你 所 知 ， 他 的 個 性 似 乎 是 好 戰 ^
str_reputation_only_debauched_|據 你 所 知 ， 他 的 個 性 似 乎 是 放 蕩 ^
str_reputation_only_pitiless_|據 你 所 知 ， 他 的 個 性 似 乎 是 無 情 ^
str_reputation_only_calculating_|據 你 所 知 ， 他 的 個 性 似 乎 是 精 於 算 計 ^
str_reputation_only_quarrelsome_|據 你 所 知 ， 他 的 個 性 似 乎 是 好 爭 論 ^
str_reputation_only_goodnatured_|據 你 所 知 ， 他 的 個 性 似 乎 是 和 善 ^
str_reputation_only_upstanding_|據 你 所 知 ， 他 的 個 性 似 乎 是 正 直 ^
str_reputation_only_conventional_|據 你 所 知 ， 他 的 個 性 似 乎 是 傳 統 ^
str_reputation_only_adventurous_|據 你 所 知 ， 他 的 個 性 似 乎 是 冒 險 ^
str_reputation_only_romantic_|據 你 所 知 ， 他 的 個 性 似 乎 是 浪 漫 ^
str_reputation_only_moralist_|據 你 所 知 ， 他 的 個 性 似 乎 是 衛 道 士^
str_reputation_only_ambitious_|據 你 所 知 ， 他 的 個 性 似 乎 是 雄 心 勃 勃 ^
str_reputation_only_reg11_|名 聲 ( 作 弊 模 式 可 見 ) ： {reg11}^
str_love_interest|愛 情 影 響 
str_betrothed|已 婚 的 
str_other_relations_s40_|其 它 關 系 ： {s40}^ 
str_relation_with_liege_reg0_|和 君 主 關 系 ： {reg0}^ 
str_sense_of_security_military_reg1_court_position_reg3_|安 全 感 ： 軍 事 上 {reg1} ， 朝 中 地 位 {reg3}^ 
str_political_details_s47_|內 政 詳 細 ： ^{s47}^ 
str_the_s55|{s55}
str_travellers_on_the_road|道 路 上 的 旅 行 者 
str_a_short_while_ago|剛 剛 
str_one_day_ago|一 天 之 前 
str_two_days_day_ago|兩 天 以 前 
str_earlier_this_week|這 周 早 些 時 候 
str_about_a_week_ago|一 周 以 前 
str_about_two_weeks_ago|兩 周 之 前 
str_several_weeks_ago|幾 星 期 之 前 
str_unknown_assailants|未 知 攻 擊 者 
str_swadians|布 立 吞 人 
str_vaegirs|維 京 人 
str_khergits|撒 克 遜 人 
str_nords|盎 格 魯 人 
str_rhodoks|戈 伊 德 爾 人 
str_sarranids|皮 克 特 人 
str_bandits|強 盜 
str_deserters|亂 軍 
str_your_followers|你 的 部 下 
str_we_have_heard_that_travellers_heading_to_s40_were_attacked_on_the_road_s46_by_s39|我 們 已 經 得 知 前 往 {s40}的 旅 行 者 在 途 經 {s46}的 路 上 被 {s39}襲 擊 了 
str_we_have_heard_that_travellers_coming_from_s40_were_attacked_on_the_road_s46_by_s39|我 們 已 經 得 知 來 自 {s40}的 旅 行 者 在 途 經 {s46}的 路 上 被 {s39}襲 擊 了 
str_travellers_coming_from_s40_traded_here_s46|來 自 {s40}的 旅 行 者 在 {s46}這 兒 做 生 意 
str_it_is_still_early_in_the_caravan_season_so_we_have_seen_little_tradings42|現 在 還 不 是 商 旅 繁 忙 的 時 節 ， 所 以 我 們 看 到 的 生 意 還 很 少 。 {s42}
str_there_has_been_very_little_trading_activity_here_recentlys42|此 地 的 商 貿 現 在 完 全 不 值 一 提 。 {s42}
str_there_has_some_trading_activity_here_recently_but_not_enoughs42|此 地 的 商 貿 現 在 略 有 起 色 ， 但 還 不 夠 。 {s42}
str_there_has_some_trading_activity_here_recently_but_the_roads_are_dangerouss42|此 地 的 商 貿 現 在 略 有 起 色 ， 但 道 路 不 靖 。 {s42}
str_the_roads_around_here_are_very_dangerouss42|此 地 附 近 的 道 路 非 常 危 險 。 {s42}
str_we_have_received_many_traders_in_town_here_although_there_is_some_danger_on_the_roadss42|鎮 子 裡 現 在 已 經 來 了 很 多 商 人 ， 雖 然 道 路 上 還 有 一 些 危 險 。 {s42}
str_we_have_received_many_traders_in_town_heres42|鎮 子 裡 現 在 已 經 來 了 很 多 商 人 。 {s42}
str_there_is_little_news_about_the_caravan_routes_to_the_towns_of_s44_and_nearby_parts_but_no_news_is_good_news_and_those_are_therefore_considered_safe|目 前 沒 有 那 些 往 返 於 {s44}的 城 鎮 還 有 周 邊 地 區 的 商 隊 的 消 息 。 但 沒 有 消 息 就 是 好 消 息 ， 所 以 那 些 商 隊 可 以 被 視 作 是 安 全 的 。 
str_s47_also_the_roads_to_the_villages_of_s44_and_other_outlying_hamlets_are_considered_safe|{s47}同 樣 ， 那 些 通 往 {s44}的 村 子 和 周 圍 其 他 村 子 的 道 路 被 認 為 是 安 全 的 。 
str_however_the_roads_to_the_villages_of_s44_and_other_outlying_hamlets_are_considered_safe|不 過 ， 那 些 通 往 {s44}的 村 子 和 周 圍 其 他 村 子 的 道 路 被 認 為 是 安 全 的 。 
str_we_have_shortages_of|我 們 缺 少 
str_we_have_adequate_stores_of_all_commodities|我 們 所 有 的 貨 物 都 有 足 夠 的 庫 存 
str_s33_and_some_other_commodities|{s33}和 一 些 其 它 貨 物 
str_the_roads_are_full_of_brigands_friend_but_that_name_in_particular_does_not_sound_familiar_good_hunting_to_you_nonetheless|雖 說 這 些 道 路 上 盜 賊 遍 地 ， 朋 友 ， 但 那 伙 家 伙 的 名 號 卻 從 沒 聽 說 過 。 盡 管 如 此 ， 還 是 祝 你 馬 到 成 功 。 
str_less_than_an_hour_ago|不 到 一 小 時 之 前 
str_maybe_reg3_hours_ago|也 許 {reg3}小 時 之 前 
str_reg3_days_ago|{reg3}天 之 前 
str_youre_in_luck_we_sighted_those_bastards_s16_near_s17_hurry_and_you_might_be_able_to_pick_up_their_trail_while_its_still_hot|你 運 氣 不 錯 。 我 們 在 靠 近 {s17}的 {s16}發 現 了 那 些 雜 碎 。 快 點 ， 沒 准 你 還 能 逮 他 們 個 正 著 。 
str_you_speak_of_claims_to_the_throne_good_there_is_nothing_id_rather_do_than_fight_for_a_good_cause|你 聲 稱 王 位 應 屬 於 你 。 不 錯 。 師 出 有 名 是 再 好 不 過 了 。 
str_you_speak_of_claims_to_the_throne_well_there_is_nothing_id_rather_do_than_fight_for_a_good_cause_but_the_claim_you_make_seems_somewhat_weak|你 聲 稱 王 位 應 屬 於 你 。 不 錯 。 師 出 有 名 是 再 好 不 過 了 ， 不 過 你 的 主 張 看 上 去 是 那 麼 的 虛 弱 無 力 。 
str_i_am_pleased_that_you_speak_of_upholding_my_ancient_rights_which_are_sometimes_trod_upon_in_these_sorry_days|我 很 高 興 你 能 支 持 我 古 老 的 權 利 ， 它 們 在 過 往 的 悲 慘 歲 月 裡 曾 被 無 情 踐 踏 。 
str_i_am_pleased_that_you_speak_of_upholding_my_ancient_rights_but_sometimes_men_make_pledges_before_they_are_king_which_they_cannot_keep_once_they_take_the_throne|我 很 高 興 你 能 支 持 我 古 老 的 權 利 。 不 過 很 多 時 候 ， 人 一 旦 登 上 寶 座 ， 就 會 背 棄 先 前 的 種 種 許 諾 。 
str_you_speak_of_protecting_the_commons_well_i_supposed_thats_good_but_sometimes_the_commons_overstep_their_boundaries_im_more_concerned_that_your_claim_be_legal_so_i_can_swing_my_sword_with_a_good_conscience|你 說 你 要 保 護 平 民 。 好 吧 ， 我 認 為 這 沒 有 錯 ， 但 是 那 些 平 民 有 時 候 自 己 逾 越 了 界 線 。 我 更 關 心 你 的 主 張 是 否 合 法 ， 只 有 那 樣 我 才 能 憑 著 良 心 揮 劍 奮 戰 。 
str_you_speak_of_giving_me_land_good_i_ask_for_no_more_than_my_due|你 說 要 給 我 土 地 。 很 好 。 我 只 要 我 應 得 的 那 一 份 。 
str_you_speak_of_giving_me_land_unfortunately_you_are_not_wellknown_for_rewarding_those_to_whom_you_have_made_such_offers|你 說 要 給 我 土 地 。 不 幸 的 是 ， 對 於 那 些 你 曾 經 如 此 許 諾 的 人 ， 你 好 像 並 不 樂 於 將 其 兌 現 。 
str_you_speak_of_unifying_calradia_well_i_believe_that_well_always_be_fighting__its_important_that_we_fight_for_a_rightful_cause|你 揚 言 要 統 一 這 些 土 地 。 很 好 ， 我 相 信 我 們 之 間 的 爭 斗 會 永 無 止 息 ， 因 為 我 出 師 有 名 了 。 
str_you_talk_of_claims_to_the_throne_but_i_leave_bickering_about_legalities_to_the_lawyers_and_clerks|你 聲 稱 王 位 應 屬 於 你 ， 不 過 我 向 來 把 這 類 關 於 法 理 的 爭 辯 丟 給 那 些 訟 師 書 吏 處 理 。 
str_you_speak_of_ruling_justly_hah_ill_believe_theres_such_a_thing_as_a_just_king_when_i_see_one|你 說 你 將 會 公 正 地 進 行 統 治 。 哈 ！ 在 親 眼 目 睹 之 前 ， 我 不 會 相 信 世 上 還 有 公 正 的 國 王 這 種 東 西 。 
str_you_spoke_of_protecting_the_rights_of_the_nobles_if_you_did_youd_be_the_first_king_to_do_so_in_a_very_long_time|你 曾 說 要 保 護 貴 族 的 權 利 。 如 果 你 真 這 麼 做 了 ， 你 將 會 是 長 久 以 來 第 一 個 如 此 做 的 國 王 。 
str_you_speak_of_giving_me_land_ay_well_lets_see_if_you_deliver|你 說 要 給 我 土 地 。 這 我 贊 成 ， 好 吧 ， 讓 我 們 來 看 看 你 會 不 會 信 守 承 諾 。 
str_you_speak_of_giving_me_land_bah_youre_not_known_for_delivering_on_your_pledges|你 說 要 給 我 土 地 。 省 省 吧 。 你 可 不 像 是 信 守 承 諾 的 人 。 
