itm_no_item|INVALID ITEM{***}
itm_byrnie18|诺 尔 斯 锁 子 甲 
itm_byrnie18_pl|诺 尔 斯 锁 子 甲 
itm_byrnie19|诺 尔 斯 锁 子 甲 
itm_byrnie19_pl|诺 尔 斯 锁 子 甲 
itm_byrnie20|弗 里 斯 锁 子 甲 
itm_byrnie20_pl|弗 里 斯 锁 子 甲  
itm_byrnie21|撒 克 逊 胸 甲 
itm_byrnie21_pl|撒 克 逊 胸 甲 
itm_byrnie22|撒 克 逊 锁 子 甲 
itm_byrnie22_pl|撒 克 逊 锁 子 甲 
itm_byrnie23|盎 格 鲁 锁 子 甲 
itm_byrnie23_pl|盎 格 鲁 锁 子 甲 
itm_byrnie24|盎 格 鲁 锁 子 甲 
itm_byrnie24_pl|盎 格 鲁 锁 子 甲 
itm_byrnie25|盎 格 鲁 锁 子 甲 
itm_byrnie25_pl|盎 格 鲁 锁 子 甲 
itm_byrnie26|盎 格 鲁 锁 子 甲 
itm_byrnie26_pl|盎 格 鲁 锁 子 甲 
itm_byrnie27|带 斗 篷 盎 格 鲁 锁 子 甲 
itm_byrnie27_pl|带 斗 篷 盎 格 鲁 锁 子 甲 
itm_byrnie28|外 披 毛 皮 的 盎 格 鲁 锁 子 甲 
itm_byrnie28_pl|外 披 毛 皮 的 盎 格 鲁 锁 子 甲 
itm_byrnie29|带 斗 篷 盎 格 鲁 锁 子 甲 
itm_byrnie29_pl|带 斗 篷 盎 格 鲁 锁 子 甲 
itm_byrnie30|外 披 毛 皮 的 盎 格 鲁 锁 子 甲 
itm_byrnie30_pl|外 披 毛 皮 的 盎 格 鲁 锁 子 甲 
itm_byrnie31|带 斗 篷 长 袖 锁 甲 袍 
itm_byrnie31_pl|带 斗 篷 长 袖 锁 甲 袍 
itm_byrnie32|带 斗 篷 长 袖 锁 甲 袍 
itm_byrnie32_pl|带 斗 篷 长 袖 锁 甲 袍 
itm_byrnie33|带 斗 篷 长 袖 锁 甲 袍 
itm_byrnie33_pl|带 斗 篷 长 袖 锁 甲 袍 
itm_byrnie34|带 斗 篷 长 袖 锁 甲 袍 
itm_byrnie34_pl|带 斗 篷 长 袖 锁 甲 袍 
itm_byrnie35|弗 里 斯 重 型 锁 子 甲 
itm_byrnie35_pl|弗 里 斯 重 型 锁 子 甲 
itm_byrnie36|戈 伊 德 尔 重 型 锁 子 甲 
itm_byrnie36_pl|戈 伊 德 尔 重 型 锁 子 甲 
itm_byrnie37|戈 伊 德 尔 重 型 锁 子 甲 
itm_byrnie37_pl|戈 伊 德 尔 重 型 锁 子 甲 
itm_byrnie38|戈 伊 德 尔 重 型 锁 子 甲 
itm_byrnie38_pl|戈 伊 德 尔 重 型 锁 子 甲 
itm_orm_byrnie|奥 姆 锁 子 甲 
itm_orm_byrnie_pl|奥 姆 锁 子 甲 
itm_lamellar_armor|吓 人 的 锁 子 甲 
itm_lamellar_armor_pl|吓 人 的 锁 子 甲 
itm_burlap_tunic|麻 布 短 袍 
itm_burlap_tunic_pl|麻 布 短 袍 
itm_hood_01|风 帽 
itm_hood_01_pl|风 帽 
itm_hood_02|风 帽 
itm_hood_02_pl|风 帽 
itm_phrygian1|头 巾 
itm_phrygian1_pl|头 巾 
itm_phrygian2|头 巾 
itm_phrygian2_pl|头 巾 
itm_phrygian3|头 巾 
itm_phrygian3_pl|头 巾 
itm_phrygian4|头 巾 
itm_phrygian4_pl|头 巾 
itm_phrygian5|头 巾 
itm_phrygian5_pl|头 巾 
itm_phrygian6|头 巾 
itm_phrygian6_pl|头 巾 
itm_phrygian7|优 质 头 巾 
itm_phrygian7_pl|优 质 头 巾 
itm_phrygian8|优 质 头 巾 
itm_phrygian8_pl|优 质 头 巾 
itm_phrygian9|优 质 头 巾 
itm_phrygian9_pl|优 质 头 巾 
itm_phrygian10|优 质 头 巾 
itm_phrygian10_pl|优 质 头 巾 
itm_phrygian11|优 质 头 巾 
itm_phrygian11_pl|优 质 头 巾 
itm_phrygian12|优 质 头 巾 
itm_phrygian12_pl|优 质 头 巾 
itm_phrygian13|优 质 头 巾 
itm_phrygian13_pl|优 质 头 巾 
itm_phrygian14|带 装 饰 的 头 巾 
itm_phrygian14_pl|带 装 饰 的 头 巾 
itm_phrygian15|带 装 饰 的 头 巾 
itm_phrygian15_pl|带 装 饰 的 头 巾 
itm_phrygian16|带 装 饰 的 头 巾 
itm_phrygian16_pl|带 装 饰 的 头 巾 
itm_phrygian17|带 装 饰 的 头 巾 
itm_phrygian17_pl|带 装 饰 的 头 巾 
itm_briton_helm|简 易 头 盔 
itm_briton_helm_pl|简 易 头 盔 
itm_briton_helm2|简 易 头 盔 
itm_briton_helm2_pl|简 易 头 盔 
itm_briton_helm3|老 式 简 易 头 盔 
itm_briton_helm3_pl|老 式 简 易 头 盔 
itm_briton_helm4|老 式 简 易 头 盔 
itm_briton_helm4_pl|老 式 简 易 头 盔 
itm_briton_helm5|带 皮 护 颈 简 易 头 盔 
itm_briton_helm5_pl|带 皮 护 颈 简 易 头 盔 
itm_briton_helm6|带 皮 护 颈 简 易 头 盔 
itm_briton_helm6_pl|带 皮 护 颈 简 易 头 盔 
itm_briton_helm7|老 式 带 皮 护 颈 简 易 头 盔 
itm_briton_helm7_pl|老 式 带 皮 护 颈 简 易 头 盔 
itm_briton_helm8|老 式 带 皮 护 颈 简 易 头 盔 
itm_briton_helm8_pl|老 式 带 皮 护 颈 简 易 头 盔 
itm_briton_helm9|全 盔 
itm_briton_helm9_pl|全 盔 
itm_briton_helm10|全 盔 
itm_briton_helm10_pl|全 盔 
itm_briton_helm11|老 式 全 盔 
itm_briton_helm11_pl|老 式 全 盔 
itm_briton_helm12|老 式 全 盔 
itm_briton_helm12_pl|老 式 全 盔 
itm_briton_helm13|全 盔 
itm_briton_helm13_pl|全 盔 
itm_briton_helm14|全 盔 
itm_briton_helm14_pl|全 盔 
itm_briton_helm15|全 盔 
itm_briton_helm15_pl|全 盔 
itm_briton_helm16|老 式 全 盔 
itm_briton_helm16_pl|老 式 全 盔 
itm_briton_helm17|老 式 全 盔 
itm_briton_helm17_pl|老 式 全 盔 
itm_briton_helm18|老 式 全 盔 
itm_briton_helm18_pl|老 式 全 盔 
itm_briton_helm19|带 护 鼻 头 盔 
itm_briton_helm19_pl|带 护 鼻 头 盔 
itm_briton_helm20|带 护 鼻 头 盔 
itm_briton_helm20_pl|带 护 鼻 头 盔 
itm_briton_helm21|带 护 鼻 头 盔 
itm_briton_helm21_pl|带 护 鼻 头 盔 
itm_briton_helm22|老 式 带 护 鼻 头 盔 
itm_briton_helm22_pl|老 式 带 护 鼻 头 盔 
itm_briton_helm23|老 式 带 护 鼻 头 盔 
itm_briton_helm23_pl|老 式 带 护 鼻 头 盔 
itm_briton_helm24|老 式 带 护 鼻 头 盔 
itm_briton_helm24_pl|老 式 带 护 鼻 头 盔 
itm_briton_helm25|带 皮 护 颈 头 盔 
itm_briton_helm25_pl|带 皮 护 颈 头 盔 
itm_briton_helm26|带 皮 护 颈 头 盔 
itm_briton_helm26_pl|带 皮 护 颈 头 盔 
itm_briton_helm27|带 皮 护 颈 头 盔 
itm_briton_helm27_pl|带 皮 护 颈 头 盔 
itm_briton_helm28|老 式 带 皮 护 颈 头 盔 
itm_briton_helm28_pl|老 式 带 皮 护 颈 头 盔 
itm_briton_helm29|老 式 带 皮 护 颈 头 盔 
itm_briton_helm29_pl|老 式 带 皮 护 颈 头 盔 
itm_briton_helm30|老 式 带 皮 护 颈 头 盔 
itm_briton_helm30_pl|老 式 带 皮 护 颈 头 盔 
itm_briton_helm31|链 甲 护 颈 头 盔 
itm_briton_helm31_pl|链 甲 护 颈 头 盔 
itm_briton_helm32|链 甲 护 颈 头 盔 
itm_briton_helm32_pl|链 甲 护 颈 头 盔 
itm_briton_helm33|链 甲 护 颈 头 盔 
itm_briton_helm33_pl|链 甲 护 颈 头 盔 
itm_briton_helm34|链 甲 护 颈 头 盔 
itm_briton_helm34_pl|链 甲 护 颈 头 盔 
itm_briton_helm35|全 盔 
itm_briton_helm35_pl|全 盔 
itm_briton_helm36|全 盔 
itm_briton_helm36_pl|全 盔 
itm_briton_helm37|全 盔 
itm_briton_helm37_pl|全 盔 
itm_briton_helm38|老 式 全 盔 
itm_briton_helm38_pl|老 式 全 盔 
itm_briton_helm39|老 式 全 盔 
itm_briton_helm39_pl|老 式 全 盔 
itm_briton_helm40|老 式 全 盔 
itm_briton_helm40_pl|老 式 全 盔 
itm_spangenhelm_1|简 易 头 盔 
itm_spangenhelm_1_pl|简 易 头 盔 
itm_spangenhelm_2|简 易 头 盔 
itm_spangenhelm_2_pl|简 易 头 盔 
itm_spangenhelm_3|老 式 简 易 头 盔 
itm_spangenhelm_3_pl|老 式 简 易 头 盔 
itm_spangenhelm_4|老 式 简 易 头 盔 
itm_spangenhelm_4_pl|老 式 简 易 头 盔 
itm_spangenhelm_5|简 易 链 甲 护 颈 头 盔 
itm_spangenhelm_5_pl|简 易 链 甲 护 颈 头 盔 
itm_spangenhelm_6|简 易 链 甲 护 颈 头 盔 
itm_spangenhelm_6_pl|简 易 链 甲 护 颈 头 盔 
itm_spangenhelm_7|老 式 带 皮 护 颈 头 盔 
itm_spangenhelm_7_pl|老 式 带 皮 护 颈 头 盔 
itm_spangenhelm_8|老 式 简 易 链 甲 护 颈 头 盔 
itm_spangenhelm_8_pl|老 式 简 易 链 甲 护 颈 头 盔 
itm_spangenhelm_9|全 盔 
itm_spangenhelm_9_pl|全 盔 
itm_spangenhelm_10|全 盔 
itm_spangenhelm_10_pl|全 盔 
itm_spangenhelm_11|老 式 全 盔 
itm_spangenhelm_11_pl|老 式 全 盔 
itm_spangenhelm_12|老 式 全 盔 
itm_spangenhelm_12_pl|老 式 全 盔 
itm_spangenhelm_13|全 盔 
itm_spangenhelm_13_pl|全 盔 
itm_spangenhelm_14|全 盔 
itm_spangenhelm_14_pl|全 盔 
itm_spangenhelm_15|全 盔 
itm_spangenhelm_15_pl|全 盔 
itm_spangenhelm_16|老 式 全 盔 
itm_spangenhelm_16_pl|老 式 全 盔 
itm_spangenhelm_17|老 式 全 盔 
itm_spangenhelm_17_pl|老 式 全 盔 
itm_spangenhelm_18|老 式 全 盔 
itm_spangenhelm_18_pl|老 式 全 盔 
itm_spangenhelm_19|带 护 鼻 头 盔 
itm_spangenhelm_19_pl|带 护 鼻 头 盔 
itm_spangenhelm_20|带 护 鼻 头 盔 
itm_spangenhelm_20_pl|带 护 鼻 头 盔 
itm_spangenhelm_21|带 护 鼻 头 盔 
itm_spangenhelm_21_pl|带 护 鼻 头 盔 
itm_spangenhelm_22|带 护 鼻 头 盔 
itm_spangenhelm_22_pl|带 护 鼻 头 盔 
itm_spangenhelm_23|老 式 头 盔 
itm_spangenhelm_23_pl|老 式 头 盔 
itm_spangenhelm_24|老 式 带 护 鼻 头 盔 
itm_spangenhelm_24_pl|老 式 带 护 鼻 头 盔 
itm_spangenhelm_25|带 皮 护 颈 头 盔 
itm_spangenhelm_25_pl|带 皮 护 颈 头 盔 
itm_spangenhelm_26|带 皮 护 颈 头 盔 
itm_spangenhelm_26_pl|带 皮 护 颈 头 盔 
itm_spangenhelm_27|带 皮 护 颈 头 盔 
itm_spangenhelm_27_pl|带 皮 护 颈 头 盔 
itm_spangenhelm_28|老 式 带 皮 护 颈 头 盔 
itm_spangenhelm_28_pl|老 式 带 皮 护 颈 头 盔 
itm_spangenhelm_29|老 式 带 皮 护 颈 头 盔 
itm_spangenhelm_29_pl|老 式 带 皮 护 颈 头 盔 
itm_spangenhelm_30|撒 克 逊 带 皮 护 颈 头 盔 
itm_spangenhelm_30_pl|撒 克 逊 带 皮 护 颈 头 盔 
itm_spangenhelm_31|链 甲 护 颈 头 盔 
itm_spangenhelm_31_pl|链 甲 护 颈 头 盔 
itm_spangenhelm_32|链 甲 护 颈 头 盔 
itm_spangenhelm_32_pl|链 甲 护 颈 头 盔 
itm_spangenhelm_33|老 式 链 甲 护 颈 头 盔 
itm_spangenhelm_33_pl|老 式 链 甲 护 颈 头 盔 
itm_spangenhelm_34|老 式 链 甲 护 颈 头 盔 
itm_spangenhelm_34_pl|老 式 链 甲 护 颈 头 盔 
itm_spangenhelm_35|全 盔 
itm_spangenhelm_35_pl|全 盔 
itm_spangenhelm_36|全 盔 
itm_spangenhelm_36_pl|全 盔 
itm_spangenhelm_37|全 盔 
itm_spangenhelm_37_pl|全 盔 
itm_spangenhelm_38|老 式 全 盔 
itm_spangenhelm_38_pl|老 式 全 盔 
itm_spangenhelm_39|老 式 全 盔 
itm_spangenhelm_39_pl|老 式 全 盔 
itm_spangenhelm_40|老 式 全 盔 
itm_spangenhelm_40_pl|老 式 全 盔 
itm_vikingold_helm|老 式 诺 尔 斯 盔 
itm_vikingold_helm_pl|老 式 诺 尔 斯 盔 
itm_vikingold_helm2|老 式 诺 尔 斯 盔 
itm_vikingold_helm2_pl|老 式 诺 尔 斯 盔 
itm_vikingold_helm3|带 护 鼻 老 式 诺 尔 斯 盔 
itm_vikingold_helm3_pl|带 护 鼻 老 式 诺 尔 斯 盔 
itm_vikingold_helm4|带 护 鼻 老 式 诺 尔 斯 盔 
itm_vikingold_helm4_pl|带 护 鼻 老 式 诺 尔 斯 盔 
itm_vikingold_helm5|带 护 鼻 老 式 诺 尔 斯 盔 
itm_vikingold_helm5_pl|带 护 鼻 老 式 诺 尔 斯 盔 
itm_vikingold_helm6|带 护 鼻 老 式 诺 尔 斯 盔 
itm_vikingold_helm6_pl|带 护 鼻 老 式 诺 尔 斯 盔 
itm_vikingold_helm7|老 式 头 盔 
itm_vikingold_helm7_pl|老 式 头 盔 
itm_vikingold_helm8|老 式 头 盔 
itm_vikingold_helm8_pl|老 式 头 盔 
itm_vikingold_helm9|带 护 鼻 老 式 诺 尔 斯 盔 
itm_vikingold_helm9_pl|带 护 鼻 老 式 诺 尔 斯 盔 
itm_vikingold_helm10|带 护 鼻 老 式 诺 尔 斯 盔 
itm_vikingold_helm10_pl|带 护 鼻 老 式 诺 尔 斯 盔 
itm_vikingold_helm11|带 护 鼻 老 式 诺 尔 斯 盔 
itm_vikingold_helm11_pl|带 护 鼻 老 式 诺 尔 斯 盔 
itm_vikingold_helm12|带 护 鼻 老 式 诺 尔 斯 盔 
itm_vikingold_helm12_pl|带 护 鼻 老 式 诺 尔 斯 盔 
itm_vikingold_helm13|老 式 诺 尔 斯 链 甲 护 颈 头 盔 
itm_vikingold_helm13_pl|老 式 诺 尔 斯 链 甲 护 颈 头 盔 
itm_vikingold_helm14|老 式 诺 尔 斯 链 甲 护 颈 头 盔 
itm_vikingold_helm14_pl|老 式 诺 尔 斯 链 甲 护 颈 头 盔 
itm_vikingold_helm15|老 式 诺 尔 斯 链 甲 护 颈 头 盔 
itm_vikingold_helm15_pl|老 式 诺 尔 斯 链 甲 护 颈 头 盔 
itm_vikingold_helm16|老 式 诺 尔 斯 链 甲 护 颈 头 盔 
itm_vikingold_helm16_pl|老 式 诺 尔 斯 链 甲 护 颈 头 盔 
itm_vikingold_helm17|老 式 诺 尔 斯 链 甲 护 颈 头 盔 
itm_vikingold_helm17_pl|老 式 诺 尔 斯 链 甲 护 颈 头 盔 
itm_vikingold_helm18|老 式 诺 尔 斯 链 甲 护 颈 头 盔 
itm_vikingold_helm18_pl|老 式 诺 尔 斯 链 甲 护 颈 头 盔 
itm_vikingold_helm19|老 式 诺 尔 斯 全 盔 
itm_vikingold_helm19_pl|老 式 诺 尔 斯 全 盔 
itm_vikingold_helm20|老 式 诺 尔 斯 全 盔 
itm_vikingold_helm20_pl|老 式 诺 尔 斯 全 盔 
itm_vikingold_helm21|老 式 诺 尔 斯 全 盔 
itm_vikingold_helm21_pl|老 式 诺 尔 斯 全 盔 
itm_vikingold_helm22|老 式 诺 尔 斯 全 盔 
itm_vikingold_helm22_pl|老 式 诺 尔 斯 全 盔 
itm_vikingold_helm23|老 式 诺 尔 斯 全 盔 
itm_vikingold_helm23_pl|老 式 诺 尔 斯 全 盔 
itm_vikingold_helm24|老 式 诺 尔 斯 全 盔 
itm_vikingold_helm24_pl|老 式 诺 尔 斯 全 盔 
itm_viking_helm|简 易 诺 尔 斯 盔 
itm_viking_helm_pl|简 易 诺 尔 斯 盔 
itm_viking_helm2|简 易 诺 尔 斯 盔 
itm_viking_helm2_pl|简 易 诺 尔 斯 盔 
itm_viking_helm3|带 护 鼻 诺 尔 斯 盔 
itm_viking_helm3_pl|带 护 鼻 诺 尔 斯 盔 
itm_viking_helm4|带 护 鼻 诺 尔 斯 盔 
itm_viking_helm4_pl|带 护 鼻 诺 尔 斯 盔 
itm_viking_helm5|带 护 鼻 诺 尔 斯 盔 
itm_viking_helm5_pl|带 护 鼻 诺 尔 斯 盔 
itm_viking_helm6|带 护 鼻 诺 尔 斯 盔 
itm_viking_helm6_pl|带 护 鼻 诺 尔 斯 盔 
itm_viking_helm7|诺 尔 斯 盔 
itm_viking_helm7_pl|诺 尔 斯 盔 
itm_viking_helm8|诺 尔 斯 盔 
itm_viking_helm8_pl|诺 尔 斯 盔 
itm_viking_helm9|带 护 鼻 诺 尔 斯 盔 
itm_viking_helm9_pl|带 护 鼻 诺 尔 斯 盔 
itm_viking_helm10|带 护 鼻 诺 尔 斯 盔 
itm_viking_helm10_pl|带 护 鼻 诺 尔 斯 盔 
itm_viking_helm11|带 护 鼻 诺 尔 斯 盔 
itm_viking_helm11_pl|带 护 鼻 诺 尔 斯 盔 
itm_viking_helm12|带 护 鼻 诺 尔 斯 盔 
itm_viking_helm12_pl|带 护 鼻 诺 尔 斯 盔 
itm_viking_helm13|诺 尔 斯 链 甲 护 颈 盔 
itm_viking_helm13_pl|诺 尔 斯 链 甲 护 颈 盔 
itm_viking_helm14|诺 尔 斯 链 甲 护 颈 盔 
itm_viking_helm14_pl|诺 尔 斯 链 甲 护 颈 盔 
itm_viking_helm15|带 护 鼻 诺 尔 斯 盔 
itm_viking_helm15_pl|带 护 鼻 诺 尔 斯 盔 
itm_viking_helm16|带 护 鼻 诺 尔 斯 盔 
itm_viking_helm16_pl|带 护 鼻 诺 尔 斯 盔 
itm_viking_helm17|带 护 鼻 诺 尔 斯 盔 
itm_viking_helm17_pl|带 护 鼻 诺 尔 斯 盔 
itm_viking_helm18|带 护 鼻 诺 尔 斯 盔 
itm_viking_helm18_pl|带 护 鼻 诺 尔 斯 盔 
itm_viking_helm19|诺 尔 斯 全 盔 
itm_viking_helm19_pl|诺 尔 斯 全 盔 
itm_viking_helm20|诺 尔 斯 全 盔 
itm_viking_helm20_pl|诺 尔 斯 全 盔 
itm_viking_helm21|诺 尔 斯 全 盔 
itm_viking_helm21_pl|诺 尔 斯 全 盔 
itm_viking_helm22|诺 尔 斯 全 盔 
itm_viking_helm22_pl|诺 尔 斯 全 盔 
itm_viking_helm23|诺 尔 斯 全 盔 
itm_viking_helm23_pl|诺 尔 斯 全 盔 
itm_viking_helm24|诺 尔 斯 全 盔 
itm_viking_helm24_pl|诺 尔 斯 全 盔 
itm_vikingold_elitehelm1|老 式 诺 尔 斯 盔 
itm_vikingold_elitehelm1_pl|老 式 诺 尔 斯 盔 
itm_vikingold_elitehelm2|老 式 诺 尔 斯 盔 
itm_vikingold_elitehelm2_pl|老 式 诺 尔 斯 盔 
itm_vikingold_elitehelm3|老 式 诺 尔 斯 盔 
itm_vikingold_elitehelm3_pl|老 式 诺 尔 斯 盔 
itm_vikingold_elitehelm4|老 式 带 皮 护 颈 诺 尔 斯 盔 
itm_vikingold_elitehelm4_pl|老 式 带 皮 护 颈 诺 尔 斯 盔 
itm_vikingold_elitehelm5|老 式 带 皮 护 颈 诺 尔 斯 盔 
itm_vikingold_elitehelm5_pl|老 式 带 皮 护 颈 诺 尔 斯 盔 
itm_vikingold_elitehelm6|老 式 诺 尔 斯 链 甲 护 颈 头 盔 
itm_vikingold_elitehelm6_pl|老 式 诺 尔 斯 链 甲 护 颈 头 盔 
itm_vikingold_elitehelm7|老 式 诺 尔 斯 链 甲 护 颈 头 盔 
itm_vikingold_elitehelm7_pl|老 式 诺 尔 斯 链 甲 护 颈 头 盔 
itm_vikingold_elitehelm8|老 式 诺 尔 斯 链 甲 护 颈 头 盔 
itm_vikingold_elitehelm8_pl|老 式 诺 尔 斯 链 甲 护 颈 头 盔 
itm_vikingold_elitehelm9|老 式 诺 尔 斯 链 甲 护 颈 头 盔 
itm_vikingold_elitehelm9_pl|老 式 诺 尔 斯 链 甲 护 颈 头 盔 
itm_viking_elitehelm1|诺 尔 斯 盔 
itm_viking_elitehelm1_pl|诺 尔 斯 盔 
itm_viking_elitehelm2|诺 尔 斯 盔 
itm_viking_elitehelm2_pl|诺 尔 斯 盔 
itm_viking_elitehelm3|带 皮 护 颈 诺 尔 斯 盔 
itm_viking_elitehelm3_pl|带 皮 护 颈 诺 尔 斯 盔 
itm_viking_elitehelm4|诺 尔 斯 盔 
itm_viking_elitehelm4_pl|诺 尔 斯 盔 
itm_viking_elitehelm5|带 皮 护 颈 诺 尔 斯 盔 
itm_viking_elitehelm5_pl|带 皮 护 颈 诺 尔 斯 盔 
itm_viking_elitehelm6|带 皮 护 颈 诺 尔 斯 盔 
itm_viking_elitehelm6_pl|带 皮 护 颈 诺 尔 斯 盔 
itm_viking_elitehelm7|诺 尔 斯 链 甲 护 颈 盔 
itm_viking_elitehelm7_pl|诺 尔 斯 链 甲 护 颈 盔 
itm_viking_elitehelm8|诺 尔 斯 链 甲 护 颈 盔 
itm_viking_elitehelm8_pl|诺 尔 斯 链 甲 护 颈 盔 
itm_viking_elitehelm9|诺 尔 斯 链 甲 护 颈 盔 
itm_viking_elitehelm9_pl|诺 尔 斯 链 甲 护 颈 盔 
itm_viking_noblehelm1|诺 尔 斯 精 英 盔 
itm_viking_noblehelm1_pl|诺 尔 斯 精 英 盔 
itm_viking_noblehelm2|带 皮 护 颈 诺 尔 斯 精 英 盔 
itm_viking_noblehelm2_pl|带 皮 护 颈 诺 尔 斯 精 英 盔 
itm_viking_noblehelm3|链 甲 护 颈 诺 尔 斯 精 英 盔 
itm_viking_noblehelm3_pl|链 甲 护 颈 诺 尔 斯 精 英 盔 
itm_angle_helmet1|老 式 带 皮 护 颈 头 盔 
itm_angle_helmet1_pl|老 式 带 皮 护 颈 头 盔 
itm_angle_helmet2|带 皮 护 颈 头 盔 
itm_angle_helmet2_pl|带 皮 护 颈 头 盔 
itm_angle_helmet3|老 式 链 甲 护 颈 头 盔 
itm_angle_helmet3_pl|老 式 链 甲 护 颈 头 盔 
itm_angle_helmet4|链 甲 护 颈 头 盔 
itm_angle_helmet4_pl|链 甲 护 颈 头 盔 
itm_angle_helmet5|旧 式 全 盔 
itm_angle_helmet5_pl|旧 式 全 盔 
itm_angle_helmet6|全 盔 
itm_angle_helmet6_pl|全 盔 
itm_elf_helmet|精 灵 之 盔 
itm_elf_helmet_pl|精 灵 之 盔 
itm_noble_helm_smith|贵 族 盔 
itm_noble_helm_smith_pl|贵 族 盔 
itm_hersir_helm|赫 希 尔 之 盔 
itm_hersir_helm_pl|赫 希 尔 之 盔 
itm_crown1|王 冠 
itm_crown1_pl|王 冠 
itm_sarranid_horseman_helmet|无 头 
itm_sarranid_horseman_helmet_pl|无 头 
itm_saco_enlacabeza|麻 袋 
itm_saco_enlacabeza_pl|麻 袋 
itm_wooden_stick|木 棍 
itm_wooden_stick_pl|木 棍 
itm_club_hard|棍 棒 
itm_club_hard_pl|棍 棒 
itm_club_troll|巨 人 之 斧 
itm_club_troll_pl|巨 人 之 斧 
itm_knife|猎 刀 
itm_knife_pl|猎 刀 
itm_knife2|猎 刀 
itm_knife2_pl|猎 刀 
itm_knife3|猎 刀 
itm_knife3_pl|猎 刀 
itm_knife4|猎 刀 
itm_knife4_pl|猎 刀 
itm_knife5|猎 刀 
itm_knife5_pl|猎 刀 
itm_longseax1|阔 刀 
itm_longseax1_pl|阔 刀 
itm_longseax2|阔 刀 
itm_longseax2_pl|阔 刀 
itm_longseax3|阔 刀 
itm_longseax3_pl|阔 刀 
itm_longseax4|阔 刀 
itm_longseax4_pl|阔 刀 
itm_longseax5|阔 刀 
itm_longseax5_pl|阔 刀 
itm_longseax6|长 刀 
itm_longseax6_pl|长 刀 
itm_longseax7|长 刀 
itm_longseax7_pl|长 刀 
itm_longseax8|长 刀 
itm_longseax8_pl|长 刀 
itm_longseax9|长 刀 
itm_longseax9_pl|长 刀 
itm_longseax10|长 刀 
itm_longseax10_pl|长 刀 
itm_seax_1|刀 
itm_seax_1_pl|刀 
itm_seax_2|刀 
itm_seax_2_pl|刀 
itm_seax_3|刀 
itm_seax_3_pl|刀 
itm_seax_4|刀 
itm_seax_4_pl|刀 
itm_seax_5|刀 
itm_seax_5_pl|刀 
itm_ragnar_seax|拉 格 纳 长 刀 
itm_ragnar_seax_pl|拉 格 纳 长 刀 
itm_elf_seax|精 灵 长 刀 
itm_elf_seax_pl|精 灵 长 刀 
itm_spatha|凯 尔 特 长 剑 
itm_spatha_pl|凯 尔 特 长 剑 
itm_spatha_2|凯 尔 特 长 剑 
itm_spatha_2_pl|凯 尔 特 长 剑 
itm_spatha_3|凯 尔 特 长 剑 
itm_spatha_3_pl|凯 尔 特 长 剑 
itm_spatha_4|凯 尔 特 长 剑 
itm_spatha_4_pl|凯 尔 特 长 剑 
itm_spatha_5|凯 尔 特 长 剑 
itm_spatha_5_pl|凯 尔 特 长 剑 
itm_spatha_6|凯 尔 特 长 剑 
itm_spatha_6_pl|凯 尔 特 长 剑 
itm_spatha_7|凯 尔 特 长 剑 
itm_spatha_7_pl|凯 尔 特 长 剑 
itm_spatha_8|凯 尔 特 长 剑 
itm_spatha_8_pl|凯 尔 特 长 剑 
itm_sword|剑 
itm_sword_pl|剑 
itm_sword_2|剑 
itm_sword_2_pl|剑 
itm_sword_3|剑 
itm_sword_3_pl|剑 
itm_sword_4|剑 
itm_sword_4_pl|剑 
itm_sword_5|短 剑 
itm_sword_5_pl|短 剑 
itm_sword_6|短 剑 
itm_sword_6_pl|短 剑 
itm_sword_7|短 剑 
itm_sword_7_pl|短 剑 
itm_sword_8|短 剑 
itm_sword_8_pl|短 剑 
itm_new_sword1|短 剑 
itm_new_sword1_pl|短 剑 
itm_new_sword2|短 剑 
itm_new_sword2_pl|短 剑 
itm_new_sword3|短 剑 
itm_new_sword3_pl|短 剑 
itm_new_sword4|短 剑 
itm_new_sword4_pl|短 剑 
itm_new_sword5|短 剑 
itm_new_sword5_pl|短 剑 
itm_new_sword6|短 剑 
itm_new_sword6_pl|短 剑 
itm_noble_sword|华 丽 的 剑 
itm_noble_sword_pl|华 丽 的 剑 
itm_noble_sword_2|华 丽 的 剑 
itm_noble_sword_2_pl|华 丽 的 剑 
itm_noble_sword_3|华 丽 的 剑 
itm_noble_sword_3_pl|华 丽 的 剑 
itm_noble_sword_4|华 丽 的 剑 
itm_noble_sword_4_pl|华 丽 的 剑 
itm_noble_sword_5|华 丽 的 剑 
itm_noble_sword_5_pl|华 丽 的 剑 
itm_noble_sword_6|华 丽 的 剑 
itm_noble_sword_6_pl|华 丽 的 剑 
itm_old_swordv|布 立 吞 剑 
itm_old_swordv_pl|布 立 吞 剑 
itm_old_swordv2|布 立 吞 剑 
itm_old_swordv2_pl|布 立 吞 剑 
itm_old_swordv3|布 立 吞 剑 
itm_old_swordv3_pl|布 立 吞 剑 
itm_old_swordv4|布 立 吞 剑 
itm_old_swordv4_pl|布 立 吞 剑 
itm_old_swordv5|布 立 吞 剑 
itm_old_swordv5_pl|布 立 吞 剑 
itm_old_swordv6|布 立 吞 剑 
itm_old_swordv6_pl|布 立 吞 剑 
itm_old_swordv7|布 立 吞 剑 
itm_old_swordv7_pl|布 立 吞 剑 
itm_noble_sword_7|布 立 吞 贵 族 剑 
