str_yes|Evet.
str_auto_team_balance_limit|Otomatik takım denegeleme farkı:
str_welcome_message|Karşılama mesajı:
str_initial_gold_multiplier|Başlangıç parası (%):
str_battle_earnings_multiplier|Dövüş bonusu (%):
str_round_earnings_multiplier|Raunt bonusu (%):
str_allow_player_banners|Kişisel bayraklara izin ver
str_force_default_armor|Asgari zırh oran
str_respawning_in_reg0_seconds|{reg0} saniye içinde dirileceksiniz...
str_no_more_respawns_remained_this_round|Tekrar dirilme hakkınız kalmadı
str_reg0_respawns_remained|({reg0} hak kaldı)
str_this_is_your_last_respawn|(Bu sizin son hakkınız)
str_wait_next_round|(Bir sonraki bölümü bekleyin)
str_yes_wo_dot|Evet
str_no_wo_dot|Hayır
str_we_resign|Karşı koyacak gücümüz kalmadı. Sana teslim oluyoruz, {playername}.
str_i_resign|Bugün ölmek istemiyorum! Teslim oluyorum.
str_s1_returned_flag|{s1} bayrağı üslerine geri götürdü!
str_s1_auto_returned_flag|{s1} bayrağı otomatik olarak üslerine geri götürüldü!
str_s1_captured_flag|{s1} düşman bayrağını ele geçirdi!
str_s1_taken_flag|{s1} düşman bayrağını aldı!
str_s1_neutralized_flag_reg0|{s1} {reg0}. bayrağı indirdi!
str_s1_captured_flag_reg0|{s1} {reg0}. bayrağı ele geçirdi!
str_s1_pulling_flag_reg0|{s1} {reg0}. bayrağı çekmeye başladı.
str_s1_destroyed_target_0|{s1} A hedefini yok etti!
str_s1_destroyed_target_1|{s1} B hedefini yok etti!
str_s1_destroyed_catapult|{s1} katapultu yok etti!
str_s1_destroyed_trebuchet|{s1} mancınığı yok etti!
str_s1_destroyed_all_targets|{s1} bütün hedefleri yok etti!
str_s1_saved_1_target|{s1} bir hedefi korudu.
str_s1_saved_2_targets|{s1} bütün hedefleri korudu.
str_s1_defended_castle|{s1} kalesini korudu!
str_s1_captured_castle|{s1} kaleyi ele geçirdi!
str_auto_team_balance_in_20_seconds|Otomatik takım dengeleme 20 saniye içinde gerçekleştirilecek
str_auto_team_balance_next_round|Otomatik takım dengeleme bir sonraki raunt gerçekleştirilecek.
str_auto_team_balance_done|Takımlar otomatik olarak dengelendi.
str_s1_won_round|{s1} oyunu kazandı!
str_round_draw|Zaman doldu. Raunt berabere.
str_round_draw_no_one_remained|Kimse kalmadı. Raunt berabere
str_death_mode_started|Acele et! Meydanın üstadı ol!
str_reset_to_default|Varsayılana sıfırla
str_done|Bitti
str_player_name|Oyuncu adı
str_kills|Öldürdü
str_deaths|Öldü
str_ping|Ping
str_dead|Ölü
str_reg0_dead|{reg0} Ölü
str_bots_reg0_agents|Botlar ({reg0} tane)
str_bot_1_agent|Bot (1 tane)
str_score|Skor
str_score_reg0|Skor: {reg0}
str_flags_reg0|(Bayraklar: {reg0})
str_reg0_players|({reg0} oyuncu)
str_reg0_player|({reg0} oyuncu)
str_open_gate|Kapıyı Aç
str_close_gate|Kapıyı Kapat
str_open_door|Kapıyı Aç
str_close_door|Kapıyı Kapat
str_raise_ladder|Merdiven Daya
str_drop_ladder|Merdiveni İndir
str_cancel|İptal
str_continue|Devam et
str_back|Geri
str_start_map|Başlat
str_choose_an_option|Bir seçenek seçin:
str_choose_a_poll_type|Bir oylama türü seçin:
str_choose_faction|Takım Seç
str_choose_a_faction|Bir takım seçin:
str_choose_troop|Birlik Seç
str_choose_a_troop|Bir birlik sınıfı seçin:
str_choose_items|Ekipman Seç
str_options|Seçenekler
str_redefine_keys|Tuşları Tekrar Tanımla
str_submit_a_poll|Oylama Oluştur
str_administrator_panel|Yönetici Paneli
str_kick_player|Oyuncuyu At
str_ban_player|Oyuncuyu Engelle
str_mute_player|Oyuncuyu Sustur
str_unmute_player|Oyuncunun Sesini Aç
str_quit|Çık
str_poll_for_changing_the_map|Harita Değiştir
str_poll_for_changing_the_map_and_factions|Haritayı ve takımları değiştir
str_poll_for_changing_number_of_bots|Oyundaki bot sayısını değiştir
str_poll_for_kicking_a_player|Bir oyuncuyu at
str_poll_for_banning_a_player|Bir oyuncuyu engelle
str_choose_a_player|Bir oyuncu seçin:
str_choose_a_map|Bir harita seçin:
str_choose_a_faction_for_team_reg0|{reg0} takımı için bir grup seçin:
str_choose_number_of_bots_for_team_reg0|{reg0} takımı için bot sayısını seçin:
str_spectator|İzleyici
str_spectators|İzleyici
str_command|Komut:
str_profile_banner_selection_text|Profiliniz için bir sancak seçin:
str_use_default_banner|Grubun sancağını kullanın
str_party_morale_is_low|Bazı birliklerin morali düşük!
str_weekly_report|Haftalık Bildirim
str_has_deserted_the_party|grubu terk etti.
str_have_deserted_the_party|grubu terk etti.
str_space| 
str_us_|Biz 
str_allies_|Müttefikler 
str_enemies_|Düşmanlar 
str_routed|firari
str_weekly_budget|Haftalık Bütçe
str_income_from_s0|{s0} gelirleri:
str_mercenary_payment_from_s0|{s0}'ndan gelen askerlik ödemesi:
str_s0s_party|{s0} Grubu
str_loss_due_to_tax_inefficiency|Kontrol yetersizliğinden doğan vergi kaybı:
str_wages_for_s0|{s0} için asker maaşları:
str_earlier_debts|Önceki borçlar:
str_net_change|Net değişim:
str_earlier_wealth|Önceki varlık:
str_new_wealth|Yeni varlık:
str_new_debts|Yeni borçlar:
str_team_reg0_bot_count_is_reg1|{reg0} takımındaki bot sayısı: {reg1}.
str_maximum_seconds_for_round_is_reg0|Raunt için azami saniye {reg0}.
str_respawn_period_is_reg0_seconds|Dirilmesi süresi {reg0} saniye.
str_bots_upper_limit_for_votes_is_reg0|Botların oylama üst limiti {reg0}.
str_map_is_voteable|Harita oylamaya açık.
str_map_is_not_voteable|Harita oylamaya kapalı.
str_factions_are_voteable|Takım değiştirme oylamaya açık.
str_factions_are_not_voteable|Takım değiştirme oylamaya kapalı.
str_players_respawn_as_bot|Oyuncular bot olarak dirilir.
str_players_do_not_respawn_as_bot|Oyuncular bot olarak dirilmez.
str_kicking_a_player_is_voteable|Oyuncu atma oylamaya açık.
str_kicking_a_player_is_not_voteable|Oyuncu atma oylamaya kapalı.
str_banning_a_player_is_voteable|Oyuncu engelleme oylamaya açık.
str_banning_a_player_is_not_voteable|Oyuncu engelleme oylamaya kapalı.
str_player_banners_are_allowed|Oyuncu bayrakları serbest.
str_player_banners_are_not_allowed|Oyuncu bayrakları yasak.
str_default_armor_is_forced|Asgari zırh oranı etkin.
str_default_armor_is_not_forced|Asgari zırh oranı etkin değil.
str_percentage_of_yes_votes_required_for_a_poll_to_get_accepted_is_reg0|Oylamanın kabul edilmesi için gereken 'kabul' oranı {reg0}%.
str_auto_team_balance_threshold_is_reg0|Otomatik takım dengeleme sınırı {reg0}.
str_starting_gold_ratio_is_reg0|Başlangıç parası oranı {reg0}%.
str_combat_gold_bonus_ratio_is_reg0|Dövüş bonusu oranı {reg0}%.
str_round_gold_bonus_ratio_is_reg0|Rount bonusu oranı {reg0}%.
str_point_gained_from_flags_is_reg0|Dövüş bonusu oran {reg0}%.
str_point_gained_from_capturing_flag_is_reg0|Bayraklardan elde edilen puan {reg0}%.
str_map_time_limit_is_reg0|Harita süresi {reg0} dakika.
str_team_points_limit_is_reg0|Takım puanı limiti {reg0}.
str_defender_spawn_count_limit_is_s1|Savunanların tekrar dirilme limiti {s1}.
str_system_error|SİSTEM HATASI!
str_prisoner_granted_parole|Mahkuma serbest bırakılmadı
str_prisoner_not_offered_parole|Mahkum serbest bırakıldı
str__age_reg1|^Yaş: {reg1}{
str__family_|^Aile: 
str_s49_s12_s11_end|{s49} {s12} ({s11}).
str_s49_s12_s11_rel_reg0|{s49} {s12} ({s11}, rel: {reg0}),
str_s49_s12_s11|{s49} {s12} ({s11}),
str_lord_info_string|{reg6?:{reg4?{s54} {s56}nın hükümdarıdır.^:{s54} {s55}'{.nin} derebeylerinden biridir.^}}Nam: {reg5}. İhtilaf: {reg15}.^{reg9?Sahip olduğu topraklar {s58}:Sahip olduğu toprağı yok}.{s59}^{s49}
str_foreign_relations__|Dış ilişkileri: ^
str_s21__the_s5_is_at_war_with_the_s14|{s21}^* {s5} {s14} ile savaşta.
str_s21_the_s5_has_had_the_upper_hand_in_the_fighting|{s21} {s5} savaşta üstün geldi.
str_s21_the_s5_has_gotten_the_worst_of_the_fighting|{s21} {s5} en kötü savaşını yaptı.
str_s21_the_fighting_has_gone_on_for_some_time_and_the_war_may_end_soon_with_a_truce|{s21} Çatışmalar bir süredir yok, ve yakın zamanda bir ateşkes ile sonuçlanabilir.
str_s21_the_fighting_has_begun_relatively_recently_and_the_war_may_continue_for_some_time|{s21} Çatışmalar son zamanlar da oldukça çoğalmaya başladı, ve savaş bir süre daha devam edebilir.
str__however_the_truce_is_no_longer_binding_on_the_s14|Fakat, {s14} artık ateşkesi tanımıyor.
str_s21__the_s5_is_bound_by_truce_not_to_attack_the_s14s18_the_truce_will_expire_in_reg1_days|{s21}^* {s5} {14} ile ateşkes halinde.{s18} Ateşkes {reg1} gün içerisinde bitecek.
str_s21__the_s5_is_bound_by_alliance_not_to_attack_the_s14s18_the_alliance_will_expire_in_reg1_days|{s21}^^* {s5}, {s14} ile ateşkes halinde.{s18} Bu ateşkes {reg1} gün içerisinde sona erecek.e
str_alliance_durantion_days_expire|{s21}^^* {s5}, {s14} ile ateşkes halinde.{s18} Bu ateşkes {reg1} gün içerisinde sona erecek.e
str_s21__the_s5_has_recently_suffered_provocation_by_subjects_of_the_s14_and_there_is_a_risk_of_war|{s21}^* {s5} {s14} adamları tarafından provokasyonlara maruz kaldı, ve yakında savaş çıkabilir.
str_s21__the_s5_has_no_outstanding_issues_with_the_s14|{s21}^* {s5} ve {s14} arasında önemli bir sorunu yok.
str_s21_the_s14_was_recently_provoked_by_subjects_of_the_s5_and_there_is_a_risk_of_war_|{s21} {s14} son zamanlarda {s5} adamları tarafından provokasyonlara maruz kaldı, ve yakında savaş çıkabilir.
str_the_s5_is_ruled_by_s6_it_occupies_s8_its_vassals_are_s10__s21|{s5} {s6}'{.nin} idaresi altında.^Şu yerleşimleri kapsıyor: {s8}.^Derebeyleri: {s10}.^^{s21}
str_assigned_lord_reputation_and_relations_cheat_mode_reg3|Atanmış lord şöhreti ve ilişkisi, hile modu: {reg3}n
str_reg4_killed_reg5_wounded_reg6_routed|{reg4} ölü ya da ciddi yaralanmış, {reg5} yaralı, {reg6} firari
str_reg4_killed_reg5_routed|{reg4} ölü ya da ciddi yaralanmış, {reg5} firari
str_reg4_killed_reg5_wounded|{reg4} ölü ya da ciddi yaralanmış, {reg5} hafif yaralı
str_reg4_wounded_reg5_routed|{reg4} hafif yaralı, {reg5} firari
str_s4_awarded_to_s5|{s4} {s5} ile ödüllendirildi
str_calculating_sortie_for_s4_strength_of_reg3_vs_reg4_enemies|{s4} için saldırı harekatı hesaplanıyor, {reg3} gücü ve {reg4} düşman
str_current_wealth_reg1_taxes_last_collected_from_s4|Şu andaki para: {reg1}. En son vergi alınan yer {s4}
str_no_relation|akrabalık yok
str_niece|yeğen
str_nephew|yeğen
str_aunt|teyze
str_uncle|amca
str_cousin|kuzen
str_daughterinlaw|gelin
str_soninlaw|damat
str_motherinlaw|kayın valide
str_fatherinlaw|kayın baba
str_sisterinlaw|baldız
str_brotherinlaw|kayın birader
str_print_party_members_entered|gruba katılanları göster
str_num_companion_stacks_=_reg10|num companion stacks = {reg10}
str_someone|birileri
str_i_take_what_work_i_can_sirmadame_i_carry_water_or_help_the_merchants_with_their_loads_or_help_build_things_if_theres_things_to_be_built|Ne iş olursa yaparım, {efendim/madam}. Su taşırım, hamallık yaparım, inşaat varsa yardım edebilirim.
str_im_not_doing_anything_sirmadame_theres_no_work_to_be_had_around_here_these_days|Şu sıralar bir şey yapmıyorum, {efendim/hanımefendi}; zaten ortalıkta yapacak çok iş yok...
str_im_not_doing_anything_sirmadame_i_have_no_land_of_my_own_and_theres_no_work_to_be_had_around_here_these_days|Şu sıralar bir şey yapmıyorum, {efendim/hanımefendi}; zaten kendi toprağım yok, yapacak çok iş de yok...
str_why_im_still_living_off_of_your_kindness_and_goodness_sirmadame_hopefully_there_will_be_work_shortly|Sizin cömertliğiniz ve iyiliğiniz sayesinde geçiniyoruz, {efendim/hanımım}. Umarım yakında bir iş bulurum.
str_i_work_in_the_fields_just_outside_the_walls_where_they_grow_grain_we_dont_quite_grow_enough_to_meet_our_needs_though_and_have_to_import_grain_from_the_surrounding_countryside|Tarlada çalışıyorum, duvarların hemen ardında tahıl yetiştiririz. Kendimize zor yetiyor gerçi, çoğu zaman dışarıdan almak zorunda kalıyoruz.
str_i_work_mostly_in_the_fields_growing_grain_in_the_town_they_grind_it_to_make_bread_or_ale_and_we_can_also_boil_it_as_a_porridge|Genelde tarlada çalışıyorum, tahıl ekiyorum. Şehirde öğütüp ekmek ve bira yapıyorlar, biz de yulaf peltesi olarak pişiriyoruz.
str_i_work_in_the_breweries_making_ale_the_poor_folk_drink_a_lot_of_it_as_its_cheaper_than_wine_we_make_it_with_grain_brought_in_from_the_countryside|Birahanede çalışıyorum. Bira üretiyoruz. Halk fakir, şaraptan ucuz olduğu için bol bol bira içiyorlar. Tahılı civardaki çiftçilerden alıp onu kullanıyoruz.
str_i_work_in_a_mill_grinding_flour_to_make_bread_bread_is_cheap_keeps_well_and_fills_the_stomach|Değirmende çalışıyorum; ekmeklik un öğütüyorum. Ekmek hem ucuz, hem de insanı tok tutuyor.
str_i_tend_cattle_we_dry_and_salt_meat_to_preserve_it_and_make_cheese_from_the_milk|Sığırlara çobanlık yapıyorum. Eti tuzlayıp kurutuyoruz, derisini de tabaklasınlar diye şehre gönderiyoruz. Sütünden de peynir yapıyoruz.
str_i_tend_cattle_we_dry_and_salt_meat_to_preserve_it_and_make_cheese_from_the_milk_so_it_doesnt_spoil|Sığırlara çobanlık yapıyorum. Eti tuzlayıp kurutuyoruz, derisini de tabaklasınlar diye şehre gönderiyoruz. Sütünden de peynir yapıyoruz.
str_i_tend_sheep_we_send_the_wool_to_the_cities_to_be_woven_into_cloth_and_make_mutton_sausage_when_we_cull_the_herds|Koyunlara çobanlık yapıyorum. Yününü dokusunlar diye şehirlere gönderiyoruz, kesince de etlerinden sosis yapıyoruz.
str_i_work_at_a_loom_spinning_cloth_from_wool_wool_is_some_of_the_cheapest_cloth_you_can_buy_but_it_will_still_keep_you_warm|Dokuma tezgahında yün eğiriyorum. Yün ucuzdur belki ama, sıcak da tutar.
str_i_crew_a_fishing_boat_we_salt_and_smoke_the_flesh_to_sell_it_far_inland|Ben bir balıkçı teknesinde çalışıyorum. Balığı tuzlayıp tütsülüyoruz ki, ülkenin en içlerine satabilelim.
str_i_sift_salt_from_a_nearby_flat_they_need_salt_everywhere_to_preserve_meat_and_fish|Yakınlardaki bir düzlükten tuz çıkarıyorum. Tuz önemli tabii, o olmadan etleri ve balıkları tuzlayamazlar.
str_i_mine_iron_from_a_vein_in_a_nearby_cliffside_they_use_it_to_make_tools_arms_and_other_goods|Buralardaki bir demir madeninde çalışıyorum. Demiri birçok yerde kullanıyorlar; alet yaparken, zırh yaparken...
str_i_make_pottery_which_people_use_to_store_grain_and_carry_water|Ben çömlekçiyim, hani şu insanların su veya tahıl taşırken kullandıklarından.
str_trade_explanation_tools|Ben demircide çalışırım, {efendim/hanımefendi}, her çeşit demir işini yaparız -- bıçaklar, baltalar, kaplar, saban bıçakları, tırpanlar, çekiçler, örsler, maşalar, keserler, testereler, çekiçler, nallar, çakmaktaşları, mangallar, tabii bir de ekselansları için silah ve zırhlar.
str_trade_explanation_oil|Yağhanede {efendim/hanımefendi} , zeytinleri ezip zeytinyağı üretiyoruz. Yağımız biraz pahalıdır ama türlü faydası vardır – yemeklerde, lambalarda, doğumu kolaylaştırmak için bile kullanabilirsiniz.
str_trade_explanation_linen|Ben keten dokuyorum. Şehir civarından getirdikleri keteni kullanıyorum. İyi kumaştır {efendim/hanımefendi}; hem sağlamdır, hem de hafif – yazın giymek, denize açılmak gibi şeyler için kullanışlıdır.
str_trade_explanation_velvet|Ben, şehrin en büyük dokumacılarından birinde çalışıyorum, orada özenle kadife dokuyorum. Dağların ardından gelen ipekle, dünyanın uzak köşelerinden gelen kumaşları kullanarak, diyardaki en pahalı ama en kaliteli kumaşını üretiyoruz.
str_trade_explanation_spice|Ben kervansarayda çalışıyorum; tüccarların, dağların ardından getirdikleri baharatları boşaltmalarına yardım ediyoruz. Biber, tarçın, karanfil, safran... Zenginler varlıklarını yemeklerine kattıkları baharat miktarıyla ölçüyor, diyorlar ki her hastalığı iyi eden bir baharat bulunur.
str_trade_explanation_apples|Şimdi elma yetiştirdikleri bostanlardan dönüyorum. Genelde onları saklamak için kurutuyoruz, ama elma şarabı ya da sirke yaptığımız da oluyor.
str_trade_explanation_grapes|Tepelikteki bağlarda üzüm yetiştirip lordlara, leydilere ve tüccarlara satmak için kaliteli şaraplar ve suyla karıştırıp halkın susuzluğunu gidermek için ucuz şaraplar üretiyorum.
str_trade_explanation_dyes|Kervansarayda çalışıyorum, bu topraklar dışından gelen boyaları saklıyoruz – meşe kurtlarından üretilen koyu vişne rengi ve kırmızı kökboyası, çivit otu ve mavisi, muhabbetçiçeği kökü ve katırtırnağı sarısı. Dokumacılar bunları diyarın büyük lordlarının ipekleriyle kadifelerini renklendirmek için kullanıyor.
str_trade_explanation_leatherwork|Duvarların dışındaki tabakhanelerden birinde çalışıyorum, şehir civarından gelen tabaklanmamış derileri işliyoruz. Ağır bir iş, ve eve gübre, sidik ve kireç kokuları içinde dönüyorum – ama sonuçta botlarınız, sadaklarınız ve dizginleriniz böyle üretiliyor, {efendim/hanımım}.
str_trade_explanation_flax|Ben keten tohumu ekip yetiştirip keten lifleri yapmak için dallarını kırpıyorum. Sizin en iyi kalite ketenleriniz işte buradan geliyor, {efendim/hanımım} – tarlanın bir köşesinde çürüyen bir dal.
str_trade_explanation_dates|Hurma korularına göz kulak oluyorum. Onları iyi sulayarak büyütür, meyvelerini uzaklara ihraç ederiz, çünkü doğru kurutulduklarında aylarca muhafaza edilebilirler. Bal gibi tatlıdırlar ve onları yiyene kuvvet ve sağlık bahşederler.
str_trade_explanation_olives|Zeytin ağaçları yetiştiriyorum. İster yer, isterseniz de salamuraya yatırabilirsiniz. Fakat biz çoğunluğunu yağının çıkartılması için satıyoruz.
str_s14_i_hear_that_you_can_find_a_good_price_for_it_in_s15|{s14}. Duyduklarıma göre en iyi fiyatı {s15} civarlarında bulabilirsin.
str_s2s_rebellion|{s2} İsyanı
str_political_suggestion|Politik tavsiye
str_instability_reg0_of_lords_are_disgruntled_reg1_are_restless|Dayanıklılık: Lordların %{reg0} oranında moralsiz , {reg1}% oranında yorgun.
str_reg1shehe_is_prisoner_of_s1|{reg1?O:O} bir {s1} tutsağı.
str_s39_rival|{s39} (rakip)
str_s41_s39_rival|{s41}, {s39} (rakip)
str_reputation_cheat_mode_only_martial_|Nam (hile modu): Savaşçı^t
str_reputation_cheat_mode_only_debauched_|Nam (hile modu): Ahlaksız^m
str_reputation_cheat_mode_only_pitiless_|Nam (hile modu): Acımasız^ 
str_reputation_cheat_mode_only_calculating_|Nam (hile modu): Çıkarcı^d
str_reputation_cheat_mode_only_quarrelsome_|Nam (hile modu): Geçimsiz^d
str_reputation_cheat_mode_only_goodnatured_|Nam (hile modu): İyi Huylu^e
str_reputation_cheat_mode_only_upstanding_|Nam (hile modu): Namuslu^o
str_reputation_cheat_mode_only_conventional_|Nam (hile modu): Gelenekçi^e
str_reputation_cheat_mode_only_adventurous_|Nam (hile modu): Maceracı^d
str_reputation_cheat_mode_only_romantic_|Nam (hile modu): Romantik^ 
str_reputation_cheat_mode_only_moralist_|Nam (hile modu): Ahlakçı^ 
str_reputation_cheat_mode_only_ambitious_|Nam (hile modu): Hırslı^m
str_reputation_cheat_mode_only_reg11_|Nam (hile modu): {reg11}^t
str_reputation_only_martial_|Bildiğim kadarıyla Savaşçı bir kişiliği var.^y
str_reputation_only_debauched_|Bildiğim kadarıyla Ahlaksız bir kişiliği var.^s
str_reputation_only_pitiless_|Bildiğim kadarıyla Acımasız bir kişiliği var.^ 
str_reputation_only_calculating_|Bildiğim kadarıyla Çıkarcı bir kişiliği var.^e
str_reputation_only_quarrelsome_|Bildiğim kadarıyla Geçimsiz bir kişiliği var.^e
str_reputation_only_goodnatured_|Bildiğim kadarıyla İyi Huylu bir kişiliği var.^m
str_reputation_only_upstanding_|Bildiğim kadarıyla Namuslu bir kişiliği var.^e
str_reputation_only_conventional_|Bildiğim kadarıyla Gelenekçi bir kişiliği var.^m
str_reputation_only_adventurous_|Bildiğim kadarıyla Maceracı bir kişiliği var.^e
str_reputation_only_romantic_|Bildiğim kadarıyla Romantik bir kişiliği var.^ 
str_reputation_only_moralist_|Bildiğim kadarıyla Ahlakçı bir kişiliği var.^ 
str_reputation_only_ambitious_|Bildiğim kadarıyla Hırslı bir kişiliği var.^s
str_reputation_only_reg11_|Reputation (chea mode only): {reg11}^t
str_love_interest|ilgi duyuyor
str_betrothed|nişanlı
str_other_relations_s40_|Diğer ilişkileri: {s40}^
str_relation_with_liege_reg0_|Efendisi ile ilişkisi: {reg0}^
str_sense_of_security_military_reg1_court_position_reg3_|Güvenlik durumu: ordu {reg1}, ülkedeki pozisyonu {reg3}^
str_political_details_s47_|Politik ayrıntılar:^{s47}^
str_the_s55|{s55}
str_travellers_on_the_road|yoldaki yolcular
str_a_short_while_ago|kısa bir süre önce
str_one_day_ago|bir gün önce
str_two_days_day_ago|iki gün önce
str_earlier_this_week|geçen haftanın sonları gibi
str_about_a_week_ago|bir hafta önce
str_about_two_weeks_ago|yaklaşık 2 hafta önce
str_several_weeks_ago|bir kaç hafta önce
str_unknown_assailants|bilinmeyen saldırganlar
str_swadians|Britonlar
str_vaegirs|Vikingler
str_khergits|Saksonlar
str_nords|Anglolar
str_rhodoks|Goideller
str_sarranids|Piktler
str_bandits|Haydutlar
str_deserters|Eşkiyalar
str_your_followers|Takipçilerin
str_we_have_heard_that_travellers_heading_to_s40_were_attacked_on_the_road_s46_by_s39|Duydum ki {s40} topraklarına doğru giden yolcular {s39} tarafından {s46} yolda saldırıya uğramışlar.
str_we_have_heard_that_travellers_coming_from_s40_were_attacked_on_the_road_s46_by_s39|Duyduk ki {s40} topraklarından gelen yolcular {s39} tarafından {s46} yolda saldırıya uğramışlar.
str_travellers_coming_from_s40_traded_here_s46|{s40} topraklarından gelen yolcular {s46} burada alış veriş yaptılar.
str_it_is_still_early_in_the_caravan_season_so_we_have_seen_little_tradings42|Daha kervan sezonu için çok erken. Bu yüzden pek az ticaret oldu.{s42}
str_there_has_been_very_little_trading_activity_here_recentlys42|Son zamanlar da burada çok az ticaret yapıldı.{s42}
str_there_has_some_trading_activity_here_recently_but_not_enoughs42|Son zamanlar da burada az çok ticaret yapıldı, ama yeterli değildi.{s42}
str_there_has_some_trading_activity_here_recently_but_the_roads_are_dangerouss42|Son zamanlar da burada ticaret yapıldı, ama yollar çok tehlikeli.{s42}
str_the_roads_around_here_are_very_dangerouss42|Bu civarlarda yollar çok tehlikeli.{s42}
str_we_have_received_many_traders_in_town_here_although_there_is_some_danger_on_the_roadss42|Yollarda çeşitli tehlikeler olmasına rağmen bazı tüccarlar uğradı buralara.{s42}
str_we_have_received_many_traders_in_town_heres42|Buraya bir çok tüccar geldi.{s42}
str_there_is_little_news_about_the_caravan_routes_to_the_towns_of_s44_and_nearby_parts_but_no_news_is_good_news_and_those_are_therefore_considered_safe|{s44} kasabalarına yolculuk yapan kervanlar hakkında çok az haber var. Haber yoksa, tehlike de yok demektir.
str_s47_also_the_roads_to_the_villages_of_s44_and_other_outlying_hamlets_are_considered_safe|{s47} Ayrıca, {s44} köylerinin yolları ve diğer civar yerleşkelerinin yolları güvenliymiş.
str_however_the_roads_to_the_villages_of_s44_and_other_outlying_hamlets_are_considered_safe|Ancak, {s44} köylerinin yolları ve diğer civar yerleşkelerinin yolları güvenliymiş.
str_we_have_shortages_of|Şu üründe kıtlık yaşıyoruz:
str_we_have_adequate_stores_of_all_commodities|Elimizde bütün mallardan yeterli miktarda var
str_s33_and_some_other_commodities|{s33} ve diğer bir kaç mal
str_the_roads_are_full_of_brigands_friend_but_that_name_in_particular_does_not_sound_familiar_good_hunting_to_you_nonetheless|Yollar soyguncu dolu, dostum, ama bu isim pek tanıdık gelmedi. Yine de sana iyi avlanmalar.
str_less_than_an_hour_ago|bir saatten daha kısa bir süre önce
str_maybe_reg3_hours_ago|Belki {reg3} saat önce
str_reg3_days_ago|{reg3} gün önce
str_youre_in_luck_we_sighted_those_bastards_s16_near_s17_hurry_and_you_might_be_able_to_pick_up_their_trail_while_its_still_hot|Şanslısın. O alçakları {s17} yakınlarındaki {s16} civarında gördük. Acele edersen izleri kaybolmadan yetişebilirsin.
str_you_speak_of_claims_to_the_throne_good_there_is_nothing_id_rather_do_than_fight_for_a_good_cause|Tahtı ele geçirmekten bahsediyorsun. Güzel. Yapmak istediğim bir şey varsa o da iyi bir dava için savaşmaktır.
str_you_speak_of_claims_to_the_throne_well_there_is_nothing_id_rather_do_than_fight_for_a_good_cause_but_the_claim_you_make_seems_somewhat_weak|Tahta geçmekten bahsediyorsun. Pekiyi, iyi bir yolda savaşmak gibisi yoktur,  ama senin talebin bir şekilde zayıf görünüyor.
str_i_am_pleased_that_you_speak_of_upholding_my_ancient_rights_which_are_sometimes_trod_upon_in_these_sorry_days|Benim bugünlerde görmezden gelinen geleneksel haklarımı desteklemene sevindim.
str_i_am_pleased_that_you_speak_of_upholding_my_ancient_rights_but_sometimes_men_make_pledges_before_they_are_king_which_they_cannot_keep_once_they_take_the_throne|Geleneksel haklarımın arkasında durmana sevindim. Fakat insanlar bazen daha kral olmadan bazı vaatlerde bulunurlar, tahta oturduklarında tutamayacakları vaatler.
str_you_speak_of_protecting_the_commons_well_i_supposed_thats_good_but_sometimes_the_commons_overstep_their_boundaries_im_more_concerned_that_your_claim_be_legal_so_i_can_swing_my_sword_with_a_good_conscience|Halkı korumaktan bahsediyorsun. sanırım bu iyi, ama bazen halk haddini aşabilir. Beni asıl ilgilendiren talebinin yasal olması, bu sayede kılıcımı iyi bir amaç uğruna kullanabilirim.
str_you_speak_of_giving_me_land_good_i_ask_for_no_more_than_my_due|Demek bana toprak vereceksin. Güzel. Hakkım olandan fazlasını istemiyorum.
str_you_speak_of_giving_me_land_unfortunately_you_are_not_wellknown_for_rewarding_those_to_whom_you_have_made_such_offers|Bana toprak vermekten bahsediyorsun. Ama maalesef, bu türden teklifler yaptığın kişileri ödüllendirecek kadar ünlü değilsin.
str_you_speak_of_unifying_calradia_well_i_believe_that_well_always_be_fighting__its_important_that_we_fight_for_a_rightful_cause|Bu toprakları birleştirmekten bahsediyorsun. Pekala, sanırım sürekli savaşıyor olacağız – önemli olan doğru bir dava için savaşmak.
str_you_talk_of_claims_to_the_throne_but_i_leave_bickering_about_legalities_to_the_lawyers_and_clerks|Tahta geçmekten bahsediyorsun fakat ben avukatlar ve katiplerlen yasallık hakkında konuşmayı bıraktım.
str_you_speak_of_ruling_justly_hah_ill_believe_theres_such_a_thing_as_a_just_king_when_i_see_one|Adilce yöneteceksin demek. Hah! Gözlerimle görmediğim sürece bu dünyada adil bir kral olduğuna inanmam.
str_you_spoke_of_protecting_the_rights_of_the_nobles_if_you_did_youd_be_the_first_king_to_do_so_in_a_very_long_time|Söylediğine göre soyluların haklarını koruyacaksın. Eğer bunu yaparsan uzun süredir bunu başarabilen ilk kral olacaksın.
str_you_speak_of_giving_me_land_ay_well_lets_see_if_you_deliver|Dediğine göre bana toprak vereceksin. Bakalım sözünde duracak mısın.
str_you_speak_of_giving_me_land_bah_youre_not_known_for_delivering_on_your_pledges|Bana toprak vereceksin ha? Peh. Sözünü tutan biri olarak nam saldığın söylenemez.
