qstr_{reg1}.0|{reg1}.0
qstr_The_enemy_raiders_ac|Düşman istilacılar anlaşmayı kabul ediyor, parayı alıyor ve birkaç hafta için stoklarınıza saldırmama sözü veriyorlar.
qstr_The_raiders_are_left|İstilacılar para ile ayrıldı, ulakları öldürdü ve stoklarına zarar vermeye devam ediyor.
qstr_You_don_t_have_enough_si|Yeterince gümüşün yok. Dağıtılacak su için kuyu kazmayı emrettin.
qstr_the_enemy_thinks_rei|düşman, destek birliklerinin yakında geleceğini düşünüyor.
qstr_fear_and_discontent_|korku ve memnuniyetsizlik içerde yayılıyor. 
qstr_he_likes_the_wife_of|Eski amirinin karısından hoşlanıyor ve eğer kuşatmadan sonra kadını ona verirsen senin tarafında dövüşecek.
qstr_the_enemy_s_morale_i|düşmanın morali düşük, saldırmalıyız. 
qstr_Wergild_is_paid.|Kefalet ödendi.
qstr_The_wergild_is_paid_|Kefalet ödendi ve savaşçın kırbaçlandı. 
qstr_Your_men_think_you_r|Adamların senin kalpsizin teki olduğunu düşünüyor ve korkuyorlar.
qstr_You_feel_happy.|Mutlusun.
qstr_You_feel_good_for_he|Yardım için iyi hissediyorsun.
qstr_New_troops_join_your|Tarafına yeni birlikler eklendi. 
qstr_The_bandits_leave_an|Haydutlar sinirli ayrıldı. 
qstr_Your_men_kill_all_th|Adamların tüm haydutları öldürdü.
qstr_At_night_some_of_you|Gece bazı adamların fahişelerle buluştu.
qstr_Your_enemies_appreci|Düşmanların vicdanını takdir ediyor. Belki bu onların teslim olmaları konusunda sana yardımcı olur.
qstr_Your_men_think_that_yo|Adamların senin zor bir lider olduğunu düşünüyor.
qstr_You_know_that_in_the|Biliyorsun ki önündeki günlerde onlarca çocuk, kadın ve yaşlı açlıktan gözlerinin önünde ölecek.
qstr_Your_officer_seems_u|Subayın üzgün görünüyor.
qstr_Your_men_think_that_you|Adamların senin zor bir lider olduğunu düşünüyor.
qstr_Your_officer_seems_h|Subayın mutlu görünüyor.
qstr_The_wife_is_pregnant|Kadın hamile ve subay yüksek bir tazminat istiyor. Dedikodu ve sorunları önlemek için ödüyorsun.
qstr_{s1}_of_the_{s2}.|{s2} {s1}{.i}.
qstr_A_messenger_approach|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s11} teklifinizi kabul etti ve {s10} esaretten kurtuldu.'
qstr_A_messenger_approache|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s11} teklifinizi kabul etmedi ve {s10} esir kalacak. Paranızı geri alabilirsiniz.'
qstr_A_messenger_approaches|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9} en kısa sürede sizinle tanışıp takipçiniz olmak istiyor.'
qstr_A_messenger_approaches_|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9} sizin kendisine emir veremeyeceğinizi söylüyor'
qstr_A_messenger_approaches_g|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9} bunun çok zor olacağını çünkü sizin böyle bir yetkinizin olmadığını söylüyor.'
qstr_A_messenger_approaches_ga|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9}'in emirlerinize itaat etmekten daha önemli işleri var.'
qstr_A_messenger_approaches_gal|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9} meşgul ve şu sıralar sizi takip edemez.'
qstr_A_messenger_approaches_gall|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9} en kısa sürede {s10}{.e} gidecek.'
qstr_A_messenger_approaches_gallo|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9}, {s10} etrafını en kısa sürede kolaçan edecek.'
qstr_A_messenger_approaches_gallop|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9}, {s10} etrafını en kısa sürede kolaçan edecek.'
qstr_A_messenger_approaches_gallopi|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9} en kısa sürede {s10}'i kuşatma altına alacak.'
qstr_A_messenger_approaches_gallopin|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9} sizin kendisine emir veremeyeceğinizi söylüyor.'
qstr_A_messenger_approaches_galloping|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9}  bunun çok zor olacağını çünkü sizin böyle bir yetkinizin olmadığını söylüyor.'
qstr_A_messenger_approaches_galloping.|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9} meşgul ve beni kabul etmedi. Adamları eğer ısrar edersem beni öldürmekle tehdit ettiler.'
qstr_A_messenger_approaches_galloping._|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9} özellikle aranızda bir düşmanlık yokken bu hakaretinize şaşırdı. Bu defalık görmezden geleceğini ancak bir daha kendisini kızdırmamanızı söyledi.'
qstr_A_messenger_approaches_galloping._H|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9} hakaretiniz karşısında çok sinirlendi, gözdağınızla çileden çıktı. Ordusuna toplanmasını söyledi, sanırım size doğru ilerleyecekler.'
qstr_A_messenger_approaches_galloping._He|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9} gözdağınızla çileden çıktı. Zamanını boşa harcamamanızı söyledi.'
qstr_A_messenger_approaches_galloping._He_|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9} sizin kışkırtmanıza gelmedi ama tekrarlaması güç tanımlayıcı hakaretlerle geri yanıt verdi. Ve eğer mevcut bir probleminiz için cesaret arayışındaysanız size biraz görgü öğretebileceğini ekledi.'
qstr_A_messenger_approaches_galloping._He_s|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9} meşgul, beni kabul etmedi. Ancak adamları hediyeyi aldı ve mesajım için ısrar edersem beni öldürmekle tehdit ederek hediyeyi aralarında paylaştılar.'
qstr_A_messenger_approaches_galloping._He_st|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9} hediyeniz için teşekkür ediyor ve sıradaki ziyafeti sizin şerefinize vereceğini söylüyor.'
qstr_A_messenger_approaches_galloping._He_sto|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9} hediyenizi aldı ve "bir korkağın haracı" diyerek adamlarına verdi. Sizin sonsuza kadar düşmanınız olacak. İkiniz arasındaki şeyler değişmeyecek.'
qstr_A_messenger_approaches_galloping._He_stop|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9} ikiniz arasındaki farklılık ve kötü ilişkileri çözmek için yolları öğrenmede hevesli. Fakat hala çözmeniz gereken çok şey olsa da, bu iyi bir başlangıç ve hediyenizi kabul ediyor.'
qstr_A_messenger_approaches_galloping._He_stops|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9} hediyeni kabul etmedi fakat beni gideceğim yere bıraktı. Üzgünüm hediyenizi kaybettim.'
qstr_A_messenger_approaches_galloping._He_stops_|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9} meşgul olduğunu ve bu konuları bir basit bir ulakla konuşmak istemediğini söyleyip benle görüşmek istemedi.'
qstr_A_messenger_approaches_galloping._He_stops_i|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9} ittifak önerinizi kabul ediyor. Artık {s2} senin müttefiğin.'
qstr_A_messenger_approaches_galloping._He_stops_in|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9} ateşkes önerinizi kabul ediyor. Bu andan sonra {s2} ve siz barış içindesiniz.'
qstr_A_messenger_approaches_galloping._He_stops_in_|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9} sizin savaş ilanınıza şaşırmış görünmüyor çünkü siz kimsenin inanmadığı bir pisliksiniz.^^Bu andan sonra {s2} ile savaş halindesiniz.'
qstr_A_messenger_approaches_galloping._He_stops_in_f|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9} savaş çıkarma isteğinize çok kırıldı ve sizin ne kadar hain biri olduğunuzu herkese yaymak için ulaklar göndereceğine söz verdi.^^Artık, {s2} ile savaş halindesiniz.'
qstr_A_messenger_approaches_galloping._He_stops_in_fr|Bir ulak nörtnala yaklaşıyor. Önünde durup, derin bir nefes alıyor ve bağırıyor: ^^'Mesajınıza bir cevap ile geri geldim. {s9} savaş ilanınıza çok kırıldı. Sizi hain bir sıçan ilan etti ve bunu ödeteceğini söyledi. ^^Artık, {s2} ile savaş halindesiniz.'
qstr_The_other_man_is_not|Diğer adam pek mutlu değil ve senin gitmeni eleştirip ardından dedikodu çıkarıyor.
qstr_Neither_man_is_happy|Kimse mutlu da değil mutsuz da. Bir denge yakalamış görünüyorsun. 
qstr_The_two_men_are_not_|İki adam pek mutlu değil ve senin gitmeni eleştirip ardından dedikodu çıkarıyor.
qstr_People_in_{s4}_think|{s4}{.deki} insanlar senin koruman altındaki kişilerin güçlerini kötüye kullanmaları karşısında senin onların ailelerinin güvenliğini garanti edemeyeceğini düşünüyorlar. Senin kötü bir {reg59?lady:lord} olduğun yönündeki dedikodular yayılıyor.
qstr_People_in_{s4}_think_|{s4}{.deki} insanlar ulağı cezalandırmadığın için senin onların ailelerinin güvenliğini garanti edemeyeceğini düşünüyorlar. Adaletli olmadığın hakkında çıkan dedikodular yayılıyor. 
qstr_People_in_{s4}_think_t|s4}{.deki} insanlar ulağı cezalandırmadığın için senin onların ailelerinin güvenliğini garanti edemeyeceğini düşünüyorlar fakat en azından kendi vatandaşları da cezalandırılmadı. Adamların senin koruman altındaki birine saldıran kişiye karşı gösterdiğin cömertlikten hoşnut değiller. 
qstr_People_in_{s4}_think_th|{s4}{.deki} insanlar senin onlrın ailelerini korumayı garanti ettiğini düşünüyor ve mutlu görünüyorlar. Ancak adamların yoldaşlarını öldürdüğün için mutlu değiller.
qstr_The_local_leader_is_|Yerel lideri üzdün ve {s4} soylularına senin hakkında kötü konuşuyor.
qstr_People_in_{s4}_are_s|{s4} halkı aldığın sıkı önlemlere şaşırdı ve herkes senin kurallarını izlemeye daha istekli.
qstr_Farmers_in_{s4}_are_|{s4} çiftçileri sen zayıfları ezen güçlülere göz yumduğun için kızları konusunda endişeli.
qstr_Farmers_in_{s4}_are_r|{s4} çiftçileri ödeme yaptığında yeniden sana güvenmeye başlarken yerel lider cezalandırılmadığı için mutlu. 
qstr_The_outcome_of_the_t|Girişiminin sonuçları {s4} halkını çok zorladı ve yetkin sorgulanıyor.
qstr_Your_men_think_you_re|Adamların senin kolay manipule olabilen zayıf bir lider olduğunu düşünüyor.
qstr_Your_men_seem_uncomf|Adamların rahatsız görünüyor, bazıları da seni terketti. Geri kalanların en kısa sürede morallerini düzeltmelisin.
qstr_Your_men_seem_uncomfo|Adamların rahatsız görünüyor, ama tek kelime etmiyorlar. Hala sana saygıları var ama morallerini yükseltmek için çabalamalısın. 
qstr_Eventually_the_man_d|Askerlerin bir adama vergilerini ödemesi için işkence yaparken adam öldü. Son sözleri de 'Oğullarım, neredeyseniz, oraya geliyorum.' Tüm şehir ölümüne şaşırdı ve {s4}'de birçok kişi senden şikayet ediyor.
qstr_The_man_seems_calmed|Adam sözlerin sayesinde sakinleşmiş görünüyor. Gözlerinde sonsuz mutsuzluğu görüyorsun fakat oğullarının anısına sana vergilerini ödeyeceğine dair söz veriyor.
qstr_Your_renown_before_y|Şöhretin ve para kesen etkileniyor ancak {s4} halkı onlara verdiğin para için mutlu görünüyor. 
qstr_Your_men_push_the_cr|Adamların bazılarını yaralayarak da olsa kalabalığı bastırdı. Biranda insanlar kalabalık dağılmadan önce, kayıplara sırt çevirdi. 
qstr_You_run_through_the_|Kalabalık senin bir korkak ve zavallı olduğunu bağırırken arka kapıdan kaçtın. Onlar hala para için yalvarıyor.
qstr_People_thinks_the_me|Halk bu sıkı yönetimin her iki taraf için de adil olduğunu düşünüyor. 
qstr_People_think_the_mea|İnsanlar bu sınırın iki taraf için de adil olduğunu düşünüyor.
qstr_The_tree_owner_is_no|Ağaç sahibi pek memnun değil, seni eleştirip hakkında dedikodu çıkarıyor. 
qstr_The_man_who_cut_tree|Ağaçları kesen adam pek memnun değil, seni eleştirip hakkında dedikodu çıkarıyor.
qstr_People_in_{s4}_are_h|{s4} halkı memnun çünkü ihtiyaçlarını karşıladın. 
qstr_People_in_{s4}_are_u|İhtiyaçlarına kulak asmadığın için {s4} halkı mutsuz.
qstr_eople_in_{s4}_are_un|İhtiyaçlarına kulak asmadığın için {s4} halkı mutsuz.
qstr_Although_the_local_l|Yerel lider senin {s4}{.de} konumunu desteklese de adamların aralarında çocuğun olmasını uygunsuz buluyor.
qstr_Although_the_local_le|Yerel lider sana iyi ödeme yapsa da adamların aralarında çocuğun olmasını uygunsuz buluyor.
qstr_The_local_leader_lev|Yerel lider senin {s4}{.deki} gücünü yok edip oğlunu kabul etmemeni cezalandırmak için kendi konumunu güçlendiriyor. 
qstr_During_the_night_at_|Gece boyunca bir ateş ve dans şöleni ile kız yakılarak tanrılara kurban edildi. 
qstr_People_superstitious|Batıl inançlı insanlar san kızgın. Bir süre sonra başka bir kızın da kurban edildiğini öğreniyorsun.
qstr_The_physician_you_se|Gönderdiğin doktor, insanların hayatlarını kurtarmaya ve salgının diğer bölgelere yayılmasını önlemeye çalışıyor.
qstr_The_epidemic_wipes_o|Salgın köy halkını öldürüyor. Aldığın önlemler her ne kadar hastalığın {s4} dışına yayılmasını önlese de bir çok kişi köylerinde yaşayan akrabalarını kaybetti. Dedikodular senin bir katil olduğunu söylüyor.
qstr_{s4}_is_a_Christian_|{s4} bir hristiyan yeri ve kuralların hemen kabul görüyor. Duaların kabul olmuş görünüyor, kız ve çocuk hala hayatta.
qstr_{s4}_is_a_pagan_sett|{s4} bir pagan yeri ve kimse sana itaat etmiyor. Kızın ve çocuğun hayatta kalması için dualarına gerek yok gibi görünüyor. 
qstr_{s4}_is_a_Christian_s|{s4} bir hristiyan yeri ve kimse sana itaat etmiyor. Kızın ve çocuğun hayatta kalması için bilge bir kadına ihtiyaç yok gibi görünüyor. 
qstr_{s4}_is_a_pagan_settl|{s4} bir pagan yeri ve kuralların hemen kabul görüyor. Bir şekilde kızın ve çocuğun hayatta kalması için bilge kadının desteği işe yaramış görünüyor. 
qstr_Your_men_are_happy_t|Özellikle de onlar sana fedakarlıkta bulunurken onların huzurunu düşündüğün için adamların mutlu.
qstr_The_sum_is_enough_fo|Bölgenin beyinin görevini yerine getirmesi için miktar yeterli ama cömert sayılmaz. Adam sana minnettar ama mutlu değil. 
qstr_Your_men_are_angry_t|Sana hizmet etmek için parasını harcayan bir adama karşılığını vermediğin için adamların kızgın. Pintiliğin onları da etkileyecek diye korkuyorlar.
qstr_The_rumor_that_you_r|Kutsal emaneti kabul etmediğin söylentisi inançlı insanların seni lanetlemesine neden oluyor.
qstr_The_monk_is_removed_|Rahip önünüzden stresli bir şekilde çekiliyor. {s4} sakinleri onların inançlarına saygı gösterdiğin için mutlular.
qstr_The_relic_cause_a_st|Kutsal emanet onu görmek ve değeriyle senin adını yüceltmek için üşüşen inançlı insanlar arasında kargaşaya neden oluyor. 
qstr_The_monk_is_happy_to|Rahip {s4} paganlarını hristiyanlığa döndürdüğü için kutsal emaneti kullanmaktan mutlu. Diğer bir taraftan seni lanetliyorlar.
qstr_The_rich_woman_s_hus|{s4}{.nin} beyi olacak zengin adamın karısı sana çok kızgın ve senin ününü karalıyor.
qstr_The_poor_people_in_{|{s4}{.nin} fakir halkı çocuğu çocuğu samimice karar vermeden zengin kadına verdiğin için sinirli.
qstr_Everyone_in_{s4}_thi|{s4}{.de} herkes bebeği gerçek annesine vererek diğer yalan söyleyen kadını zenginliğinden etkilenmeden cezalandırmanı erdemli bir davranış olarak görüyor. 
qstr_The_crowd_kills_the_|Kalabalık zengin kadını öldürüyor. {s4}'ün beyi olacak kadının kocası sana çok kızıyor ve ününü karalıyor.
qstr_The_poor_people_in_{s|{s4}{.nin} fakir halkı çocuğu çocuğu samimice karar vermeden zengin kadına verdiğin için sinirli. Şiddetle sonuçlanan bazı rahatsız durumlar oluşuyor. Arbede sırasında bir sürü kişi ölüyor ve sen de adam kaybediyorsun.
qstr_The_people_of_{s4}_d|{s4} halkı çocuklarının senin vergilerin yüzünden aç kalmasını istemiyor ve açıkça sana karşı çıkıyorlar.
qstr_The_people_of_{s4}_a|Zor zamanlarındaki yardımın için {s4} halkı çok mutlu. 
qstr_The_people_of_{s4}_ar|Sorunları ile ilgilenmediğin için {s4} halkı sana kızgın.
qstr_The_people_of_{s4}_t|{s4} halkı bunun bugünün ekmeği yarının açlığı olduğunu düşünüyor fakat bu tip şeylerin olabileceğini anlayışla karşılıyorlar. 
qstr_The_witch_leaves_the|Cadı nereye gittiğini söylemeden şehri terk ediyor.
qstr_The_witch_appreciate|Cadı senin güvenini takdir ediyor ve eski tanrılara açıkça ibadet etmek için mesleğini bırakıyor.
qstr_The_witch_hunt_costs|Cadı avı halk arasında huzursuzluk yaratıp bazı masumların ölümüne neden oluyor. 
qstr_{s4}_is_a_Christian_se|{s4} hristiyan bir yerleşim yeri bu yüzden sonunda emirlerine ittat ediliyor.
qstr_{s4}_is_a_pagan_settle|{s4} pagan bir yerleşim yeri bu yüzden ağaç kesildiğinde büyük bir kızgınlık vardı. 
qstr_{s4}_is_a_Christian_set|{s4} hristiyan bir yerleşim yeri ve misyoner ve takipçilerinin cinayeti halkı şaşırtıyor. Herkes senden korkuyor.
qstr_{s4}_is_a_pagan_settlem|{s4} pagan bir yerleşim yeri ve misyoner ve takipçilerinin cinayetini halk destekliyor. Kısa süre sonra misyonerin Aziz Cuthberh olarak kutsandığını öğreniyorsun.
qstr_The_missionary_and_h|Misyoner ve takipçileri {s4}{.den} adamların eşliğinde yaygarasız ayrılıyor. 
qstr_Your_men_take_kindly|Adamların senin onların aileleri ile ilgilendiklerini farkediyorlar.
qstr_Your_men_are_unhappy|Adamların senin dul kadınlarları umursamamandan memnun değil. 
qstr_Your_men_are_upset_t|Adamların eğer ölürlerse dul eşleri ile ilgilenmeyeceğinden endişeliler. 
qstr_Your_men_are_happy_to|Ailelerine bakacağını duymuş olmaktan adamların mutlu.
qstr_Your_men_are_very_ha|Ailelerini koruycağından adamların çok mutlu.
qstr_Your_followers_feel_|Takipçilerin ne pahasına olursa olsun onları koruyacağını hissediyorlar fakat {s4} halkı kararından memnun değil. Ayrıldığında seni eleştiriyorlar ve arkandan dedikodu çıkarıyorlar.
qstr_Your_followers_feel_t|Takipçilerin sana hizmetlerine karşılık onları yeterince iyi koruyamadığını düşünüyorlar fakat {s4} halkı kararından dolayı çok mutlu. Adil biri olduğun söylentileri yayılıyor.
qstr_Your_followers_feel_th|Adamların sana hizmetlerine karşılık onları yeterince iyi koruyamadığını düşünüyorlar. {s4} halkı kararından memnun değil. Ayrıldığında seni eleştiriyorlar ve arkandan dedikodu çıkarıyorlar.
qstr_To_arms!_Some_citize|Herkes silahlara! Bazı vatandaşlar ayaklanıp seni öldürmeye çalışıyor!
qstr_Your_men_charge_down|Adamların en küçük bir kışkırtmada kılıçlarını kullanarak sokaklarda  yoldaşlarının intikamını alıyor. {s4} halkı evlerine sığınıyor.
qstr_Your_men_are_very_an|Adamların yoldaşlarının cinayeti karşısında bir şey yapmadığın için kızgınlar. Bu arada yerel liderler {s4}'de insanları sana karşı kışkırtmaya çalışıyor.
qstr_Mercilessly_your_men|Adamların zalimce önlerine çıkan herkesi öldürüyorlar, sonra eve girerek 14 yaşlarındaki çocukları da öldürüyorlar. Zalimliğinin ünü rüzgarla yayılıyor. Senin hakkında konuşan herkesi korku sarıyor. Şimdi {s4}'de barış var fakat bedeli çok ağır oldu.
qstr_Your_men_return_with|Adamların 300 pening ve haytta kalmış iki kişi ile dönüyor.
qstr_A_messenger_sent_fro|{s12}{.den} gönderilen bir ulak geliyor ve sana dostluğunuzu pekiştirmek için gümüş ve mücevher hediye ediyor. 
qstr_A_messenger_sent_from|{s12}{.den} gönderilen bir ulak geliyor ve sana hakaretler içeren bir mesaj iletiyor, cesaret varsa ki {s12} olmadığını düşünüyor, seni gidip onu araman için davet ediyor. 
qstr_Your_fame_grows_with|Ozanın şarkısı ile ünün artıyor, fakat kısa zaman sonra yenini ozana ödeme yapan diğer bey alıyor. 
qstr_Your_fame_grows_high|Ozanın şarkısı ile ünün artıyor.
qstr_Beggars_everywhere_b|Dilenciler sen geçince cömertliğini kutlayıp sana dua ediyorlar.
qstr_Beggars_soon_tire_of|Dilenciler kısa sürede seni takip etmekten yoruluyor.
qstr_You_laugh_to_see_how|Bu tükenmiş yaşlı adamların gerçekte nasıl canlı koşabildiklerini görüp gülüyorsun.
qstr_The_young_noble_pref|Genç soylu seninle düelloya girmektense kaçmayı tercih ediyor!
qstr_The_word_spreads_tha|Seni aşağılamanın kolay olduğu ve ününü azaltacak laflar yayılıyor!
qstr_The_woman_and_her_hu|Cömertliğin karşısında kadın ve kocası mutlu oluyorlar!
qstr_Other_men_join_in_an|Bazı adamlar katılıp, bazıları da ailelerine yardım etmek için ayrılıyorlar.
qstr_The_rumors_hurt_your|Dedikodular ününü biraz zedeliyor ancak kısa sürede tüccar senin ilgisizliğinden bıkıyor.
qstr_The_man_accepts_the_|Adam parayı kabul ediyor ve dedikodu yapmayı bırakıyor. 
qstr_A_new_rumor_that_you|Tüccarın ölümünün ardından senin bir katil ve zorba olduğun dedikoduları halk arasında yayılıyor!
qstr_The_animal_runs_free|Hayvan, arkasına bakmadan özgürlüğüne koşuyor.
qstr_You_increase_your_me|Et stoğunu artırıyorsun.
qstr_Three_veterans_join_|Üç gönüllü orduna katıldı.
qstr_The_veterans_leave_d|Gönüllüler adını kötüleyerek ayrıldı.
qstr_Among_the_bodies_you|Bedenlerin arasında adamların 1000 pening buluyor.
qstr_A_group_of_6_women_j|6 kişiden oluşan bir kadın grubu orduna katılıyor.
qstr_The_crane_was_a_symb|Eski Keltler için turna bir savaş sembolüydü. Adamların senin bilgi birikimden etkileniyorlar ve tanrının yanlarında olduğu için minnettarlar. 
qstr_Your_men_pass_by_the|Adamların kuşun önünden farketmeden geçip gidiyor. 
qstr_The_crane_was_a_symbo|Eski Keltler için turna bir savaş sembolüydü. İhmalin adamlarını zora sokuyor ve senin liderlik için yeteneğinden şüphe ediyorlar.
qstr_Your_men_resent_the_|Adamların cezana içerliyor ama yetkini tanıyorlar. Bu hareketin disiplin için bir örnek oluşturuyor. 
qstr_Offended_by_your_con|İsteğini küçümsemeniz üzerine çiftçi gidiyor ve sizin bir alçak olduğunuzu iddia ediyor.
qstr_You_spend_time_with_|Rahibin karısı ile vakit geçiriyorsun ve kocası geri döndüğünde görünmeden ahıra kaçıyorsun!
qstr_Three_Hirdmenn_join_|Üç Hirdmenn orduna katılıyor!
qstr_The_man_s_eyes_sadly|Sen giderken adamın gözleri üzgünce seni izliyor.
qstr_You_feel_good_for_hel|Ona yardım ettiğin için iyi hissediyorsun.
qstr_When_you_give_him_ar|Ona zırh ve yemek verirsen sağlam bir savaşçı olacağını kanıtlar.
qstr_The_bandits_turn_awa|Haydutlar hayal kırıklığı ile geri dönüyor.
qstr_After_two_hours_the_|İki saat sonra haydutlar biraz ganimet ve birinin kafası ile geri dönüyor...
qstr_On_the_remains_of_a_|Cesetten geri kalan bir kılıç ve kralın zırhı. Bir zamanlar yüksek kalitelerini açığa çıkarmak için pastan arındırılmış inanılmaz silahlar var. Şimdi onlar senin -- mezar soyguncularına musallat olan kötü şansı umursamazsan.
qstr_Someday_perhaps_you_|Birgün belki bir kral gibi gömülme şerefine erişirsin.
qstr_Meat_is_a_welcome_ad|Et adamlarının yemek listesine hoş bir ek.
qstr_The_days_get_longer_|Günler uzuyor ve kışın etkisi azalmaya başlıyor. Yeşil yapraklar bir kez daha ağaçları donatıyor. 
qstr_The_sun_greets_you_e|Güneş sabah erkenden seni selamlıyor ve gece yatağa gönderiyor.
qstr_As_nature_becomes_a_|Doğa zengin renklere büründükçe halk kilerlerini doldurup kış için hazırlanıyor.
qstr_The_night_steals_fro|Gece günü takip ediyor ve yavaşça büyüyor, bu sırada orman zayıf ve yaşlıları tehdit ediyor. 
qstr_You_have_become_bers|Artık bir berserksin. Berserk moda geçtiğinde savaşın sıcaklığından beslenen bir hız ve güce sahip olacaksın ve kana susamışlığın görüğünü kırmızıya boyayacak. (Güçlü darbenin hasarını artırmak için T tuşunu kullan)
qstr_Your_studies_in_poet|Şiir ve hitabet konusundaki çalışmaların üretken sonuçlar verdi. Son dönemlerde uygulamaya başladığın başarılı bir hitabet sayesinde savaş alanındaki liderliğin ve attığın naraların askerlerinin hevesi üzerine etkisi arttı. (Kükremek için T tuşunu kullan)
qstr_The_exhausting_athle|Askerlerine yaptırdığın yorucu atletizm antreanmanları sonucunda savaş alanında manevra kabiliyeti yüksek ve daha hızlı birlikler elde ettin. Artık birliklerin kalkan duvarı oluşturduklarında çok daha hızlı ve akıcı şekilde hareket edecekler. (Kalkan duvarı oluşturmak için T tuşunu kullan)
qstr_Your_incessant_conce|Kalkan ve zırhlara karşı daimi ilgin ve bakım halin, askerlerini düşmanların için zarar vermesi güç tanklara dönüştürdü. Demir Vücut gelişiminin etkisi kalkan duvarlarına yansıyacaktır. (Kalkan duvarı oluşturmak için T tuşunu kullan)
qstr_{s10}Current_fleet:^|{s10}Şu anki donanma:^{s0}^^
qstr_{s10}Port_of_{s9}:^{|{s10} {s9} Limanı :^{s0}^^
qstr_{s10}Landed_ships_ne|{s10} {s9} limanına yanaşmış gemiler:^{s0}^^
qstr_There_is_one_lord_ne|Seninle beraber karaya çıkabilecek tek bir lord var.
qstr_You_have_{reg1}_lord|Seninle beraber karaya çıkabilecek {reg1} lord var.
