str_yes|Sí.
str_lord_follow_refusal_sadistic|¡No lo creo! Más bien eres tú quien deberías seguirme, como un perro apaleado sigue a su {reg59?ama:amo}.
str_lord_follow_refusal_goodnatured|Um, ahora mismo estoy ocupado en otros asuntos. Tal vez algún otro día.
str_lord_follow_refusal_upstanding|Primero demuéstrame que eres un líder digno, y entonces tal vez te siga.
str_lord_insult_default|simple andrajoso
str_lord_insult_martial|bribón sin honor
str_lord_insult_quarrelsome|borracho apestoso
str_lord_insult_pitiless|gusano rastrero
str_lord_insult_cunning|zoquete descuidado
str_lord_insult_sadistic|canalla plañidero
str_lord_insult_goodnatured|compañero molesto
str_lord_insult_upstanding|indigno sinvergüenza
str_lord_derogatory_default|simple y vil
str_lord_derogatory_martial|cerrado de mollera
str_lord_derogatory_quarrelsome|malmetedor y pendenciero
str_lord_derogatory_pitiless|cruel, tiránico
str_lord_derogatory_cunning|sin escrúpulos y manipulador
str_lord_derogatory_sadistic|vil y deshonroso
str_lord_derogatory_goodnatured|ingenuo sin remedio
str_lord_derogatory_upstanding|terco y meapilas
str_lord_derogatory_result|nos lleva a la ruina
str_lord_derogatory_martial_action|atacar al enemigo sin ningún juicio o plan, y sacrificar sin sentido la vida de sus hombres
str_lord_derogatory_quarrelsome_action|aceptar las peleas con otros señores, dejándonos débiles y divididos
str_lord_derogatory_pitiles_action|apartar a la gente común, lo que provocó la rebelión y el motín
str_lord_derogatory_cunning_action|hacer un trato con el enemigo a nuestras espaldas
str_lord_derogatory_sadistic_action|una vergüenza para nuestra causa y nuestro reino
str_lord_derogatory_goodnatured_action|sentir piedad por nuestros enemigos, en lugar de luchar contra ellos
str_lord_derogatory_upstanding_action|situar su desmedido sentido de honor por encima de las necesidades del reino
str_rebellion_dilemma_martial| {s45} sin duda se equivocó. Aunque le hice un juramento a {s46}, eso no me obliga a apoyarlo si usurpó el trono de forma ilegal.
str_rebellion_dilemma_quarrelsome|Hmm. {s46} nunca apoyó mi causa, por lo que no le debo nada. Sin embargo, tal vez {s45} sea mejor, y {s46} al menos ha demostrado quién es.
str_rebellion_dilemma_pitiless|Hmm. {s45} se considera {reg3?la legítima heredera:el legítimo heredero} al trono. Eso está bien, pues me libera de mi juramento a {s46}. Pero aún tengo que considerar mi decisión con cuidado.
str_rebellion_dilemma_cunning|Hmm. Le juré lealtad a {s46}, aunque los poderosos no están atados a juramentos del mismo modo que la gente común. Nuestro deber reside en la propia capacidad de gobierno, para imponer el orden y evitar una guerra de todos contra todos.
str_rebellion_dilemma_sadistic|Hmm. En este mundo vil, un hombre sabio debe pensar en sí mismo, pues nadie lo hará por él. Así que... ¿qué saco yo de todo esto?
str_rebellion_dilemma_goodnatured|No sé qué decir. Le hice un juramento a {s46}, al considerarle el gobernante legítimo, mas si no cuenta con tal legitimidad, ignoro si todavía estoy atado a él.
str_rebellion_dilemma_upstanding|Resulta problemático. Es muy grave declarar que mi juramento a {s46} ya no tiene valor, y romper los lazos que evitan que nuestra tierra se hunda en la anarquía. Sin embargo, me veo obligado a apoyar la sucesión y la pretensión de {s45} al trono, pues me parece lícita.
str_rebellion_dilemma_2_martial|Por otro lado, {s46} nos ha dirigido en la guerra y en la paz; soy muy reacio a cambiar mi lealtad hacia él.
str_rebellion_dilemma_2_quarrelsome|Así que dime, ¿por qué debería cambiar un cabrón conocido por {reg3?una cabrona:un cabrón} por conocer?
str_rebellion_dilemma_2_pitiless|Supone un verdadero aprieto tener que decir a quién haría yo {reg3?reina:soberano} de esta tierra. Aunque también es el mejor momento para obtener aquello que siempre he merecido.
str_rebellion_dilemma_2_cunning|{s46} ha sido desafiado, y por tanto nunca podrá gobernar con la firmeza de aquel cuya legitimidad al trono nunca ha sido cuestionada. Sin embargo, si {s45} se sienta en del trono por la fuerza, no estará tan cómodo en él como quien subió al poder de forma pacífica.
str_rebellion_dilemma_2_sadistic|Tal vez si me uno a {s45}, mientras {reg3?ella:él} aún es débil, podré enriquecerme; pero si le llevo a {s46} tu cabeza, me dará una recompensa aún mayor.
str_rebellion_dilemma_2_goodnatured|{s46} siempre me ha tratado con decencia, sin embargo es cierto que se equivocó en {s45}. No me atrevo a renunciar a mi juramento hacia {s46}, aunque tampoco creo que sea correcto apoyar la injusticia.
str_rebellion_dilemma_2_upstanding|Siento que debo hacer lo mejor para el reino, con el fin de evitar que sea devastado por la guerra civil y los enemigos externos.
str_political_philosophy_martial|Mi espada está a disposición de mi soberano legítimo, siempre que él cumpla con su deber hacia mí.
str_political_philosophy_quarrelsome|Bah. Son todos unos hijos de puta. Me aseguraré de que quienes me han hecho mal lo lamenten.
str_political_philosophy_pitiless|Los hombres siempre tratan de arrebatar a otros de aquello que les corresponde por derecho. En este mundo sin escrúpulos, cada cual debe defender sus intereses.
str_political_philosophy_cunning|Vivimos en un mundo duro, en el que debemos afrontar decisiones difíciles. A veces se ha de servir a un tirano para garantizar la paz, y otras veces la rebeldía obliga al rey a ser honesto. Todo depende de las circunstancias.
str_political_philosophy_sadistic|Mi filosofía es simple: es mejor ser lobo que cordero.
str_political_philosophy_goodnatured|Debes mantenerte fiel a tus juramentos, y no ser injusto con otros. A veces es difícil hallar el equilibrio. Quédate con gente en la que confíes y es difícil que te equivoques.
str_political_philosophy_upstanding|El deber de reyes y señores es mantener la paz y evitar la guerra, mas eso no nos debe mantener ciegos ante la injusticia.
str_political_philosophy_roguish|Hmm... supongo que ha de ser bueno convertirse en señor.
str_political_philosophy_benefactor|Un buen gobernante se asegura de que todo el mundo sea tratado con justicia. Personalmente, intentaré utilizar mi autoridad para mejorar la suerte de los que viven en mis dominios.
str_political_philosophy_custodian|Un buen gobernante crea los cimientos para que las personas prosperen. Yo trataré de emplear mi riqueza para crear más riqueza, para mí y para todos.
str_rebellion_prior_argument_very_favorable|Ya he escuchado algunos argumentos para apoyar tu reclamación al trono, y me siento inclinado a estar de acuerdo.
str_rebellion_prior_argument_favorable|Ya he escuchado los argumentos de tu reclamación al trono, y me siento inclinado a estar de acuerdo.
str_rebellion_prior_argument_unfavorable|Ya he escuchado los argumentos para apoyar tu reclamación al trono, pero no me parecen convincentes.
str_rebellion_prior_argument_very_unfavorable|Ya he escuchado los argumentos para apoyar tu reclamación al trono, pero estoy en desacuerdo con la mayoría de ellos.
str_rebellion_rival_martial|{s49} tu aliado {s44} en una ocasión cuestionó mi honor y mi valor. ¡Pocas veces he tenido la oportunidad de enfrentarme a él en batalla, y hacer que se retracte!
str_rebellion_rival_quarrelsome|{s49} estás trabajando con {s44}. Es una comadreja astuta, y no confío nada en él.
str_rebellion_rival_pitiless|{s49} pareces haber conseguido el apoyo de {s44}. Alguien débil, nada apto para gobernar un feudo, y al que siempre he detestado.
str_rebellion_rival_cunning|{s49} {s44}, que acaba de unirse a tu causa, es terco y pendenciero, un verdadero lastre.
str_rebellion_rival_sadistic|{s49} No tengo ningún deseo de luchar junto a tu aliado {s44}, alquien que hace gala de una nauseabunda demostración de virtud.
str_rebellion_rival_goodnatured|{s49} tal vez se opondría a estar en el mismo bando que {s44}, pues tiene una sólida reputación de crueldad.
str_rebellion_rival_upstanding|{s49} tu aliado {s44} es, en mi opinión, un hombre peligroso, poco fiable y sin principios.
str_rebellion_argument_favorable|respeto tus argumentos
str_rebellion_argument_neutral|encuentro tus argumentos apenas convincentes
str_rebellion_argument_unfavorable|tus argumentos no me convencen
str_rebellion_persuasion_favorable|presentaste tu caso de forma elocuente
str_rebellion_persuasion_neutral|haces un juicio razonable
str_rebellion_persuasion_unfavorable|haces un juicio convincente
str_rebellion_relation_very_favorable|Siento el mayor respeto hacia tu persona.
str_rebellion_relation_favorable|Te conozco y respeto como persona.
str_rebellion_relation_neutral|No te conozco tanto como me gustaría.
str_rebellion_relation_unfavorable|No confío en ti.
str_and_comma_3|Además,
str_but_comma_3|Sin embargo,
str_and_comma_1|, y
str_but_comma_1|, pero
str_and_comma_2|. Por otra parte,
str_but_comma_2|. Sin embargo,
str_rebellion_agree_martial|Lo he decidido. Voy a respaldar a {s45} como legítimo heredero.
str_rebellion_agree_quarrelsome|Ahh, ya he reflexionado bastante. De todos modos, nunca me gustó {s46}. Apartémosle del trono.
str_rebellion_agree_pitiless|Eres afortunado. He decidido acompañarte. Reza para no darme motivos de lamentar esta decisión.
str_rebellion_agree_cunning|Es una decisión peligrosa en extremo, pero, después de pensarlo detenidamente, me uniré a vosotros. Esperemos que sea lo mejor.
str_rebellion_agree_sadistic|Ya he decidido. Apoyaré a {s45}. ¡Será mejor que te asegures de que me recompense bien!
str_rebellion_agree_goodnatured|De acuerdo. Creo que tu {reg3?mujer:hombre} será un buen soberano. Me uniré a vosotros.
str_rebellion_agree_upstanding|Que así sea. Mi primer deber es hacia este reino, y para salvarlo de la anarquía apoyaré a {s45}, tras renunciar a mi juramento hacia {s46}. Que el Cielo me perdone si he obrado mal.
str_rebellion_refuse_martial|Lo siento. La reclamación de {s45} es justa, pero no es suficiente para darle la espalda a {s46}. Permaneceré fiel a mi señor.
str_rebellion_refuse_quarrelsome|Nah. Tu cachorro {s45} no tiene lo que hace falta para gobernar este reino. Me quedo con {s46}.
str_rebellion_refuse_pitiless|No. No me uniré a tu rebelión. Me parece poco más que la rabieta de un niño al que se ha negado una chuchería que cree suya. Voy a seguir con {s46}, cuya capacidad para gobernar está más que demostrada.
str_rebellion_refuse_cunning|Lo siento. No me has dado ninguna razón para pensar que vas a ganar. Muchos morirán, pero yo no quiero estar entre ellos. Seguiré apoyando a {s46}.
str_rebellion_refuse_sadistic|No, no voy a participar en tu juego. Pretendes la corona, pero sólo obtendrás un pasaporte para el patíbulo, y prefiero estar junto a {s46} cuando descienda el hacha del verdugo.
str_rebellion_refuse_goodnatured|Lo lamento. No creo que sea correcto darle la espalda a {s46}. Espero que no haya resentimiento entre ambos cuando nos veamos en el campo de batalla.
str_rebellion_refuse_upstanding|Lo siento. Creo que la reclamación de {s45} no es lo suficiente sólida como para castigar con una nueva guerra a los pobres infelices que malviven en esta tierra. Seguiré apoyando a {s46}, y que Dios me perdone si me equivoco.
str_talk_later_martial|¡Ahora no es el momento de hablar de política! Estoy aquí con los otros señores, preparados para la batalla. Será mejor que te dispongas a luchar.
str_talk_later_quarrelsome|¿Esperas que hable contigo de traicionar a mi señor, mientras estamos rodeados por su ejército? ¿Por quién me tomas, por un maldito idiota?
str_talk_later_pitiless|¡Contén tu lengua! Cualquier cosa que tenga que decir sobre este asunto, no lo voy a decir aquí y ahora, en medio de este ejército.
str_talk_later_cunning|Este no es el momento ni el lugar para tal discusión. Tal vez podríamos hablar de ello en otro momento y en un lugar distinto, pero ahora somos enemigos.
str_talk_later_sadistic|¡Deberías coserte la boca! ¿Qué crees que pasaría si el resto de vasallos me ve hablando contigo de traición?
str_talk_later_goodnatured|¿Deseas hablar sobre una rebelión conmigo? Inténtalo de nuevo cuando no estemos rodeados por el ejército de mi señor, y escucharé lo que tengas que decirme.
str_talk_later_upstanding|Con independencia de mis ideas sobre la legitimidad de la sucesión, no voy a discutirlo aquí y ahora. Si nos encontrásemos de nuevo en privado, escucharía lo que quieras decirme sobre el asunto. Por ahora, considérame tu enemigo.
str_gossip_about_character_default|Dicen que {s6} no posee ningún rasgo de personalidad interesante.
str_gossip_about_character_martial|Dicen que {s6} no ama a nada más que la guerra.
str_gossip_about_character_quarrelsome|Dicen que {s6} casi se enfrenta a otro señor hace poco, debido a que hizo una broma sobre su nariz.
str_gossip_about_character_selfrighteous|He oído que {s6} ordenó ejecutar a un guardabosques porque el pobre hombre mató a un ciervo en uno de sus bosques.
str_gossip_about_character_cunning|Dicen que {s6} es un adversario astuto.
str_gossip_about_character_sadistic|Dicen que a {s6} le gusta torturar a sus enemigos. No me gustaría estar en contra de tal hombre.
str_gossip_about_character_goodnatured|Dicen que {s6} es un buen hombre y trata decentemente a quienes viven en sus tierras. Es más de lo que se puede decir de la mayoría de nobles.
str_gossip_about_character_upstanding|La gente se alegra de servir a {s6}. Es bueno con sus hombres y los recompensa si trabajan bien.
str_latest_rumor|El último rumor que escuchaste acerca de {s6} fue:
str_changed_my_mind_martial|Sin embargo, tus conmovedoras palabras me hacen considerar de nuevo mi opinión.
str_changed_my_mind_quarrelsome|Creo que ya me habías advertido de ello, bastardo. Te sigo escuchando.
str_changed_my_mind_pitiless|Pero cuando súplicas así, me negaré a reconsiderarlo.
str_changed_my_mind_cunning|Pero, sabes, eres un cabrón con labia. Eso me impresiona. Aún te escucho.
str_changed_my_mind_sadistic|Pero como tu afilada lengua disecciona tan bien tus méritos, de momento no descartaré la idea.
str_changed_my_mind_goodnatured|Pero has hecho un buen alegato, así que trataré de mantener mi mente abierta.
str_changed_my_mind_upstanding|Sin embargo, has mostrado un juicio elocuente. Aún te estoy escuchando.
str_swadian_rebellion_pretender_intro|Soy Thorgil, de Ribe, y debería ser el rey de Danmark.
str_vaegir_rebellion_pretender_intro|Soy Dúngal, hijo de Fergusa, del Cenel nLoairn, ¡y yo debería ser el rey de Ériu!
str_khergit_rebellion_pretender_intro|Soy Oswine, ealdorman exiliado de Northhymbre.
str_nord_rebellion_pretender_intro|Soy Ceorl y pronto gobernaré sobre West Seaxe.
str_rhodok_rebellion_pretender_intro|¡Soy Bili, hijo de Brude, el próximo rey de Alban!
str_sarranid_rebellion_pretender_intro|Hola, extranjero. Soy Cadwallon. Me presento ante ti como el último heredero de los reyes de Gwynedd.
str_swadian_rebellion_pretender_story_1|Mi padre salvó a nuestro pueblo, mientras que ese bastardo del rey Horik estaba saqueando en el extranjero. ¡No pensó en lo que pasaría si dejaba esta tierra sin guerreros para protegernos! ¡Mi padre fue quien lo hizo!
str_vaegir_rebellion_pretender_story_1|He sido el heredero de mi padre durante treinta largos años, pero no hace mucho esa vieja momia decidió buscarse a una joven para «disfrutar de la vida»; ya sabes a qué me refiero...
str_khergit_rebellion_pretender_story_1|Mis tierras fueron arrasadas por los daneses. Apoyados por ese cobarde rey de East Engle, cabalgaron desde el sur. Al creer que buscaban venganza contra el rey Aelle, cada señor protegió sólo su propio feudo en lugar de prestar atención a la llamada del rey. Pero los daneses lo querían todo. Al contar sólo con mis propios siervos, yo sabía que no podría evitar que me arrebatasen mi herencia.
str_nord_rebellion_pretender_story_1|Mi padre era el rey de Cent, hermano del actual monarca. Él honró a su padre, Aethelwulf, a diferencia de su siguiente hermano, Aethelbald, que se apoderó del trono y se casó con la mujer de su padre.
str_rhodok_rebellion_pretender_story_1|Durante los últimos quince años he cabalgado por esta tierra con mis chicos, protegiendo a los pueblos sólo a cambio de comida y un par de monedas. Justo lo que nos merecemos.
str_sarranid_rebellion_pretender_story_1|Fue mi antepasado el que derrotó Eadwine de Deria en la batalla de Haethfelth Chase. Después de eso, nos expulsaron del trono y mi familia tuvo que vivir lejos, hasta ahora.
str_swadian_rebellion_pretender_story_2|Cuando el rey regresó de su aventura, con arcas repletas de plata y esas extrañas cruces, tuvo miedo de nosotros y la lealtad que mi padre inspiraba entre los que estaban aquí cuando los bandidos nos atacaron. Ese cobarde nos echó de nuestras propias casas. Unos meses después, mi padre se suicidó, al ser incapaz de afrontar tal deshonra. Desde entonces, he vivido con los leales a nuestra causa, aquellos que saben que el verdadero líder de nuestro pueblo era mi padre.
str_vaegir_rebellion_pretender_story_2|Más importante aún, esa pequeña reina parece ser muy fértil y ha logrado engendrar un hijo con un rey de 62 años. O eso dice ella. Después de tantos años, en los que obligaba a sus esposas a abortar de herederos legítimos... ¡ahora esto! Se diría que mi padre prefiere tener como heredero a un bebé, antes que a un bastardo adulto.
str_khergit_rebellion_pretender_story_2|Nos expulsaron de las tierras de nuestros antepasados. Después de siglos construyendo este reino, me veo obligado a ver cómo desaparece... Mi padre se avergonzaría de mí.
str_nord_rebellion_pretender_story_2|Antes de todo eso, por desgracia, mi padre murió defendiendo el reino de la primera invasión de los daneses dirigida por Ragnar Lodbrok, hace dieciséis años. El incestuoso Aethelbald entonces disfrutó de los frutos obtenidos gracias al sacrificio de mi padre, y murió en paz nueve años más tarde. Yo todavía era considerado demasiado joven para asumir el trono, y mis tíos Aethelbehrt y Æthelred subieron al trono de Cent y Wessex.
str_rhodok_rebellion_pretender_story_2|Sólo las grandes ciudades nos han rechazado. Dijeron que el verdadero peligro procedía de nosotros, que no les otorgamos protección, y que tratábamos de extorsionarles. Pero son todo mentiras; los ladrones son aquellos que se llaman a sí mismos jarls y el peor de todos es ese rey.
str_sarranid_rebellion_pretender_story_2|En los últimos años, el reino ha sufrido con los usurpadores al timón, y creo que la gente estará dispuesta a apoyarme en mi lucha por el trono.
str_swadian_rebellion_pretender_story_3|El reino entero debe su existencia a mi padre y a los que lucharon junto a él, gente como mis hombres y yo. Tengo suficientes tropas como para tomar la capital y defenderla, mientras que alguien valiente como tú puede conquistar y defender otros fuertes. Juntos podemos recuperar lo que el rey Horik me debe.
str_vaegir_rebellion_pretender_story_3|El reino no va a sobrevivir durante muchos más años. Los jarls lucharán por el poder. ¡Necesitan a un rey fuerte para mantenerlos unidos contra nuestros enemigos! Preciso tu ayuda para defender mis derechos a la corona. Mi padre nunca me aceptará por encima de su último hijo. Debemos luchar por el futuro del reino.
str_khergit_rebellion_pretender_story_3|Sin embargo, he unido a toda mi gente bajo mi estandarte de nuevo. He reunido a más hombres que ninguno de mis antepasados  antes, pero necesito caudillos competentes, pues algunos de mis mejores comandantes murieron en las primeras batallas. Puedo ofrecerte liderar una de mis huestes y, si logramos nuestro objetivo, es posible que te entregue una ciudad para gobernar.
str_nord_rebellion_pretender_story_3|Está claro que el linaje de mi abuelo se debilitó después de mi padre. Aethelred es demasiado piadoso y Aelfred siempre anda con la cara hundida en legajos; juntos se han enfrentado con éxito a los daneses. Yo me parezco más a mi padre. Puedo defender esta tierra con  vigor. Con tu ayuda, traeremos la paz y la prosperidad a nuestro reino, y quizás a toda Britannia.
str_rhodok_rebellion_pretender_story_3|Estamos planeando asaltar el castillo principal del usurpador y poner fin a su reinado de terror. Los lugareños sólo nos pagar por la protección, no tolerará ninguna rivalidad, ya que estas son mis tierras. Únete a mí y te sepultaré en tanto oro que serás incapaz de nadar en él. Estarás al mando de tu propia partida, para cobrar los tributos de protección.
str_sarranid_rebellion_pretender_story_3|Sólo necesito capitanes competentes y, si es posible, acompañados de buenos guerreros. Juntos devolveremos el honor de mi familia y restauraremos la posición de la que soy merecedor. Ven conmigo, reúne a tus hombres y nuestros nombres jamás serán olvidados. Júrame lealtad y nunca te arrepentirás.
str_swadian_rebellion_monarch_response_1|De nuevo ese muchacho pretende ser el verdadero rey de mis tierras... Debería haberle enviado lejos cuando tuve la oportunidad. Sin toda la plata que trajimos, este reino no sería nada. De haber imaginado que mis tierras serían arrasadas por bandidos, nunca me habría llevado tantos hombres conmigo.
str_vaegir_rebellion_monarch_response_1|Ese joven nunca entenderá su condición en este mundo. Él es un bastardo, jamás obtendrá ningún derecho salvo los que gane gracias a los servicios prestados a su señor. Él es mi hijo, pero nunca le convertiré en rey, ni siquiera si mi bebé muere algún día.
str_khergit_rebellion_monarch_response_1|¿Quién? No conozco ese nombre. Mi padre antes que yo, mi abuelo antes que él y mi bisabuelo antes que ellos han gobernado este reino. No queda nada de quienes vivían aquí antes que nosotros.
str_nord_rebellion_monarch_response_1|Mi primo era un buen caballero hace tiempo. Entonces, comenzó a reunirse con los viejos amigos de la hueste de nuestros padres, y ahora sólo cree en lo que ellos le dicen. Le han llenado la cabeza de pájaros, con el fin de recuperar su antigua influencia.
str_rhodok_rebellion_monarch_response_1|No es más que un bandido. Durante los últimos años, ha estado extorsionando a mis súbditos. Pretende protegerles de los bandidos... ¡pero ellos son los bandidos!
str_sarranid_rebellion_monarch_response_1|Es cierto que padecemos tiempos difíciles, pero la gente sabe que se debe a que nuestros mercaderes han sufrido constantes ataques. Ahora que sé que él está en mi reino, deduzco que él es el responsable de esos ataques.
str_swadian_rebellion_monarch_response_2|Pueden intentar atacarnos, pero no tienen los suficientes hombres ni para tomar uno de mis pueblos. Sigue mi consejo, ignóralo, él no es más que un charlatán.
str_vaegir_rebellion_monarch_response_2|Sólo si acude pronto y se arrodilla ante mí, estaré dispuesto a perdonar sus faltas y dejarlo vivir en alguna parte, lejos de mi hijo legítimo.
str_khergit_rebellion_monarch_response_2|No toleraré ningún pretendiente a mi corona. Él y todos los que le apoyan serán arrestados si intentan algo ilegal. Esta es mi gente y he de protegerlos.
str_nord_rebellion_monarch_response_2|No deseo atarle las manos, pero he de hacer frente a los daneses y no puedo estar pendiente de una posible puñalada en la espalda. Nadie controla lo que sucede. Él nunca entendió esto.
str_rhodok_rebellion_monarch_response_2|Sufrirán el mismo dolor que han causado a mi pueblo. Ninguno de ellos sobrevivirá.
str_sarranid_rebellion_monarch_response_2|Es mi deber el proteger a toda mi gente de cualquier peligro en este reino. Haré que lo apresen y, entonces, tendremos una «charla». Esta situación no puede seguir así por más tiempo.
str_courtship_comment_conventional_generic|es de una clase bien educada
str_courtship_comment_adventurous_generic|parece bastante decente
str_courtship_comment_otherworldly_generic|es muy educado y atento
str_courtship_comment_ambitious_generic|carece de guía, aunque tal vez tenga remedio
str_courtship_comment_moralist_generic|parece ser un hombre de buen carácter
str_feast_description|escaso
str_feast_description_2|escaso
str_feast_description_3|impropio
str_feast_description_4|suficiente
str_feast_description_5|generoso
str_feast_description_6|magnífico
str_feast_lengthy_description_1|La comida que proporcionaste resultaba insuficiente para tus invitados y sus séquitos, lo cual les obligó a adquirir sustento en los alrededores, a precios disparatadamente altos. Los asistentes comentaron, de forma casi unánime, que no cumpliste con tus deberes como anfitrión; lo cual ha mermado tanto su confianza en ti como, en general, tu reputación.
str_feast_lengthy_description_2|La comida y bebida que les proporcionaste se agotó, lo cual obligó a algunos invitados a comprar viandas a los buhoneros, o enviaron a su séquito a casa temprano. El más bienintencionado atribuyó esta carestía a una mala planificación, en lugar de la pura mezquindad, aunque, de cualquier modo, tu reputación ha sido dañada.
str_feast_lengthy_description_3|La comida y bebida que les proporcionaste resultó suficiente para tus invitados más nobles, aunque los miembros de su séquito tuvieron que almorzar fuera. Te has creado una reputación de cumplir tus obligaciones como anfitrión sólo entre la nobleza.
str_feast_lengthy_description_4|Les has proporcionado suficiente comida y bebida, además de variada, para otorgarte cierta notoriedad. El júbilo reinante y el calor del vino otorgaron vida a las lenguas de tus huéspedes, lo cual te permitió conversar con franqueza sobre los asuntos del reino, y que aumentar su confianza hacia ti.
str_feast_lengthy_description_5|Les has ofrecido en todo momento una mesa bien servida, no sólo a tus invitados más nobles, sino también a sus séquitos, y la comida sobrante fue repartida entre los pobres. Tus invitados se hacen lenguas sobre tu generosidad y tu lucidez acerca de las obligaciones propias de tu rango. La conversación, alentada por la abundante comida, ha sido alegre y fortaleció los lazos entre los que asistieron.
str_feast_lengthy_description_6|Durante los próximos meses, en el reino sólo se hablará de la generosidad de tu mesa, que se convertirá en un referente para festejos futuros. Has llenado los vientres, no sólo de sus invitados nobles y sus séquitos, sino también de todos los pobres que llamaron a tu puerta.
str_credits_1|©2010 TaleWorlds Entertainment. Mount & Blade: Warband^©2014 Brytenwalda S.L. Viking Conquest
str_credits_2|BRYTENWALDA S.L.^^Diseño del juego^Alberto Fuentevilla^Matthias Grohmann^Michael 'Motomataru' Richter
str_credits_3|Programación^Alberto Fuentevilla^Matthias Grohmann^Michael 'Motomataru' Richter^Slawomir Libura^Michael Lyubchenko^^Agradecimientos en especial por la Battle GUI^Alexander Souslov (Snowbird Studios)
str_credits_4|Escenas^Asbjorn Lindegaard Moller^^Modelos 3D^Cesar Inarrea^Leyre Ramirez^^Arte 2D^Yeyo Balbas^^Texturas^Miguel Egana Silva^Sebastian Wunnicke
str_credits_5|Shaders^Marc Natta^^Animaciones^Slawomir Libura^^Ilustraciones^Yeyo Balbas
str_credits_6|Guión^Alberto Fuentevilla
str_credits_7|Música^Marcus Bressler - Viking Raid^CrystalMoors - Antiqvam Exqvirite Matrem, Nabia Orebia, The Unconquered Land^Juha-Matti Koppelomaki - Viking War Horns^Symphony of Specters - Day of War^Mike Sea - Go Vikes.^KlepatoDesign - The Ancients.^Darius Sobolewski - Nordic Orchestra^Logan Epic Canto - Celtic Spirit^Allegro120 - Celtic^Cinemonia - Celtic Legend^^Tim Donovan - Solemn Funeral Pyre, Fallen Warrior^MrHumble - Ballad of a Hero.^^Apoyo externo^Yughues Nobiax^Stephen Pollington
str_credits_8|Testers y colaboradores^^Kalarhan^Kraggrim^Hunta^Ragnarson^Takeda Shingen^YourStepDad^Nijis^Krisvk^Dowdpride^Arch3r^Kazzan^Rurin^Fredelios^Blivandefar^Cleric Johnson^AZAN^Mitchell^M^Ozan Celik^Reiksmarshal^Hrotha^Kalarhan^^Muchas gracias en especial a los jugadores y betatesters del módulo original 'Brytenwalda' por los muchos años de inestimable feedback, del cual sólo una fracción hemos tenido tiempo para implementar.^^Marketing Assets^Miguel Egana Silva (KreativLandschaft)
str_credits_10|TALEWORLDS ENTERTAINMENT^^Dirección de programación^Cem Çimenbiçer^Şahin Serdar Koçdemir^^Programación^Mustafa Korkmaz^Gökhan Uras^Dündar Ünsal
str_credits_11|Dirección artística^Özgür Saral^^Artistas^Andaç Bingöl^Deniz Köklü^Fatma Nadide Öcba^Fırat Murat Çebi^Gökalp Doğan^Oğuz Tunceli^Sten Oom
str_credits_12|TaleWorlds Management^^Founder/Chief Executive Officer^Armağan Yavuz^^Chief Operating Officer^Ali Erkin^^Producer/Business Development^Vishnu Vijayakumar^^PR/Community Manager^Frank Elliott
str_credits_9|Live Action Video^^Daniel Renger^Martin Unglert^Josef Becker^Jan Jaegers^Markus Beck^Jurgen Bonisch^Chris Czichowsky^Florian Dosch^Michael Exner^Fryzel Hans-Jurgen^Alexandra Gorner^Alexander Gorner^Franz Hauser^Jenna Klein^Claudia Klingner^Marcus Langer^Hans Lendorf^Markus Mickel^Patrick Mouka^Corinna Oppitz^Sibylle Oppitz^Bernd Rohde^Volker Schlott^Benjamin Schuler^Michael Schuler^Rebekka Schuler^Julia Schuster^Alexander Seufert^Susan Sumer^Johannes Werth^Bernd Wolfsteiner^Sabine Wudy^Sebastian Wudy^Stefan Wudy^^Location^Geschichtspark Barnau^^Logotype^Jason Brown^^Cover Art^Piotr Fox Wysocki^^Layout^Christian Sabe^Melina Grundel^^Poster^Piotr Fox Wysocki^^Concept Art^Ganbat Badamkhand^^Manual Editing & Digital Wordsmithing^Ryan Newman^Nick Stewart^^Web^Martin Ericsson^^Marketing Assets^2Coats^^Localization^S&H Entertainment Localization
str_multi_scene_1|Pueblo sajón
str_multi_scene_2|Din Tagell
str_multi_scene_3|Dun Taruo
str_multi_scene_4|Muro de Adriano
str_multi_scene_5|Ad Candida Casam
str_multi_scene_6|Aldea de montaña
str_multi_scene_7|Din Arth
str_multi_scene_8|Duin Ollaigh
str_multi_scene_9|Din Bych
str_multi_scene_10|Fuerte romano
str_multi_scene_11|Entre los árboles
str_multi_scene_12|Crannog
str_multi_scene_13|Fuerte de rivera sajón
str_multi_scene_14|Marinos
str_multi_scene_15|Campo de duelo sajón
str_multi_scene_16|Fuerte de Mynyw
str_multi_scene_17|Abbercurnig
str_multi_scene_18|Fortalezas rivales
str_multi_scene_19|Broch
str_multi_scene_inv_1|Muro de Adriano
str_multi_scene_inv_2|Fuerte sajón
str_multi_scene_inv_3|Din Bych
str_multi_scene_inv_4|Fuerte de Mynyw
str_multi_scene_inv_5|Broch
str_multi_scene_20|Llanuras al azar
str_multi_scene_21|Bosque al azar
str_multi_scene_22|Nieve al azar
str_multi_sea_1|Mar en calma
str_multi_sea_2|Tormenta marina
str_multi_coast_1|Asalto al fuerte
str_multi_coast_2|Asalto al fuerte (Thunderstorm)
str_multi_scene_end|multi scene end
str_multi_game_type_1|Combate a muerte
str_multi_game_type_2|Combate a muerte en equipo
str_multi_game_type_3|Batalla
