qstr_Breaking_camp...|Levantando el campamento...
qstr_Formerly_you_were_a_|Antes eras sacerdote.
qstr_When_you_were_not_wo|Cuando no estabas trabajando o estudiando en el monasterio, viajabas para difundir la Palabra de Dios. Cualquiera que te oyera solía quedar gratamente impresionado por la pasión con que decías tus sermones. A pesar de haberte mantenido fiel al voto de pobreza a lo largo de todos esos años, nunca te faltó ni comida, ni bebida, ni alojamiento, ya que la hospitalidad de los campesinos resultaba ser generosa hacia {reg59? un hombre:una mujer} de Dios. De tanto en cuanto, la gente del pueblo venía al monasterio a comprar aquellos productos únicos que sólo tú manufacturabas.^^Curar es otra de tus habilidades. Tu habilidad ha servido para arreglar un buen número de huesos rotos y para evitar que más de un alma abandone su cuerpo y vaya a parar, de forma prematura, a manos de su Creador. Inspirado por la fe, te sientes seguro fuera de los gruesos muros del monasterio. Tus únicas armas son una vara o un bastón.
qstr_Formerly_you_were_a_t|Antes eras un viajero.
qstr_Responding_to_the_ca|Viajaste de un pueblo a otro respondiendo a la llamada de los caminos, comerciando con lo que fuera que pudieras encontrar. No es que sea una vida de riquezas, pero has llegado a ser todo un maestro en el arte de conseguir un buen precio de cualquier producto y de cualquier solterona. Pronto estarás en disposición de crear tu propio imperio comercial.
qstr_Formerly_you_were_a_p|Antes eras un cazador furtivo.
qstr_Unsatisfied_with_com|Insatisfecho con el deseo por las riquezas tan habitual en los hombres comunes, huiste a los bosques de tu señor y te acomodaste a vivir de lo que la naturaleza pudiera ofrecerte. Al diablo con las leyes. Cazabas ciervos, jabalíes y gansos y vendías su carne bajo cuerda. Talaste árboles ante las mismísimas narices de los guardias y los convertiste en la leña que daría calor a las gélidas noches invernales de muchas casas. Aprendiste que el honor puede comprarse fácilmente con algo de plata. Cuando los tiempos se ponían feos, buscabas comida y te convertiste en un experto a la hora de encontrar plantas comestibles en plena naturaleza.
qstr_Formerly_you_were_a_f|Antes eras {reg59?una mujer:un hombre} libre, y además {reg59?señora:señor} de unas tierras.
qstr_{reg59?Being_wife_to|{reg59?Al ser la esposa de un hombre libre, lo tuviste más fácil que las mujeres de los sirvientes, que tenían que hacer todo el trabajo ellas solas. Poseías algunos criados que te ayudaban en las tareas más arduas, pero dado que tu marido no era propietario de muchas tierras, todavía tenías que dedicarte a un número de tareas a las que toda mujer de campesino debe dedicarse. Tu marido estaba obligado a pagar la renta a su señor y prestarle servicios de labor a cambio de las tierras que ocupaba. Cuando llegó la guerra, tu marido fue llamado a ocupar su puesto entre las tropas. Tuvo que luchar con escudo y lanza en la batalla. A menudo solía enseñarte cómo emplear aquellas armas, por si, llegado el momento, si él no se encontraba en casa, pudieras defenderte por ti misma. :Esto supone que siempre lo tuviste más fácil que tus sirvientes, pues tuvieron que hacer todo tipo de trabajos por sí solos. Poseías algún siervo para ayudarte en los trabajos más duros, pero, al no poseer muchas tierras, debiste hacer varios trabajos a los que todo campesino debe dedicarse. Tenías que pagar la renta a tu señor y le debías servicios de labor a cambio de las tierras ocupadas. Cuando llegaba la guerra, acudías a la llamada de las armas para ocupar tu puesto entre las tropas. Entonces ponías toda tu confianza en tu escudo y tu lanza.}
qstr_{s1}^^Through_persis|{s1}^^Gracias a tu insistencia y algo de suerte, pudiste ganarte el favor de uno de los señores locales. Con el tiempo, intercedió por ti ante el rey, el cual te otorgó un pequeño feudo de entre sus tierras. Ahora debes demostrar ser digno de la confianza que se ha depositado sobre ti.
qstr_{s1}^^Then_you_happe|{s1}^^Entonces pudiste captar el interés de un joven señor. Haciendo caso omiso de la tradición y de las estridentes súplicas de sus consejeros, se casó contigo, pero al cabo sufrió por accidente una herida mortal en un torneo. El difunto no contaba con ningún tío, hermano o hijo con vida; de modo que te hiciste con la propiedad de esa pequeña hacienda, que varios señores del reino consideran disponible. Ahora debes establecerte en esas tierras.
qstr_{s1}^^Through_persist|{s1}^^Gracias a tu insistencia y algo de suerte, pudiste ganarte el favor de uno de los señores locales. Una extraña sucesión de acontecimientos dejaron al reino sin ningún soberano, y él te propuso compartir el gobierno contigo, a modo de compromiso entre las facciones en pugna. En un principio, fuiste elegido para ser el menor de los dos, pero una fatal enfermedad te ha convertido en el único soberano. No todo el mundo está contento con este giro de los acontecimientos, y los reinos vecinos no han pasado por alto la aparente debilidad de tu reino. Ahora debes establecerte en tus dominios.
qstr_{s1}^^Then_you_happen|{s1}^^Entonces pudiste captar el interés del joven rey. Haciendo caso omiso de la tradición y de las estridentes súplicas de sus consejeros, se casó contigo, pero al cabo sufrió por accidente una herida mortal en un torneo. El difunto no contaba con ningún tío, hermano o hijo con vida. Como la sucesión está sujeta a debate, los reinos vecinos no han pasado por alto la aparente debilidad de tu reino. Ahora debes establecerte en tus dominios.
qstr_>_Viking_Conquest_Ma|> Campaña principal de Viking Conquest
qstr_A_storyline_campaign|Una campaña con storyline, una misión principal y otras características especiales.
qstr_>_Sandbox_Campaign|> Campaña Sandbox
qstr_No_main_story_or_spe|Sin storyline ni características especiales. Eres libre de jugar como te plazca.
qstr_>_Lordly_Sandbox_Cam|> Campaña Sandbox Señorial
qstr_You_start_as_a_lord_|Comienzas como un señor o señora de una facción.
qstr_>_Royal_Sandbox_Camp|> Campaña Sandbox Real
qstr_You_start_as_leader_|Comienzas como el líder de una facción. ¡Larga vida al rey!
qstr_STAMINA_>_Realism_Fe|RESISTENCIA > Opción realista.
qstr_This_feature_affects|Esta característica afecta al jugador y a todos los personajes.^La resistencia se calcula en función de la salud y las capacidades atléticas, y afecta a la resistencia física en batalla. Cuando el fondo de un personaje se agota, no podrá correr y el daño que causen sus armas se reducirá a la mitad.
qstr_ARMOR_PENALTY_>_Real|PENALIZACIÓN ARMADURA > Opción realista.
qstr_This_feature_affects_|Esta característica afecta al jugador y a todos los personajes.^Tus puntos de habilidad sufrirán un deterioro cuando te equipes con armadura pesada. Esta habilidad aporta un mayor equilibrio al juego, ya que las tropas ligeras se vuelven más importantes.
qstr_EASY_RECRUITMENT_>_B|RECLUTAMIENTO FÁCIL > Opción principiantes.
qstr_When_you_ask_permiss|Cuando pides permiso en un pueblo para reclutar, la respuesta es siempre positiva y no tiene coste. No recomendado para jugadores a los que les gusta el «role play» y la inmersión.
qstr_RESTING_MORALE_>_Rea|RESTAR MORAL > Opción realista.
qstr_INSANE_DIFFICULTY_>_|DIFICULTAD DESCABELLADA > Característica para judadores locos.
qstr_Your_troops_need_thr|Tus tropas necesitan actualizarse, pues el juego será el triple duro dado que tus enemigos harán el doble de daño, mientras que tú causas sólo la mitad. Sólo recomendado para jugadores hardcore.
qstr_GORE_>_+18_Feature.|GORE > Opción +18 años.
qstr_DISABLE_SCENIC_MENU_|DESCATIVAR MENÚ DE ESCENA > Opción mayor rendimiento.
qstr_Disable_the_3D_view_i|Desactivar la vista 3D en los menús, para mejorar el tiempo de carga en ordenadores lentos.
qstr_SHIELD_BASH_>_Realis|GOLPE DE ESCUDO > Opción realista.
qstr_Player_and_AI_troops|Las tropas tanto del jugador como de la IA podrán golpear a sus enemigos con el escudo.
qstr_...Anno_Domini_868..|...Anno Domini 868...
qstr_My_name_is_Beda_the_|Mi nombre es Beda el Viejo y si pretendes adentrarte en este mundo, más vale que me escuches atentamente...^^Britannia. Los britanos la llaman Ynys Prydein, los gaélicos Alba, mientras que anglos y sajones le dieron el nombre de Englaland a las tierras que conquistaron. Estas islas son grandes, ricas y bellas... y muy codiciadas. La tierra está en guerra y sólo se respeta la ley de la espada y la lanza. Los reinos nacen y muere, los reyes perecen en los campos de batalla. Las mujeres enviudan, los caballos transportan armas en lugar de heno. Los gritos de los guerreros llenan el aire, y la tierra yace yerma bajo las pisadas de ejércitos en marcha. Al igual que en tiempos pasados, se alzan mortales enemigos revestidos con armaduras. Graznan los cuervos, aúllan los lobos, chocan las lanzas, responden los escudos.^^En el norte, los reinos de los anglos se desmoronan ante el avance de los daneses. Los hijos de Ragnar el vikingo, nuevos amos de estas tierras, gobiernan en Bernacia, Deira y Elmet, tierra llamada Northhymbre.^^En el sur los sajones de West Seaxe, liderados por el Brytenwalda Aethelred y su hermano Aelfred, se preparan para la guerra. Saben que, al otro lado del mar, hay más daneses dispuestos a cruzar el océano en busca de gloria y riquezas.^^Empujados contra los remotos confines de sus tierras por siglos de invasiones terrestres, ahora los britanos nativos se ven amenazados por los vikingos que recorren sus costas. Luchan a la desesperada, intentando conservar lo poco que les queda, y sueñan con un rey que pueda llegar a unificarles y les guíe hacia la victoria final: un nuevo Rey Arturo. En la práctica, sus equitativas leyes hereditarias hacen que los estados de los señores sean cada vez más pequeños y significa que la tan ansiada unidad es cada vez más difícil de conseguir. No obstante, un hombre fuerte, Rhodri el Grande de Gwynedd, ha empezado a imponer su voluntad sobre Gales.^^En las lejanas tierras del norte, hace tres década, los invasores noruegos eliminaron a las antiguas aristocracias gaélicas y pictas en una insólita batalla a tres bandas. Después del desastre, el líder de los gaélicos, Cinead McAlpin, empezó a forjar un nuevo reino con estos dos pueblos relegados en las tierras altas de sus antiguos territorios.^^Al otro lado del mar, en Ériu, Aed «Guerrero Justo» mac Niall de Aileach acaba de emerger como Gran Rey en Temair después de aplastar a sus enemigos, pero este título no confiere más que prestigio. Sus pretensiones no son aceptadas por la otra mitad de los Ui Neill, y la pugna por la tierra, las mujeres y el ganado sigue castigando esa tierra de forma endémica y fratricida. Mientras tanto, vikingos daneses y noruegos han establecido docenas de fuertes costeros y utilizan los ríos para saquear el interior de las tierras gaélicas, aunque también son propensos a unirse al conflicto entre nativos... sin importar el bando.^^^El mundo es caos, y el caos es guerra.
qstr_BEDA_CHRONICLE^^{s2}|CRÓNICA DE BEDA^^{s2}^^ {s3}
qstr_{s1}On_head.___{reg2|{s1}En la cabeza. (-{reg2} inteligencia)^{s2}^^
qstr_{s1}On_face.___{reg2|{s1}En la cara. (-{reg2} carisma)^{s2}^^
qstr_{s1}On_body.___{reg2|{s1}En el cuerpo. (-{reg2} fuerza)^{s2}^^
qstr_{s1}On_limbs.___{reg|{s1}En las extremidades. (-{reg2} agilidad)^{s2}^^
qstr_Accumulated_Injuries|Heridas acumuladas:^^ninguna.
qstr_Accumulated_Injuries:|Heridas acumuladas:^^{s1}Un médico de una ciudad grande puede tratar esas heridas.
qstr_Healing_wounds:^^non|Curación de heridas:^^ninguna
qstr_Healing_wounds:^^{s1|Curación de heridas:^^{s1}Estas heridas han sido tratados y se curarán por sí solas.
qstr_{s1}On_head.___{reg1|{s1}En la cabeza. (-{reg1} inteligencia)^^
qstr_{s1}On_face.___{reg1|{s1}En la cara. (-{reg1} carisma)^^
qstr_{s1}On_body.___{reg1|{s1}En el cuerpo. (-{reg1} fuerza)^^
qstr_{s1}On_limbs.___{reg1|{s1}En las extremidades. (-{reg1} agilidad)^^
qstr_Scars:^^none|Cicatrices:^^ninguna
qstr_Scars:^^{s1}These_in|Cicatrices:^^{s1}Estas heridas se han hecho permamentes y ahora no pueden ser curadas.
qstr_Lifetime_wounds:_{re|Heridas de por vida: {reg1} hasta ahora.
qstr_Current_party_size_l|El límite actual al tamaño de hueste es {reg0}.^Los modificadores actuales al tamaño de hueste son:^^Tamaño base: {s5}{reg31}^Liderazgo combinado: {s2}{reg32}^Carisma: {s3}{reg33}^Renombre: {s4}{reg34}^TOTAL:  {reg0}
qstr_^Religious_Differenc|^Diferencias religiosas:  -{reg7}
qstr_^No_food:___{reg7}|^Sin comida:  -{reg7}
qstr_^Wage_debt:___{reg7}|^Salario adeudado:  -{reg7}
qstr_Currently_falling_fr|Actualmente cayendo desde: +
qstr_Currently_rising_fro|Actualmente se levanta desde:
qstr_{s11}{s10}{s12}|{s11}{s10}{s12}
qstr_^^These_pagan_troops|^^Estas tropas paganas podrían causar algunos problemas de moral: {s11}
qstr_^^These_Christian_tr|^^Estas tropas cristianas podrían causar algunos problemas de moral: {s11}
qstr_^^Player_currently_h|^^El jugador cuenta en la actualidad con más tropas que se pueden gestionar por completo.
qstr_Current_party_morale|Moral de hueste actual: {reg5}.^^Moral base:  +{reg8}^Penalizaciones tamaño de hueste: {s2}{reg1}{s14}^ Falta de descanso: {s3}{reg2}^Variedad de comida: {s4}{reg3}{s5}{s6}^{s7}{reg4}{s8}{s13}^^{s19}
qstr_{s18}^^_____________|{s18}^^----------------^^{s20}
qstr_{s17}_^_{s18}|{s17} ^ {s18}
qstr_{s15}_^_{s16}|{s15} ^ {s16}
qstr_{s22}^^Friends:_^{s8|{s22}^^Amigos: ^{s8} ^^Enemigos: ^{s6}^{s19}
qstr_^^Your_estates_are:_|^^Tus propiedades son: ^{s18}^{s19}
qstr_Mercenary_employed_b|Mercenario a sueldo de {s18}.^{s19}
qstr_Report:_^^_{s19}|Informe: ^^ {s19}
qstr_On_loan|El préstamo,
qstr_is_{s16}_your_choice|tu elección de compañeros es {s16}, {s17} tu estilo de liderazgo, y {s18} el estado general de las cosas. La moral es {reg0}
qstr_Companions_Info:^^_{|Compañeros Info:^^ {s19} ^^-----------^^ Actualmente:^^ {s7}{s1}
qstr_Loyal|Leal
qstr_Devoted|Fiel
qstr_Fond|Afectuoso
qstr_Gracious|Cortés
qstr_Friendly|Amistoso
qstr_Supportive|Colaborador
qstr_Favorable|Favorable
qstr_Cooperative|Cooperador
qstr_Accepting|Conciliador
qstr_Indifferent|Indiferente
qstr_Suspicious|Suspicaz
qstr_Unhappy|Infeliz
qstr_Resentful|Resentido
qstr_Angry|Iracundo
qstr_Hostile|Hostil
qstr_Hateful|Odioso
qstr_Vengeful|Vengativo
qstr_Sworn_Enmity|Enemistad jurada
qstr_Your_relations_with_|Tus relaciones con los reinos son:^^{s2}
qstr_Build_your_personal_|Construir tu refugio personal.
qstr_You_already_have_a_r|Ya tienes un refugio construido. Destruye tu refugio actual si deseas trasladarte hasta aquí.
qstr_You_don_t_have_enough|¡No tienes suficiente dinero! Los trabajadores que construirían tu refugio exigen 1.000 peniques.
qstr_You_need_to_have_mor|Necesitas más de treinta hombres para comenzar este trabajo.
qstr_Your_men_await_your_|Tus hombres esperan tus órdenes para empezar a edificar el refugio. Hay suficientes materiales disponibles, y lo que pueda faltar puede adquirirse en los poblados de alrededor.^^Coste total: 1.000 peniques.^Tiempo necesario: 6 horas.
qstr_{s2}^^_{s3}|{s2}^^ {s3}
qstr_Camping_allows_your_|Acampar hace que tus hombres descansen y se recuperen del viaje. También te permite forrajear, aumentando así tus suministros de comida. Esto es particularmente útil cuando en campaña en territorio enemigo, donde resulta difícil comprar suministros.
qstr_Traveling_by_sea_exh|Viajar por mar agota a los hombres completamente. Dejar que tus guerreros descansen ayudará a que el viaje se haga más llevadero.
qstr_You_are_in_the_kingd|Estás en el reino de DANMARK.^^Danmark es el más importante de los estados vikingos. Los daneses no sólo mantienen su independencia ante el poderoso imperio franco, sino que también atacan y saquean ciudades, iglesias y monasterios a lo largo y ancho del occidente europeo. Los vikingos daneses son excelentes mercaderes. Comercian con todo el mundo conocido. En Jutlandia se ha establecido una fuerte autoridad central, y los daneses empiezan a mirar más allá de su país, en busca de tierras, comercio y botín. Mientras los hombres se encuentran en la mar, las granjas quedan bajo el control de las mujeres.
qstr_You_are_in_the_kingdo|Estás en el reino de NORTHVEGR.^^En Northvegr el terreno montañoso y los fiordos forman potentes barreras naturales, las comunidades se mantienen independientes las unas de las otras y coexisten treinta pequeños reinos en el país. Los grandes jefes de estos pequeños reinos han comenzado su pugna por el poder. El mar ha sido la forma más sencilla de comunicarse entre los reinos noruegos y el mundo exterior, y sus gentes se convirtieron en comerciantes y exploradores así como en saqueadores. La falta de tierra fértil obliga a los noruegos a viajar a las islas poco pobladas del Mar del Norte. Las primeras incursiones vikingas en Britannia fueron llevadas a cabo por noruegos, aunque no tardaron en unírseles los daneses.
qstr_You_are_in_the_kingdom|Estás en el reino de LAITHLIND.^^Laithlind es la zona ocupada por los hombres del norte en Escocia y sus islas, conquistado por los vikingos hace algunas décadas. Los habitantes de Laithlind suelen atacar a los pictos de Alban así que este reino se ha convertido en base de operaciones para la expansión noruega en las islas británicas. Por otro lado, las luchas internas entre los hijos del rey por acceder al trono son bastante comunes.
qstr_You_are_in_the_kingdom_|Estás en el reino de FRIESE.^^Friese en una región que se extiende al sur del Mar del Norte, es hogar de los frisios, gentes emparentadas con los anglosajones por lengua. El reino frisio tiene su centro de poder en la ciudad de Dorestad y es una importante región comercial que abarca desde norte de Frankia hasta los límites de Danmark. Los frisios perdieron su independencia tras ser derrotados por los francos hace mucho tiempo, pero su país está ahora dominado por los daneses.
qstr_You_are_in_the_kingdom_o|Estás en el reino de WEST SEAXE.^^West Seaxe es el reino de los sajones del oeste, al sur de Britannia. Hace algunas décadas, el rey Egbert conquistó Mierce y aseguró el vasallaje del rey de Northhymbre. De este modo se convirtió en el Brytenwalda, o Gran Rey de Britannia. Su posición de dominio no duró demasiado, aunque la expansión de West Seaxe a lo largo del sudeste de Inglaterra sí resultó ser permanente. Los últimos años de Egbert fueron testigos del inicio de las incursiones vikingas en West Seaxe. Los daneses fueron aplastados de forma decisiva por el hijo de sucesor de Egbert, el Rey Aethelwulf en la batalla de Aclea. Esta victoria retrasó las conquistas danesas en Inglaterra al menos quince años, pero las incursiones contra West Seaxe continuaron. A Aethelwulf le sucedieron sus cuatro hijos, que gobernaron el uno después del otro: Ethelbert, Aethelred y, finalmente Aelfred, conocido como Alfredo el Grande.
qstr_You_are_in_the_kingdom_of|Estás en el reino de EAST ENGLE.^^El reino de East Engle era un pequeño reino anglo independiente en el extremo este de Britannia, colonizado por anglosajones antes que cualquier otra de las regiones britanas. Fue gobernado por la dinastía Wuffingas, pero cayó ante Mierce. Los vikingos llegaron a devastar East Engle pero en estos años los sajones les han derrotado en dos grandes batallas. A estos acontecimientos ha seguido un período de relativa calma, en el que los vikingos sólo han atacado una vez. Los daneses dejaron sus correrías y empezaron a establecerse de forma permanente en East Engle.
qstr_You_are_in_the_kingdom_of_|Estás en el reino de MIERCE.^^Mierce es uno de los reinos anglosajones más poderosos, ubicado en el valle del río Trent y sus afluentes. En su origen estaba compuesto por las áreas limítrofes de las Midlands ubicadas entre los distritos de los asentamientos anglosajones y las tribus celtas que habían desplazado hacia el oeste. La capital del reino es Tomtun, lugar donde viven los reyes de Mierce. Durante 300 años Mierce se anexionó u obtuvo la sumisión de cinco de los otros seis reinos anglosajones. Mercia dominó los reinos anglosajones a lo largo de un período conocido como La Supremacía Mercia. No obstante, después de la invasión del Gran Ejército Pagano, gran parte del territorio de Mercia fue absorbido dentro del Danelaw.
qstr_You_are_in_the_kingdom_of_N|Estás en el reino de NORTHHYMBRE.^^Northhymbre es un reino anglo de los territorios anglosajones del norte. Se extendía desde el sur de Alban hasta el norte del río Humber. En origen estaba compuesto por la unión de los reinos de Bernicia y Deira, más tarde incorporó las tierras de Gododdin, al norte, y se fue expandiendo hacia el oeste, invadiendo los reinos celtas. Después Northhymbre pasó a formar parte del Danelaw, tras su conquista por parte de los hermanos Halfdan Ragnarsson e Ivar Deshuesado, quienes pusieron en el trono a un noble anglosajón, Ecgberth, un rey títere.
qstr_You_are_in_the_kingdom_of_G|Estás en el reino de GWYNEDD.^^El reino de Gwynedd fue uno de los estados sucesores que emergió con la caída del Imperio Romano y la llegada de los sajones a Britannia. Ubicado en el noreste de Gales, los gobernantes de Gwynedd fueron aclamados como «Reyes de los Britanos» antes de perder su poder a lo largo de las guerras civiles y las invasiones. Los galeses de Gwynedd eran conscientes de su legado romano-britano y sus reyes procuraron enlazar su gobierno con el antiguo orden Imperial Romano usando el latín en sus documentos y manteniendo la religión cristiana. Aun así, la sabiduría de los antiguos romanos está mayormente olvidada por los britanos de Gwynedd ahora que su organización es de corte militarista y tribal.
qstr_You_are_in_the_kingdom_of_B|Estás en el reino de BRYCHEINIOG.^^Brycheiniog fue un pequeño reino independiente en el sur de Gales. Solía ser un estado tapón entre Engaland al este y los poderosos reinos galeses del oeste. El reino de Brycheiniog probablemente fuera fundado por asaltantes irlandeses, seguramente los Ui Liathain, cuyo poder creció en gales hasta que fueron reducidos por los hijos de Cunedda.
qstr_You_are_in_the_kingdom_of_A|Estás en el reino de ALT CLUT.^^Alt Clut es uno de los reinos de los britanos ubicado al norte de los reinos anglosajones y al sur de Alban. Emergió con la caída del Imperio Romano con capital en la ciudad de Alt Clut. Los britanos de Alt Clut derrotaron a los hombres de Dal Riata, al tiempo que los pictos atacaban el reino una y otra vez sin éxito. Después de esto, una alianza entre los pictos y el reino de Northhymbre asediaron Alt Clut y la ciudad fue capturada años después. No obstante, hace 18 años, los hombres de Alt Clut consiguieron quemar la ciudad picta de Dunblane.
qstr_You_are_in_the_kingdom_of_C|Estás en el reino de CORNUBIA.^^El reino de Cornubia está ubicado en una península del sudeste de Britannia, bañada al norte y al oeste por el Mar Celta y al sur por el Canal de la Mancha. Cornubia era el hogar de la tribu celta conocida como los Cornovii, separados de los britanos de Gales tras la batalla de Deorham. Suele estar en guerra con el reino sajón de West Seaxe.  La lengua britana y su cultura son compartidas en ambas costas del canal gracias al comercio. El estaño es un importante recurso para la economía de Cornualles. 
qstr_You_are_in_the_kingdom_of_GL|Estás en el reino de GLYWYSSING.^^El pequeño reino celta de Glywyssing fue fundado en una parte de las tierras de los antiguos silures por Eugenius, hijo del Gran Rey Magnus Máximus. Esta era el área más romanizada de Gales, aunque sus raíces se remonten a la tribu de los silures, de la Edad del Hierro. Se dice que Glywyssing se llama así en honor a Glywys, un monarca legendario.
qstr_You_are_in_the_kingdom_of_U|Estás en el reino de ULADH.^^Los habitantes de Uladh son gentes gaélicas de Ériu. Dieron su nombre al reino ubicado al norte de la isla, lugar de origen de los Ulaid y los Cruithne, un pueblo emparentado con los pictos. La dinastía Ui Neill, descendiente de Niall de los Nueve Rehenes, reemplazaron a los Uladh y dominaron Ulster desde su base en Tir Eoghain.
qstr_You_are_in_the_kingdom_of_L|Estás en el reino de LAIGIN.^^Situado en el este de Ériu, las tribus de Laigin fueron unificadas por Ugaine Mor, el primer rey histórico de Laigin, quien construyó el fuerte de Dun Ailinne. Cuando las legiones romanas abandonaron Britannia, las gentes de Laigin se asentaron en el norte de Gales. Durante mucho tiempo el trono de Laigin estuvo en disputa entre dos dinastías, los Ui Dunlainge y los Ui Cheinnselaig. Al final los primeros se hicieron con la corona. Hace 19 años un ejército de hombres del norte fue derrotado en Sciath Nechtain a manos de Lorcan mac Cellaig de Laigin y Olchobar mac Cinaeda de Mumain.
qstr_You_are_in_the_kingdom_of_M|Estás en el reino de MUMAIN.^^Ubicado al sur de Ériu. El reino de Mumain está gobernado por la dinastía Eoganachta. Hace 19 años, después de una serie de derrotas infligidas a los hombres del norte, Olchobar unió fuerzas con su vecino del este, Lorcan mac Cellaig, Rey de Laigin, y ambos derrotaron a un ejército vikingo en Sciath Nechtain. Doscientos vikingos perecieron. Entre ellos Tomrair, jarl del rey de Laithlind.
qstr_You_are_in_the_kingdom_of_CO|Estás en el reino de CONNACHTA.^^Connachta es un reino irlandés situado al oeste de la isla. Conn de las Cien Batallas, un rey legendario de Ériu, fue progenitor de las tribus Connachta y su nombre dio lugar al del reino. Siglos después, la antigua rama de reyes Connacht fue reemplazada por reyes del centro del país, cuya sede estaba en Tara. Dos miembros de la dinastía de Tara, Brion y Fiachra, fundaron clanes, los Ui Briuin y los Ui Fiachrach, a estos pertenecían los señores de Connaught. Conchobar mac Taidg Mor es de la rama Ui Briuin. Actualmente, los nórdicos parecen decididos a establecerse en la isla, en el curso medio del río Shannon.
qstr_You_are_in_the_terri|Estás en el reino Ui Niell de AILEACH.^^Aileach es un reino irlandés en el lejano noroeste de Isla.  Los reyes de Ailech pertenecían a los Ui Neill del norte, se dice que sus gobernantes descienden de Niall de los Nueve Rehenes y tomaron su nombre del fuerte Grianan de Ailech. Este reino surgió de una escisión del reino de Uladh, habitado y bajo la soberanía de la tribu de los Cenel nEogain. Ahora, en un feudo con Ui Neill al sur, los gobernantes participan en una «tradición» para que exista una alternancia en el título de Alto Rey de Irlanda. 
qstr_You_are_in_the_kingdom_of_MI|Estás en el reino de MIDE.^^Mide significa «medio», y es llamado así por ocupar el centro de Ériu. Fue fundado por Tuathal Teachtmhar quien, después de haber sometido a los gobernantes de los otros reinos, creó el suyo propio de las tierras anexionadas alrededor de la colina de Tara. Niall de los Nueve Rehenes se estableció como rey de Tara y, casi sin interrupción, sus descendientes fueron considerados Grandes Reyes de Ériu durante al menos seis siglos. Su hijo Loegaire le sucedió y acogió a San Patricio en su corte. Los hijos y nietos de Niall continuaron con la conquista de los territorios de Laigin fundando los reinos de Mide y Brega para sus descendientes. Actualmente, el Ui Neill de Meath tiene un acuerdo para alternar el título de Alto Rey con sus primos de Ailech, incluso mientras continúan las disputas.
qstr_You_are_in_the_kingdom_of_AL|Estás en el reino de ALBAN.^^En el norte de Britannia, pictos y escotos, con sus lenguas diferenciadas, eran enemigos tradicionales. No obstante, cierto interés por la unidad entre estas gentes fue azuzado por gracias a los esfuerzos de Kenneth MacAlpin, Rey de Dal Riata, quien reclamó el trono de los pictos después de haberles derrotado en batalla. Sin embargo, la continua presión vikinga le expulsó de las costas y las tierras bajas. Situó la capital de su nuevo reino en Forteviot, en el viejo territorio picto, y trasladó su centro religioso a Dunkeld donde se trasladaron los restos de San Columba de Iona.
qstr_You_are_in_territory|Estás en el reino de OSRAIGE.^^Osraige es uno de los clanes más grandes de Irlanda. Era la región más oriental dentro del Reino de Mumain hasta que un caudillo de Osraige, Cerball mac Dúnlainge, logró la independencia. En distintos momento, Cerball luchó o se alió con Waterford, Dublín y Aed Findliath, pero en general sigue en desavenencias con los reinos más grandes vecinos de Mumain y Laigin.
qstr_Plain.|Llano.
qstr_Snow.|Nieve.
qstr_Forest.|Bosque.
qstr_Snow_Forest.|Bosque nevado.
qstr_Ocean.|Océano.
qstr_Sea.|Mar.
qstr_Standard_Bearer:_{re|Portaestandarte: {reg1}^Bonus de liderazgo: {reg2} (max 3)
qstr_Musician:_{reg1}^Tac|Músico: {reg1}^Bonus táctico: {reg2} (max 3)
qstr_Note:_You_re_close_t|Nota: Estás cerca del asentamiento enemigo, deberías ser cauto.
qstr_{s16}^^_____________|{s16}^^-------------------^^Info campamento:^^^{s6}^^{s7}^^Terreno circundante: {s2}^^Exploradores: {s5}^^Forrajeadores: {s3}^^Campamento fortificado {s4}^^{s11}
qstr_Camp_Info:^^^^Positi|Info campamento:^^^^Posición: {s2}^^Navegas en tu barco.^^^^Gestión del barco:^^Si estás junto a la costa, puedes buscar el lugar de desembarco más cercano con un clic del botón derecho sobre tu hueste.
qstr_Camp_Info:^^^^Positio|Info campamento:^^^^Posición: {s2}^^Navegas en tu barco.^^^^Gestión del barco:^^En una batalla naval que puede dar una orden de Defender la posición o de Cargar a tus barcos, como das órdenes a las tropas en una batalla campal. Las primeras tropas que figuren en tu lista de ejército estarán junto a ti en la nave capitana. El resto tropas estarán en los siguientes buques. Puedes cambiar de nave capitana en un puerto y cuando acampas en el mar. Si estás cerca de la costa, también puedes dividir tu flota mientras acampas en el mar o buscar el lugar de desembarco más cercano con un clic derecho sobre tu hueste.
qstr_Priests_in_followers|Sacerdotes entre seguidores de hueste: {reg1}^Bonus cirugía: {reg2} (max 3)
qstr_Women_in_followers__|Mujeres entre seguidores de hueste: {reg1}^Bonus tratamiento de heridas: {reg2} (max 3)^^Nota: Cada 10 mujeres que haya (como los refugiados, las mujeres del campo, soldados y campesinos esposas) otorgan 1 de moral cada 72 horas, hasta un máximo de 10 puntos de moral.
qstr_^^^^Followers:^^{s2}|^^^^Seguidores:^^{s2}^^--------------^^{s3}
qstr_{s5}_has_been_defeat|¡{s5} ha sido derrotado!
qstr_This_lord_is_a_priso|Este señor es prisionero de {s10}
qstr_Christian_Lord|Señor cristiano
qstr_Pagan_Lord|Señor pagano
qstr_{s37}__his_betrothed|{s37} (su prometida)
